temperature_K,value_W/(m-K)
4,54.1055807018
4.13722278149,55.4707231504
4.27915308593,57.1030303036
4.42595240815,58.9734316645
4.5777877832,61.0568864161
4.73483197638,63.3314024545
4.8972636798,65.7773949123
5.06526771577,68.3772890616
5.23903524701,71.1152974557
5.41876399424,73.9773181746
5.60465846113,76.9509131338
5.79693016697,80.0253344691
5.99579788738,83.1915741495
6.20148790323,86.4424178634
6.4142342581,89.7724892165
6.63427902461,93.1782745591
6.86187257985,96.6581223891
7.09727389027,100.212214282
7.34075080633,103.842506692
7.5925803673,107.552644768
7.85304911648,111.347850549
8.12245342723,115.234788645
8.40109984019,119.221412779
8.68930541211,123.316796496
8.98739807658,127.530951024
9.2957170172,131.874632717
9.61461305347,136.35914192
9.94444904002,140.996114442
10.2856002794,145.797306191
10.6384549494,150.774371048
11.0034145441,155.938631616
11.3808943315,161.300842266
11.7713238255,166.870943833
12.1751472748,172.657809433
12.5928241684,178.668981183
13.0248297582,184.910398125
13.4716556002,191.386116317
13.9338101134,198.098022918
14.4118191585,205.045547104
14.9062266363,212.225371733
15.4175951065,219.631150913
15.9465064276,227.253239816
16.4935624194,235.078444313
17.0593855474,243.089799091
17.6446196312,251.266383889
18.2499305773,259.583188175
18.8760071362,268.011034965
19.5235616869,276.516574474
20.1933310467,285.062357756
20.8860773102,293.606999445
21.602588716,302.105437102
22.3436805437,310.509292388
23.110196042,318.767336557
23.9030073874,326.826059382
24.7230166774,334.630336948
25.5711569562,342.124189708
26.4483932771,349.251618098
27.3557238,355.957499015
28.2941809274,362.188522757
29.2648324791,367.894146911
30.2687829073,373.027541327
31.3071745531,377.546496905
32.3811889463,381.414270622
33.4920481501,384.600340203
34.6410161514,387.081043859
35.8294002989,388.84008391
37.058552791,389.868877386
38.329872214,390.166741856
39.6448051339,389.740910537
41.0048477419,388.606376752
42.4115475574,386.785573827
43.8665051882,384.307902278
45.3713761523,381.209121133
46.9278727613,377.53062454
48.5377660688,373.318627919
50.2028878856,368.623289972
51.9251328643,363.497797611
53.7064606546,357.997440526
55.5488981334,352.178700622
57.4545417111,346.098379161
59.4255597168,339.812781355
61.4641948659,333.376974388
63.5727668113,326.844131032
65.7536747836,320.264966856
68.0094003204,313.687275171
70.3425100904,307.155560182
72.7556588133,300.710765555
75.2515922813,294.390092933
77.8331504824,288.226902683
80.5032708329,282.250687585
83.2649915186,276.487109118
86.1214549529,270.958085464
89.0759113517,265.681920251
92.1317224316,260.673461466
95.2923652356,255.944280531
98.5614360888,251.502862527
101.942654691,247.354799629
105.439868348,243.502981049
109.057056352,239.947774131
112.798334506,236.687192635
116.667959808,233.717049595
120.670335297,231.031093621
124.81001506,228.621128872
129.091709416,226.477120289
133.520290275,224.587287134
138.100796679,222.938189106
142.838440541,221.514810691
147.73861257,220.300650555
152.806888407,219.27782398
158.049034972,218.427187259
163.47101702,217.728493769
169.079003932,217.160591894
174.879376735,216.701675123
180.87873536,216.329594342
187.083906155,216.022241419
193.501949649,215.758012
200.140168588,215.516353322
207.006116244,215.278400587
214.107605008,215.027702703
221.452715282,214.751035356
229.049804673,214.439297054
236.907517497,214.088482047
245.034794624,213.700724017
253.440883644,213.285406861
262.135349394,212.8603444
271.128084837,212.453041404
280.429322322,212.102064418
290.049645228,211.858575406
300,211.788115437
