temperature_K,value_W/(m-K)
1,4.33870377814
1.02253046212,4.23624020446
1.04556854596,4.14888144738
1.06912568847,4.07517291382
1.09321358429,4.01386449211
1.11784419154,3.96387934175
1.14302973775,3.92428795654
1.16878272595,3.89428652702
1.19511594088,3.87317882209
1.22204245531,3.86036096164
1.24957563655,3.85530857347
1.27772915309,3.85756592349
1.30651698137,3.86673668477
1.33595341272,3.88247607286
1.36605306048,3.90448412355
1.39683086721,3.93249992981
1.42830211214,3.96629668629
1.46048241877,4.00567741646
1.49338776258,4.05047127856
1.52703447899,4.10053036423
1.56143927147,4.1557269179
1.59661921982,4.21595091688
1.63259178866,4.28110796179
1.66937483611,4.3511174351
1.70698662261,4.4259108921
1.74544582005,4.50543065425
1.78477152097,4.58962857947
1.82498324811,4.67846498772
1.86610096404,4.7719077234
1.90814508112,4.86993133899
1.95113647158,4.97251638625
1.99509647794,5.07964880352
2.04004692355,5.19131938895
2.08601012348,5.3075233511
2.13300889554,5.4282599291
2.18106657165,5.55353207584
2.23020700942,5.68334619824
2.28045460395,5.81771194925
2.33183430002,5.95664206699
2.38437160437,6.10015225676
2.43809259848,6.24826111199
2.4930239514,6.40099007065
2.54919293309,6.55836340387
2.6066274279,6.72040823374
2.66535594841,6.88715457745
2.72540764964,7.05863541516
2.78681234344,7.23488677912
2.84960051336,7.41594786166
2.91380332978,7.60186113985
2.97945266531,7.7926725147
3.04658111071,7.98843146286
3.11522199101,8.18919119899
3.18540938206,8.39500884686
3.25717812747,8.60594561755
3.33056385588,8.822066993
3.40560299866,9.04344291342
3.482332808,9.27014796702
3.56079137541,9.50226158065
3.64101765059,9.73986821006
3.72305146084,9.98305752846
3.80693353073,10.2319246122
3.89270550242,10.4865701224
3.98040995627,10.7471004818
4.070090432,11.013628045
4.16179145029,11.2862712624
4.25555853489,11.5651548357
4.35143823525,11.850409865
4.44947814956,12.1421739861
4.54972694844,12.4405914982
4.65223439909,12.7458134794
4.75705138998,13.057997892
4.8642299561,13.3773096741
4.97382330485,13.7039208188
5.08588584239,14.0380104402
5.20047320069,14.3797648237
5.31764226513,14.7293774626
5.43745120273,15.0870490787
