temperature_K,value_GPa
2,80.8521537579
2.16230708329,80.8536748173
2.33778596123,80.8553017285
2.52750557159,80.8570401387
2.73262160026,80.8588956637
2.9543835211,80.860873804
3.19414220722,80.8629798423
3.45335815986,80.8652187156
3.73361040511,80.867594861
4.03660611261,80.8701120274
4.36419099488,80.8727730486
4.71836055053,80.8755795713
5.10127221998,80.8785317281
5.51525852753,80.8816277494
5.96284129013,80.8848635008
6.4467469791,80.888231935
6.96992332856,80.8917224451
7.53555729167,80.8953201014
8.14709445417,80.899004754
8.80826002326,80.9027499814
9.52308151989,80.9065218588
10.2959133126,80.9102775214
11.1314631424,80.9139634903
12.0348208001,80.9175137276
13.0114891311,80.9208473813
14.0674175562,80.9238661781
15.2090383127,80.9264514161
16.4433056369,80.928460505
17.7777381257,80.9297229985
19.220464537,80.9300360571
20.7802733063,80.9291592777
22.4666660815,80.9268088229
24.289915603,80.9226507825
26.2611282805,80.9162937
28.392311848,80.9072802023
30.6964485101,80.8950776787
33.1875740226,80.879067968
35.8808631932,80.8585360382
38.7927223187,80.8326576677
41.9408891249,80.8004861864
45.3445408172,80.7609383866
49.0244108989,80.7127797939
53.0029154704,80.6546095833
57.3042897785,80.5848455489
61.9547358455,80.5017096911
66.9825820812,80.4032151669
72.4184558457,80.2871555738
78.2954700181,80.151097789
84.649424705,79.9923798695
91.5190253181,79.8081158158
98.9461183507,79.5952092911
106.975946287,79.3503786167
115.657423199,79.0701954725
125.04343271,78.7511395936
135.191150134,78.3896711932
146.162390766,77.9823216038
158.023986432,77.5258002903
170.848192596,77.0171123895
184.713128509,76.4536743936
199.703253077,75.8334052937
215.909879342,75.1547546525
233.431730727,74.4166051381
252.375542408,73.6179514112
272.8567115,72.7572047957
295,71.8308966531
