temperature_K,value_GPa
2,77.7316604577
2.16230708329,77.7331376166
2.33778596123,77.7347176645
2.52750557159,77.7364061146
2.73262160026,77.738208457
2.9543835211,77.7401300796
3.19414220722,77.7421761701
3.45335815986,77.7443515955
3.73361040511,77.7466607557
4.03660611261,77.7491074051
4.36419099488,77.7516944387
4.71836055053,77.7544236341
5.10127221998,77.7572953441
5.51525852753,77.7603081306
5.96284129013,77.7634583294
6.4467469791,77.7667395365
6.96992332856,77.7701420014
7.53555729167,77.7736519144
8.14709445417,77.7772505701
8.80826002326,77.7809133896
9.52308151989,77.7846087796
10.2959133126,77.7882968054
11.1314631424,77.7919276505
12.0348208001,77.7954398349
13.0114891311,77.7987581588
14.0674175562,77.8017913373
15.2090383127,77.8044292878
16.4433056369,77.806540029
17.7777381257,77.8079661512
19.220464537,77.8085208107
20.7802733063,77.8079832075
22.4666660815,77.8060935025
24.289915603,77.8025471366
26.2611282805,77.7969885197
28.392311848,77.7890040704
30.6964485101,77.7781146012
33.1875740226,77.7637670693
35.8808631932,77.7453257417
38.7927223187,77.7220628664
41.9408891249,77.6931489929
45.3445408172,77.6576431544
49.0244108989,77.6144832053
53.0029154704,77.5624767098
57.3042897785,77.5002928974
61.9547358455,77.4264563341
66.9825820812,77.3393431118
72.4184558457,77.2371805063
78.2954700181,77.1180511977
84.649424705,76.9799032447
91.5190253181,76.8205670157
98.9461183507,76.6377801343
106.975946287,76.4292210806
115.657423199,76.1925512427
125.04343271,75.9254636865
135.191150134,75.6257343482
146.162390766,75.291267232
158.023986432,74.9201187604
170.848192596,74.5104765935
184.713128509,74.0605534686
199.703253077,73.5683347153
215.909879342,73.0310859799
233.431730727,72.4444809707
252.375542408,71.8011415743
272.8567115,71.0882858808
295,70.2840414457
