temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
4,-415.45
4.27915308593,-415.45
4.5777877832,-415.45
4.8972636798,-415.45
5.23903524701,-415.45
5.60465846113,-415.45
5.99579788738,-415.45
6.4142342581,-415.45
6.86187257985,-415.45
7.34075080633,-415.45
7.85304911648,-415.45
8.40109984019,-415.45
8.98739807658,-415.45
9.61461305347,-415.45
10.2856002794,-415.45
11.0034145441,-415.45
11.7713238255,-415.45
12.5928241684,-415.45
13.4716556002,-415.45
14.4118191585,-415.45
15.4175951065,-415.45
16.4935624194,-415.45
17.6446196312,-415.45
18.8760071362,-415.448724873
20.1933310467,-415.412761231
21.602588716,-415.342918066
23.110196042,-415.232485593
24.7230166774,-415.07369978
26.4483932771,-414.857593475
28.2941809274,-414.573828381
30.2687829073,-414.210505715
32.3811889463,-413.753953281
34.6410161514,-413.188486503
37.058552791,-412.496140855
39.6448051339,-411.656373024
42.4115475574,-410.6457281
45.3713761523,-409.437470116
48.5377660688,-408.001173374
51.9251328643,-406.302272264
55.5488981334,-404.301567707
59.4255597168,-401.954689028
63.5727668113,-399.21151105
68.0094003204,-396.015527575
72.7556588133,-392.303184323
77.8331504824,-388.003176952
83.2649915186,-383.035723211
89.0759113517,-377.311822739
95.2923652356,-370.732523903
101.942654691,-363.188224602
109.057056352,-354.558043726
116.667959808,-344.7093124
124.81001506,-333.497250001
133.520290275,-320.764910052
142.838440541,-306.343506537
152.806888407,-290.053263216
163.47101702,-271.704968826
174.879376735,-251.102471591
187.083906155,-228.046409708
200.140168588,-202.339553478
214.107605008,-173.794233312
229.049804673,-142.242450537
245.034794624,-107.549420513
262.135349394,-69.631487128
280.429322322,-28.479582855
300,15.8103
