temperature_K,value_W/(m-K)
4,34.3580737502
4.13667957659,35.1208012853
4.27802947984,36.0534415255
4.42420929433,37.1369234619
4.5753840576,38.3548919459
4.73172444653,39.6930380206
4.89340697,41.1386521098
5.06061416819,42.6803387018
5.23353481863,44.3078475214
5.4123641494,46.0119872621
5.59730405948,47.7845957275
5.7885633467,49.6185459621
5.98635794352,51.5077723943
6.19091116078,53.4473046295
6.40245393982,55.4332995796
6.62122511322,57.4630652349
6.84747167447,59.5350716249
7.08144905676,61.6489464187
7.32342142144,63.8054541637
7.5736619562,66.0064593785
7.83245318355,68.2548746031
8.10008727975,70.5545950873
8.37686640468,72.9104221035
8.66310304302,75.3279769441
8.95912035698,77.8136075429
9.26525255123,80.3742894036
9.58184525016,83.0175221683
9.90925588809,85.7512227542
10.2478541129,88.5836155766
10.5980222031,91.5231199753
10.9601555,94.5782346193
11.3346628533,97.7574183745
11.7219670832,101.068966918
12.1225054576,104.520884271
12.5367301859,108.120748398
12.9651089293,111.875570115
13.408125329,115.791644733
13.8662795522,119.874396141
14.3400888567,124.128213446
14.830088175,128.55628074
15.3368307181,133.160401162
15.8608886003,137.940817035
16.4028534849,142.896028587
16.9633372522,148.022614491
17.5429726905,153.315058198
18.1424142103,158.765584792
18.7623385835,164.364013748
19.4034457068,170.097633567
20.0664593927,175.951104677
20.7521281861,181.906397237
21.4612262095,187.9427705
22.1945540374,194.0368001
22.9529395995,200.16245905
23.737239116,206.291257324
24.5483380639,212.392443621
25.3871521771,218.433271339
26.2546284796,224.379328838
27.1517463557,230.19493197
28.0795186546,235.843574497
29.0389928347,241.288429618
30.031252146,246.492893438
31.0574168529,251.421159019
32.1186454993,256.038807647
33.2161362161,260.313402499
34.3511280746,264.215068759
35.5249024848,267.717043917
36.7387846423,270.796182129
37.9941450246,273.433397523
39.2924009383,275.61403286
40.6350181192,277.328142235
42.023512387,278.570679192
43.4594513569,279.341584789
44.9444562095,279.645773515
46.4802035207,279.493018418
48.0684271549,278.897740158
49.7109202226,277.878707839
51.4095371046,276.45866212
53.1661955456,274.663873351
54.9828788196,272.523649011
56.8616379688,270.069805673
58.8045941193,267.336120958
60.8139408757,264.357780607
62.8919467981,261.170834819
65.0409579629,257.8116766
67.2634006117,254.316553041
69.5617838906,250.721118401
71.9387026828,247.060035633
74.3968405386,243.366630776
76.9389727047,239.672602402
79.5679692578,236.007786353
82.2867983449,232.399974147
85.098529534,228.874781905
88.0063372803,225.455565417
91.0135045095,222.163375996
94.1234263245,219.016951156
97.3396138388,216.032733721
100.66569814,213.224912936
104.10543439,210.605481169
107.662706063,208.184300144
111.341529333,205.969171077
115.146057604,203.965903629
119.080586204,202.178379351
123.14955723,200.608605941
127.357564564,199.256759592
131.709359064,198.121213526
136.209853922,197.198551807
140.864130212,196.483568575
145.677442631,195.969253904
150.655225425,195.646768725
155.803098531,195.505412438
161.126873915,195.532588185
166.632562141,195.713772093
172.326379151,196.032494148
178.214753285,196.470339686
184.304332541,197.006981631
190.601992074,197.620254663
197.114841968,198.286283031
203.850235253,198.979674042
210.815776213,199.673788709
218.019328971,200.341100008
225.469026364,200.953647093
233.173279128,201.483591018
241.140785394,201.903873555
249.380540506,202.188976126
257.901847177,202.315770588
266.714325996,202.264447943
275.827926282,202.019505848
285.252937326,201.570771208
295,200.914431381
