temperature_K,value_J/(kg-K)
2,0.211761661424
2.03630344344,0.224591534585
2.07326585688,0.23822137673
2.11089920176,0.2527006079
2.14921565664,0.26808149459
2.18822762115,0.284419290278
2.22794771999,0.301772380708
2.26838880701,0.320202433873
2.30956396938,0.33977455465
2.35148653184,0.360557444022
2.39417006099,0.382623562784
2.43762836968,0.40604929963
2.4818755215,0.430915143459
2.52692583531,0.457305859759
2.57279388987,0.485310670859
2.6194945286,0.515023439841
2.66704286433,0.546542857869
2.71545428421,0.579972634646
2.76474445472,0.615421691721
2.81492932668,0.653004358295
2.86602514047,0.692840569178
2.91804843126,0.735056064512
2.97101603435,0.779782590827
3.02494509062,0.82715810301
3.07985305212,0.877326966698
3.13575768765,0.930440160602
3.19267708858,0.986655478248
3.25062967462,1.04613772857
3.30963419989,1.10905893483
3.36970975887,1.17559853121
3.43087579269,1.24594355651
3.49315209532,1.3202888444
3.55655882008,1.39883720946
3.62111648605,1.48179962844
3.68684598482,1.56939541611
3.75376858715,1.66185239507
3.82190594994,1.75940705871
3.89128012318,1.86230472699
3.9619135571,1.97079969404
4.03382910946,2.08515536725
4.10705005291,2.20564439714
4.18160008256,2.3325487974
4.25750332359,2.46616005462
4.33478433914,2.60677922711
4.41346813817,2.75471703247
4.49358018363,2.91029392329
4.57514640064,3.07384015071
4.65819318492,3.24569581544
4.74274741132,3.42621090594
4.82883644251,3.61574532359
4.91648813784,3.81466889458
5.00573086235,4.02336136843
5.09659349596,4.24221240316
5.18910544281,4.47162153704
5.28329664077,4.71199814704
5.37919757115,4.96376139424
5.47683926853,5.22734015622
5.57625333083,5.50317294699
5.67747192952,5.79170782464
5.78052782004,6.09340228736
5.88545435242,6.40872315814
5.99228548201,6.73814645899
6.10105578053,7.08215727515
6.21180044725,7.44124961015
6.32455532034,7.81592623247
6.4393568885,8.20669851471
6.55624230279,8.61408626606
6.67524938858,9.03861755924
6.79641665789,9.48082855265
6.91978332174,9.94126330905
7.04538930295,10.4204736116
7.17327524897,10.9190187787
7.3034825451,11.4374654779
7.43605332783,11.9763875418
7.57103049852,12.5363657846
7.70845773725,13.1179878225
7.84837951697,13.7218478982
7.9908411179,14.3485467107
8.13588864217,14.9986912512
8.28356902873,15.6728946469
8.43393006857,16.3717760125
8.58702042017,17.0959603118
8.74288962522,17.8460782288
8.90158812471,18.6227660505
9.0631672752,19.4266655609
9.22767936547,20.2584239475
9.39517763341,21.1186937214
9.56571628331,22.00813265
9.73935050332,22.927403704
9.91613648337,23.877175019
10.0961314333,24.8581198704
10.2793936015,25.870916664
10.4659822936,26.9162489397
10.6559578917,27.9948053903
10.849381874,29.1072798943
11.0463168346,30.2543715615
11.2468265038,31.4367847923
11.4509757687,32.6552293496
11.6588306943,33.9104204415
11.8704585446,35.2030788161
12.0859278048,36.5339308648
12.305308203,37.9037087354
12.5286707331,39.3131504523
12.7560876778,40.7630000429
12.9876326315,42.2540076685
13.2233805248,43.7869297595
13.4634076483,45.3625291506
13.7077916773,46.9815752174
13.9566116972,48.6448440103
14.2099482289,50.353118384
14.4678832547,52.1071881228
14.7305002454,53.9078500561
14.9978841866,55.755908165
15.2701216068,57.6521736765
15.5473006048,59.5974651429
15.8295108788,61.5926085041
16.1168437552,63.6384371319
16.409392218,65.7357918514
16.7072509392,67.8855209389
17.0105163089,70.0884800941
17.3192864672,72.3455323819
17.6336613355,74.6575481446
17.9537426489,77.0254048789
18.2796339893,79.4499870774
18.6114408186,81.9321860316
18.9492705131,84.472899593
19.2932323982,87.073031892
19.6434377838,89.7334930101
20,92.4551986048
20.3630344344,95.2390694838
20.7326585688,98.086031128
21.1089920176,100.997013159
21.4921565664,103.972948752
21.8822762115,107.01477399
22.2794771999,110.123427158
22.6838880701,113.299847977
23.0956396938,116.544976777
23.5148653184,119.859753605
23.9417006099,123.245117266
24.3762836968,126.702004307
24.818755215,130.231347927
25.2692583531,133.834076824
25.7279388987,137.511113977
26.194945286,141.263375365
26.6704286433,145.091768615
27.1545428421,148.997191586
27.6474445472,152.980530901
28.1492932668,157.042660402
28.6602514047,161.184439559
29.1804843126,165.406711812
29.7101603435,169.710302866
30.2494509062,174.096018936
30.7985305212,178.564644934
31.3575768765,183.116942629
31.9267708858,187.753648755
32.5062967462,192.475473096
33.0963419989,197.283096539
33.6970975887,202.177169107
34.3087579269,207.158307981
34.9315209532,212.227095513
35.5655882008,217.384077243
36.2111648605,222.629759927
36.8684598482,227.964609585
37.5376858715,233.389049581
38.2190594994,238.903458745
38.9128012318,244.508169542
39.619135571,250.20346632
40.3382910946,255.989583621
41.0705005291,261.866704591
41.8160008256,267.834959499
42.5750332359,273.89442437
43.3478433914,280.045119758
44.1346813817,286.28700967
44.9358018363,292.620000658
45.7514640064,299.043941101
46.5819318492,305.558620688
47.4274741132,312.163770119
48.2883644251,318.859061057
49.1648813784,325.644106332
50.0573086235,332.518460426
50.9659349596,339.481620261
51.8910544281,346.533026303
52.8329664077,353.672064009
53.7919757115,360.898065629
54.7683926853,368.210312401
55.7625333083,375.608037135
56.7747192952,383.090427228
57.8052782004,390.656628119
58.8545435242,398.305747211
59.9228548201,406.036858275
61.0105578053,413.849006358
62.1180044725,421.74121322
63.2455532034,429.712483306
64.393568885,437.761810293
65.5624230279,445.888184206
66.7524938858,454.090599146
67.9641665789,462.368061625
69.1978332174,470.719599548
70.4538930295,479.144271834
71.7327524897,487.64117872
73.034825451,496.209472744
74.3605332783,504.848370429
75.7103049852,513.557164687
77.0845773725,522.335237961
78.4837951697,531.182076112
79.908411179,540.097283077
81.3588864217,549.080596311
82.8356902873,558.131903031
84.3393006857,567.251257284
85.8702042017,576.438897858
87.4288962522,585.695267053
89.0158812471,595.021030349
90.631672752,604.417096985
92.2767936547,613.884641494
93.9517763341,623.425126209
95.6571628331,633.040324802
97.3935050332,642.73234688
99.1613648337,652.503663705
100.961314333,662.357135075
102.793936015,672.296037454
104.659822936,682.324093407
106.559578917,692.445502429
108.49381874,702.664973267
110.463168346,712.987757835
112.468265038,723.419686844
114.509757687,733.9672073
116.588306943,744.637421992
118.704585446,755.438131179
120.859278048,766.377876653
123.05308203,777.465988396
125.286707331,788.712634089
127.560876778,800.128871741
129.876326315,811.726705754
132.233805248,823.519146758
134.634076483,835.520275623
137.077916773,847.745312057
139.566116972,860.210688292
142.099482289,872.93412838
144.678832547,885.934733717
147.305002454,899.233075445
149.978841866,912.851294496
152.701216068,926.813210102
155.473006048,941.144437705
158.295108788,955.872517306
161.168437552,971.02705341
164.09392218,986.63986787
167.072509392,1002.74516707
170.105163089,1019.3797251
173.192864672,1036.58308466
176.336613355,1054.39777787
179.537426489,1072.86956913
182.796339893,1092.04772269
186.114408186,1111.98529778
189.492705131,1132.73947461
192.932323982,1154.3719148
196.434377838,1176.94916054
200,1200.54307697
