temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
77,-706.545674596
78.6247204204,-701.324349683
80.2837228726,-695.987033639
81.9777307164,-690.531203017
83.7074825751,-684.95428653
85.4737326567,-679.25366462
87.2772510834,-673.426669032
89.1188242272,-667.470582423
90.9992550527,-661.382637975
92.9193634673,-655.160019039
94.8799866787,-648.799858786
96.8819795598,-642.299239882
98.9262150217,-635.655194171
101.013584394,-628.864702378
103.144997813,-621.924693818
105.321384621,-614.83204611
107.543693768,-607.583584901
109.812894227,-600.176083574
112.129975418,-592.606262967
114.495947636,-584.870791056
116.911842495,-576.96628263
119.378713377,-568.889298923
121.897635889,-560.636347204
124.469708333,-552.203880308
127.096052188,-543.588296092
129.777812596,-534.785936799
132.516158858,-525.793088314
135.312284954,-516.605979279
138.167410051,-507.22078005
141.082779045,-497.633601461
144.059663098,-487.840493365
147.099360194,-477.83744291
150.203195705,-467.62037251
153.372522968,-457.185137455
156.608723877,-446.527523119
159.913209484,-435.643241692
163.287420613,-424.52792837
166.732828492,-413.177136932
170.250935391,-401.586334609
173.843275278,-389.750896154
177.511414489,-377.666097007
181.256952411,-365.327105425
185.081522177,-352.728973458
188.986791378,-339.866626614
192.974462796,-326.734852041
197.046275137,-313.328285062
201.204003799,-299.64139384
205.449461639,-285.668461953
209.784499765,-271.403568643
214.211008345,-256.840566429
218.73091743,-241.973055818
223.346197795,-226.794356738
228.0588618,-211.297476341
232.870964265,-195.475072751
237.784603368,-179.319414303
242.80192156,-162.822333761
247.925106496,-145.975176966
253.156391993,-128.768745288
258.498059001,-111.193231219
263.9524366,-93.238146338
269.521903012,-74.8922408433
275.208886643,-56.143413737
281.015867137,-36.9786126643
286.945376459,-17.3837223103
293,2.6565598523
