temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
4,-316.68
4.27915308593,-316.68
4.5777877832,-316.68
4.8972636798,-316.68
5.23903524701,-316.68
5.60465846113,-316.68
5.99579788738,-316.68
6.4142342581,-316.68
6.86187257985,-316.68
7.34075080633,-316.68
7.85304911648,-316.68
8.40109984019,-316.68
8.98739807658,-316.68
9.61461305347,-316.68
10.2856002794,-316.68
11.0034145441,-316.68
11.7713238255,-316.68
12.5928241684,-316.68
13.4716556002,-316.68
14.4118191585,-316.68
15.4175951065,-316.68
16.4935624194,-316.68
17.6446196312,-316.68
18.8760071362,-316.68
20.1933310467,-316.68
21.602588716,-316.68
23.110196042,-316.68
24.7230166774,-316.671385409
26.4483932771,-316.625247695
28.2941809274,-316.521315028
30.2687829073,-316.34858426
32.3811889463,-316.094472192
34.6410161514,-315.744628452
37.058552791,-315.282732291
39.6448051339,-314.690273269
42.4115475574,-313.946316145
45.3713761523,-313.027250854
48.5377660688,-311.906529024
51.9251328643,-310.554389308
55.5488981334,-308.937574695
59.4255597168,-307.019046073
63.5727668113,-304.757697539
68.0094003204,-302.108080314
72.7556588133,-299.02014357
77.8331504824,-295.439001874
83.2649915186,-291.304740233
89.0759113517,-286.552268498
95.2923652356,-281.111236995
101.942654691,-274.906023895
109.057056352,-267.855801457
116.667959808,-259.874681618
124.81001506,-250.871929817
133.520290275,-240.752217379
142.838440541,-229.415853833
152.806888407,-216.758897131
163.47101702,-202.672975774
174.879376735,-187.044564224
187.083906155,-169.75332067
200.140168588,-150.668909041
214.107605008,-129.645464938
229.049804673,-106.51250019
245.034794624,-81.06053628
262.135349394,-53.0190630667
280.429322322,-22.0234696721
300,12.4337
