temperature_K,value_W/(m•K)
1,0.316118563675
1.03811054717,0.339458601727
1.07767350815,0.36378807957
1.11874423522,0.389095484558
1.16138019018,0.415367935553
1.2056410247,0.442591721931
1.25158866385,0.470752864223
1.29928739266,0.499837686527
1.34880394613,0.529833391256
1.40020760255,0.560728627414
1.45357028044,0.592514044465
1.50896663918,0.625182824857
1.56647418347,0.658731189412
1.62617337174,0.693158870957
1.68814772873,0.728469552787
1.75248396239,0.76467126973
1.81927208511,0.801776770696
1.88860553973,0.839803842634
1.96058133024,0.878775596736
2.03530015752,0.918720718511
2.11286656018,0.959673684037
2.1933890609,1.00167494519
2.27698031817,1.04477108702
2.363757284,1.0890149608
2.45384136748,1.13446579614
2.54735860468,1.18118929596
2.64443983495,1.22925771763
2.74522088403,1.27874994367
2.84984275403,1.32975154515
2.95845182074,1.38235484042
3.07120003842,1.43665895172
3.18824515237,1.49276986169
3.30975091965,1.55080047143
3.4358873382,1.61087066142
3.56683088469,1.67310735604
3.70276476138,1.73764459222
3.8438791525,1.80462359224
3.99037149027,1.87419284031
4.14244673119,1.94650816228
4.30031764275,2.0217328074
4.46420510114,2.10003753078
4.63433840024,2.18160067496
4.81095557246,2.2666082486
4.99430372176,2.35525400019
5.18463936935,2.44773948452
5.38222881261,2.54427411932
5.58734849768,2.64507522936
5.80028540617,2.75036807558
6.02133745677,2.86038586604
6.25081392196,2.97536974624
6.48903586081,3.0955687658
6.7363365681,3.22123981888
6.99306204066,3.35264755563
7.25957146145,3.49006426228
7.53623770209,3.63376970757
7.82344784455,3.78405095343
8.12160372269,3.94120212832
8.43112248449,4.10552416168
8.75243717567,4.27732447858
9.08599734554,4.45691665397
9.432269676,4.64462002631
9.79173863444,4.84075927098
10.1649071516,5.04566393439
10.5522973251,5.25966792993
10.9544511501,5.48310899781
11.3719312774,5.71632813102
11.8053218008,5.95966897019
12.2552290742,6.21347717054
12.72228256,6.47809974439
13.2071357096,6.75388438288
13.7104668781,7.04117876078
14.2329802729,7.340329828
14.775406939,7.65168309133
15.3385057822,7.97558188954
15.9230646303,8.31236666405
16.5299013361,8.66237422682
17.1598649207,9.02593702558
17.8138367623,9.4033824051
18.4927318286,9.79503186151
19.1974999573,10.2012002841
19.929127185,10.6221951769
20.6886371268,11.0583158488
21.4770924079,11.509852558
22.2955961513,11.9770855929
23.1452935202,12.4602842662
24.0273733208,12.9597057962
24.9430696652,13.4755940416
25.8936636983,14.008178054
26.8804853902,14.557670402
27.9049153967,15.1242652189
28.9683869913,15.7081359159
30.0723880703,16.3094324974
31.2184632345,16.9282784081
32.4082159503,17.5647668315
33.6433107931,18.2189563555
34.9254757761,18.8908659112
36.2565047683,19.5804688826
37.6382600036,20.2876862808
39.072674687,21.012378868
40.5617556989,21.7543381105
42.1075864029,22.5132758386
43.7123295609,23.2888124865
45.3782303587,24.0804637861
47.1076195475,24.8876257921
48.9029167045,25.7095581245
50.7666336185,26.5453653224
52.7013778039,27.3939762282
54.7098561488,28.2541213404
56.7948787024,29.1243081146
58.9593626064,30.0027942349
61.2063361764,30.8875589395
63.5389431386,31.7762725591
65.9604470285,32.6662645195
68.4742357565,33.5544901729
71.0838263485,34.4374969575
73.7928698659,35.3113905469
76.605156514,36.1718018337
79.5246209451,37.0138558094
82.5553477631,37.8321436383
85.7015772385,38.6206994915
88.9677112407,39.3729839898
92.3583193969,40.0818764031
95.8781454852,40.7396780572
99.5321140717,41.3381296827
103.3253374,41.8684457018
107.263122546,42.3213686391
111.350978837,42.6872469488
115.594625569,42.9561395229
120,43.1179499362
