temperature_K,value_J/(kg•K)
14,0.716864450947
14.3331108593,0.752171911016
14.6741476361,0.789932880328
15.0232989168,0.830318778582
15.3807577748,0.873506605696
15.7467218776,0.91967947456
16.1213935959,0.969027163702
16.5049801156,1.02174670461
16.897693552,1.07804302021
17.2997510677,1.13812963304
17.7113749923,1.20222946318
18.1327929454,1.27057573711
18.5642379625,1.34341303036
19.005948624,1.42099846743
19.4581691868,1.503603103
19.9211497195,1.59151350992
20.3951462411,1.68503359914
20.8804208619,1.7844866978
21.3772419288,1.89021791182
21.8858841737,2.00259679981
22.4066288655,2.12202038628
22.9397639652,2.24891654181
23.4855842857,2.38374776032
24.0443916545,2.52701536372
24.6164950807,2.67926416677
25.2022109257,2.84108763813
25.8018630785,3.01313359404
26.4157831344,3.1961104679
27.0443105786,3.39079420112
27.6877929741,3.59803580662
28.3465861535,3.81876966053
29.0210544158,4.05402258735
29.7115707283,4.30492380699
30.4185169324,4.57271582201
31.1422839549,4.85876633191
31.8832720242,5.16458126898
32.6418908915,5.49181905924
33.4185600576,5.84230622164
34.2137090047,6.21805442917
35.0277774338,6.62127916103
35.8612155082,7.05442008779
36.7144841021,7.52016333565
37.5880550556,8.02146578501
38.4824114356,8.56158156205
39.398047803,9.14409088627
40.3354704858,9.77293143483
41.2951978597,10.4524323858
42.2777606344,11.1873512887
43.283702147,11.9829139067
44.3135786625,12.8448571484
45.3679596817,13.7794751889
46.4474282557,14.7936688379
47.5525813085,15.8949981813
48.6840299673,17.0917384574
49.8423999001,18.3929390619
51.0283316616,19.8084855125
52.2424810481,21.3491640854
53.4855194592,23.0267287413
54.7581342699,24.8539698251
56.06102921,26.8447838855
57.394924754,29.0142437744
58.7605585187,31.3786680629
60.1586856718,33.9556885434
61.590079349,36.7643144521
63.0555310817,39.8249918013
64.5558512349,43.1596559926
66.0918694549,46.7917757308
67.6644351284,50.7463859505
69.2744178521,55.0501074601
70.9227079136,59.7311507308
72.6102167836,64.8193012475
74.33787762,70.3458838535
76.1066457839,76.3437034902
77.9174993681,82.846960029
79.7714397375,89.8911349907
81.6694920833,97.5128485865
83.6127059897,105.749685812
85.6021560142,114.639991117
87.6389422821,124.222632053
89.7241910946,134.536733099
91.8590555517,145.621382079
94.0447161897,157.515312675
96.2823816344,170.256567863
98.5732892691,183.882150189
100.918705919,198.42766633
103.319928551,213.926974213
105.778284993,230.411842097
108.295134665,247.911629962
110.871869335,266.453003551
113.509913882,286.05969221
116.210727094,306.752300481
118.975802463,328.54818367
121.80666902,351.461395214
124.704892176,375.502712943
127.67207459,400.679748168
130.709857053,426.99713906
133.819919396,454.456826745
137.003981421,483.058408617
140.263803848,512.799559053
143.601189294,543.676504587
147.017983263,575.684535035
150.516075173,608.818528448
154.097399397,643.073462127
157.763936336,678.444879936
161.517713507,714.929277747
165.360806675,752.52436851
169.29534099,791.229179904
173.32349217,831.043936406
177.4474877,871.969670156
181.669608065,914.007499965
185.992188012,957.157514026
190.417617839,1001.41718309
194.948344719,1046.77922786
199.58687405,1093.22885562
204.335770844,1140.7402772
209.197661146,1189.27241141
214.17523348,1238.76368322
219.271240342,1289.12582519
224.488499721,1340.23660181
229.829896653,1391.93140409
235.298384823,1443.99368901
240.896988192,1496.14430705
246.628802674,1548.02983884
252.496997845,1599.21018781
258.504818697,1649.14583183
264.655587433,1697.18535778
270.952705301,1742.55415958
277.39965448,1784.34551379
284,1821.51560029
