temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
75,-148.384840469
77.2564659042,-148.241512233
79.5808203201,-148.059913647
81.9751057558,-147.8369157
84.4414261708,-147.569184896
86.9819488249,-147.253171525
89.5989061823,-146.885097362
92.2945978737,-146.460942791
95.0713927169,-145.976433342
97.9317307986,-145.427025621
100.878125618,-144.807892627
103.913166298,-144.113908458
107.039519854,-143.339632394
110.259933547,-142.479292354
113.577237289,-141.526767751
116.994346135,-140.475571733
120.514262842,-139.31883285
124.140080509,-138.049276152
127.874985296,-136.659203772
131.72225922,-135.140475022
135.685283044,-133.484486071
139.767539242,-131.682149269
143.972615066,-129.723872205
148.304205694,-127.599536605
152.766117475,-125.298477195
157.36227128,-122.809460678
162.096705943,-120.120665004
166.973581812,-117.219659138
171.997184402,-114.093383581
177.171928165,-110.72813191
182.502360366,-107.109533687
187.993165081,-103.222539114
193.64916731,-99.0514058787
199.475337222,-94.5796886982
205.476794518,-89.7902321629
211.65881293,-84.6651675441
218.02682486,-79.185914351
224.586426146,-73.3331875205
231.343380988,-67.0870112586
238.303627006,-60.4267406911
245.473280462,-53.3310926464
252.858641632,-45.7781870767
260.466200344,-37.7456008306
268.302641681,-29.2104357258
276.374851854,-20.1494031345
284.689924254,-10.5389275942
293.255165685,-0.355272292888
302.078102786,10.4253103412
311.166488644,21.8263992855
320.528309606,33.8711926611
330.171792299,46.5822578731
340.105410857,59.9812388484
350.337894369,74.0885143719
360.87823455,88.9228007409
371.735693641,104.500691076
382.919812549,120.836122637
394.44041923,137.939762367
406.307637326,155.818299648
418.531895063,174.473633797
431.123934409,193.901942289
444.094820522,214.09261383
457.455951466,235.027028449
471.219068228,256.677164432
485.396265039,279.004009412
500,301.95575
