temperature_K,value_W/(m•K)
5,2.54331244506
5.24741435129,2.689343494
5.50707147483,2.84438796572
5.77957717813,3.00889189215
6.06556724578,3.1833221407
6.36570892285,3.36816673463
6.68070247158,3.56393509037
7.01128280522,3.77115814843
7.35822120262,3.99038837327
7.72232710773,4.22219959593
8.10445001809,4.46718667214
8.50548146686,4.72596492749
8.92635710277,4.99916936023
9.36805887317,5.28745357198
9.83161731496,5.59148839624
10.318113959,5.91196019517
10.8286838533,6.24956879589
11.3645182115,6.60502503948
11.9268671917,6.97904791828
12.5170428136,7.37236128076
13.1364220191,7.78569008798
13.7864498856,8.21975621162
14.4686429966,8.6752737711
15.1845929808,9.15294401611
15.9359702252,9.65344977188
16.7245277723,10.1774494765
17.5521054102,10.7255708538
18.420633965,11.2984042822
19.3321398056,11.8964959359
20.2887495714,12.5203407956
21.2926951342,13.1703756467
22.3463188049,13.8469722048
23.4520787991,14.5504305297
24.6125549716,15.2809729158
25.830454836,16.0387384679
27.1086198814,16.8237785938
28.4500322019,17.6360536681
29.8578214542,18.4754311414
31.3352721594,19.3416853841
32.8858313662,20.2344995694
34.513116693,21.1534699109
36.2209247686,22.0981125729
38.0132400896,23.0678735749
39.894244317,24.0621420084
41.8683260326,25.0802668737
43.9400909777,26.1215778348
46.1143727987,27.1854101757
48.3962443249,28.2711342258
50.7910294039,29.3781895087
53.3043153221,30.5061238581
55.9419658415,31.6546377458
58.7101348792,32.8236340751
61.6152808663,34.0132737231
64.6641818154,35.2240371706
67.8639511345,36.4567926424
71.2220542238,37.7128713076
74.7463258925,38.9941502691
78.4449886389,40.3031443101
82.3266718342,41.6431076879
86.4004318554,43.0181476786
90.6757732152,44.4333521121
95.1626707368,45.8949338164
99.8715928263,47.4103957511
104.813525897,48.988721702
110,50.6405987869
