temperature_K,value_J/(kg-K)
4,0.0994409039534
4.06803283246,0.102715496701
4.13722278149,0.106115500908
4.20758952758,0.109647085432
4.27915308593,0.113316774104
4.35193381217,0.11713146654
4.42595240815,0.121098460248
4.50122992782,0.125225474109
4.5777877832,0.129520673336
4.65564775053,0.133992695994
4.73483197638,0.138650681194
4.81536298402,0.143504299064
4.8972636798,0.148563782615
4.98055735966,0.153839961623
5.06526771577,0.15934429866
5.15141884324,0.165088927409
5.23903524701,0.171086693409
5.32814184881,0.177351197392
5.41876399424,0.183896841363
5.51092745999,0.190738877612
5.60465846113,0.197893460833
5.69998365865,0.205377703543
5.79693016697,0.213209735016
5.89552556168,0.221408763949
5.99579788738,0.229995145073
6.09777566567,0.238990449981
6.20148790323,0.248417542406
6.30696410011,0.258300658231
6.4142342581,0.268665490511
6.52332888926,0.279539279812
6.63427902461,0.290950910184
6.74711622296,0.30293101109
6.86187257985,0.315512065656
6.97858073675,0.328728525595
7.09727389027,0.342616933199
7.21798580164,0.357216050794
7.34075080633,0.372566998084
7.46560382377,0.388713397823
7.5925803673,0.40570153027
7.72171655432,0.423580496916
7.85304911648,0.442402393968
7.9866154102,0.462222496111
8.12245342723,0.483099451095
8.26060180552,0.505095485682
8.40109984019,0.528276623548
8.54398749467,0.552712915711
8.68930541211,0.578478684107
8.83709492693,0.605652778935
8.98739807658,0.634318850403
9.14025761348,0.664565635527
9.2957170172,0.696487260655
9.45382050681,0.730183560367
9.61461305347,0.765760413443
9.77814039323,0.803330096567
9.94444904002,0.843011656453
10.1135862989,0.88493130105
10.2856002794,0.929222810507
10.4605399096,0.97602796854
10.6384549494,1.02549701482
10.8193960052,1.07778911899
11.0034145441,1.1330728769
11.1905629086,1.19152682954
11.3808943315,1.25334000521
11.5744629508,1.3187124853
11.7713238255,1.38785599403
11.9715329509,1.46099451245
12.1751472748,1.53836491694
12.3822247135,1.62021764207
12.5928241684,1.70681736808
12.8070055426,1.79844373259
13.0248297582,1.8953920663
13.2463587734,1.99797415222
13.4716556002,2.10651900773
13.7007843223,2.22137368873
13.9338101134,2.34290411456
14.1707992556,2.47149591279
14.4118191585,2.60755528187
14.6569383781,2.75150987026
14.9062266363,2.90380966951
15.1597548412,3.06492791926
15.4175951065,3.23536202101
15.6798207727,3.41563445786
15.9465064276,3.60629371655
16.2177279276,3.8079152079
16.4935624194,4.02110218154
16.7740883616,4.24648662989
17.0593855474,4.48473017657
17.3495351271,4.73652494328
17.6446196312,5.00259438931
17.944722994,5.28369411685
18.2499305773,5.5806126353
18.5603291946,5.89417207677
18.8760071362,6.22522885486
19.197054194,6.57467425814
19.5235616869,6.94343496945
19.8556224872,7.33247350128
20.1933310467,7.74278853778
20.5367834237,8.1754151726
20.8860773102,8.63142503244
21.2413120598,9.11192627482
21.602588716,9.61806344922
21.9700100407,10.1510172098
22.3436805437,10.7120038684
22.7237065125,11.3022747757
23.110196042,11.9231155191
23.5032590658,12.5758449259
23.9030073874,13.2618138598
24.3095547116,13.9824037999
24.7230166774,14.7390251922
25.1435108902,15.5331155618
25.5711569562,16.3661373782
26.0060765155,17.2395756635
26.4483932771,18.1549353367
26.8982330543,19.1137382874
27.3557238,20.1175201734
27.8209956435,21.1678269372
28.2941809274,22.2662110419
28.775414245,23.4142274216
29.2648324791,24.6134291519
29.7625748404,25.86536284
30.2687829073,27.1715637416
30.7836006664,28.5335506118
31.3071745531,29.9528203001
31.8396534934,31.4308421002
32.3811889463,32.9690518728
