temperature_K,value_W/(m-K)
4,642.296960743
4.13722278149,661.079914158
4.27915308593,680.705048747
4.42595240815,701.207326518
4.5777877832,722.622203229
4.73483197638,744.985467974
4.8972636798,768.333053742
5.06526771577,792.700816017
5.23903524701,818.124276366
5.41876399424,844.638327905
5.60465846113,872.276899529
5.79693016697,901.072575808
5.99579788738,931.056169567
6.20148790323,962.256244312
6.4142342581,994.698583955
6.63427902461,1028.4056076
6.86187257985,1063.39572761
7.09727389027,1099.68264983
7.34075080633,1137.27461522
7.5925803673,1176.17358353
7.85304911648,1216.37435987
8.12245342723,1257.86366674
8.40109984019,1300.61916488
8.68930541211,1344.60842786
8.98739807658,1389.78787668
9.2957170172,1436.10168234
9.61461305347,1483.48064589
9.94444904002,1531.84106758
10.2856002794,1581.08361833
10.6384549494,1631.09222916
11.0034145441,1681.73301603
11.3808943315,1732.85326034
11.7713238255,1784.28046743
12.1751472748,1835.8215284
12.5928241684,1887.2620136
13.0248297582,1938.36562949
13.4716556002,1988.87387401
13.9338101134,2038.50593048
14.4118191585,2086.95884388
14.9062266363,2133.90802946
15.4175951065,2179.00816855
15.9465064276,2221.89455285
16.4935624194,2262.18494429
17.0593855474,2299.48202296
17.6446196312,2333.37650027
18.2499305773,2363.4509763
18.8760071362,2389.28461953
19.5235616869,2410.45874046
20.1933310467,2426.56331771
20.8860773102,2437.20451202
21.602588716,2442.01316985
22.3436805437,2440.65426952
23.110196042,2432.8371995
23.9030073874,2418.3266782
24.7230166774,2396.95402964
25.5711569562,2368.6284225
26.4483932771,2333.34756854
27.3557238,2291.20726944
28.2941809274,2242.4091143
29.2648324791,2187.26557868
30.2687829073,2126.20177982
31.3071745531,2059.75321885
32.3811889463,1988.55900144
33.4920481501,1913.35027832
34.6410161514,1834.93397678
35.8294002989,1754.17228027
37.058552791,1671.95871541
38.329872214,1589.19207494
39.6448051339,1506.74968489
41.0048477419,1425.46166631
42.4115475574,1346.08781391
43.8665051882,1269.29850765
45.3713761523,1195.66071164
46.9278727613,1125.62964513
48.5377660688,1059.54619912
50.2028878856,997.639689671
51.9251328643,940.035146932
53.7064606546,886.764077497
55.5488981334,837.777523465
57.4545417111,792.960264294
59.4255597168,752.145139366
61.4641948659,715.126671535
63.5727668113,681.673404987
65.7536747836,651.538600388
68.0094003204,624.469132028
70.3425100904,600.212591658
72.7556588133,578.522717668
75.2515922813,559.163338881
77.8331504824,541.911056542
80.5032708329,526.55689478
83.2649915186,512.907137718
86.1214549529,500.783548016
89.0759113517,490.023132954
92.1317224316,480.477594422
95.2923652356,472.012571119
98.5614360888,464.506756318
101.942654691,457.850953523
105.439868348,451.947115121
109.057056352,446.70739552
112.798334506,442.053239829
116.667959808,437.914521246
120.670335297,434.228734626
124.81001506,430.940249552
129.091709416,427.999623459
133.520290275,425.362973415
138.100796679,422.991404019
142.838440541,420.850488118
147.73861257,418.909796726
152.806888407,417.142474368
158.049034972,415.524856133
163.47101702,414.036122821
169.079003932,412.65799079
174.879376735,411.374433289
180.87873536,410.17143034
187.083906155,409.036744436
193.501949649,407.959719551
200.140168588,406.931101211
207.006116244,405.94287552
214.107605008,404.988125281
221.452715282,404.060901488
229.049804673,403.156108657
236.907517497,402.269402572
245.034794624,401.397099194
253.440883644,400.53609359
262.135349394,399.683787833
271.128084837,398.838026954
280.429322322,397.9970421
290.049645228,397.159400136
300,396.323959015
