temperature_K,value_J/(kg•K)
4,2.01588856639
4.13722278149,2.20694560797
4.27915308593,2.41239471101
4.42595240815,2.63305294596
4.5777877832,2.86976938555
4.73483197638,3.12342563617
4.8972636798,3.3949363138
5.06526771577,3.68524945862
5.23903524701,3.9953468831
5.41876399424,4.32624444827
5.60465846113,4.6789922637
5.79693016697,5.05467480719
5.99579788738,5.45441096039
6.20148790323,5.87935395786
6.4142342581,6.33069124739
6.63427902461,6.80964426039
6.86187257985,7.31746809215
7.09727389027,7.85545109269
7.34075080633,8.42491437012
7.5925803673,9.02721120943
7.85304911648,9.66372641087
8.12245342723,10.3358755537
8.40109984019,11.0451041914
8.68930541211,11.7928869881
8.98739807658,12.5807268032
9.2957170172,13.4101537377
9.61461305347,14.2827241534
9.94444904002,15.2000196788
10.2856002794,16.1636462164
10.6384549494,17.1752329691
11.0034145441,18.2364315023
11.3808943315,19.3489148612
11.7713238255,20.5143767629
12.1751472748,21.7345308846
12.5928241684,23.0111102704
13.0248297582,24.3458668785
13.4716556002,25.7405712924
13.9338101134,27.1970126207
14.4118191585,28.7169986083
14.9062266363,30.3023559854
15.4175951065,31.9549310754
15.9465064276,33.67659069
16.4935624194,35.4692233307
17.0593855474,37.3347407236
17.6446196312,39.2750797082
18.2499305773,41.2922045015
18.8760071362,43.3881093592
19.5235616869,45.564821652
20.1933310467,47.8244053761
20.8860773102,50.1689651135
21.602588716,52.6006504584
22.3436805437,55.1216609208
23.110196042,57.7342513218
23.9030073874,60.440737688
24.7230166774,63.2435036539
25.5711569562,66.1450073785
26.4483932771,69.1477889804
27.3557238,72.2544784925
28.2941809274,75.4678043387
29.2648324791,78.7906023291
30.2687829073,82.2258251712
31.3071745531,85.7765524928
32.3811889463,89.4460013669
33.4920481501,93.2375373327
34.6410161514,97.1546858991
35.8294002989,101.20114452
37.058552791,105.380795027
38.329872214,109.697716495
39.6448051339,114.156198538
41.0048477419,118.760754997
42.4115475574,123.516138002
43.8665051882,128.427352384
45.3713761523,133.499670404
46.9278727613,138.738646763
48.5377660688,144.150133859
50.2028878856,149.740297241
51.9251328643,155.515631222
53.7064606546,161.482974579
55.5488981334,167.649526296
57.4545417111,174.022861266
59.4255597168,180.61094587
61.4641948659,187.422153353
63.5727668113,194.465278877
65.7536747836,201.749554142
68.0094003204,209.284661435
70.3425100904,217.080746955
72.7556588133,225.148433238
75.2515922813,233.498830485
77.8331504824,242.14354657
80.5032708329,251.094695474
83.2649915186,260.364903869
86.1214549529,269.967315526
89.0759113517,279.915593188
92.1317224316,290.223917526
95.2923652356,300.906982716
98.5614360888,311.979988151
101.942654691,323.458625747
105.439868348,335.359062228
109.057056352,347.69791574
112.798334506,360.492226048
116.667959808,373.759417529
120.670335297,387.517254094
124.81001506,401.783785085
129.091709416,416.577281137
133.520290275,431.916158915
138.100796679,447.818893531
142.838440541,464.303917429
147.73861257,481.389504386
152.806888407,499.093637272
158.049034972,517.433858115
163.47101702,536.427098986
169.079003932,556.089492187
174.879376735,576.436158217
180.87873536,597.480969985
187.083906155,619.236291806
193.501949649,641.712691753
200.140168588,664.918626113
207.006116244,688.86009478
214.107605008,713.540266725
221.452715282,738.959074905
229.049804673,765.112780366
236.907517497,791.993505736
245.034794624,819.588738832
253.440883644,847.880807762
262.135349394,876.846329617
271.128084837,906.455635771
280.429322322,936.672177742
290.049645228,967.451918729
300,998.742717161
