temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
10,-714.596719
10.5458118713,-714.26978117
11.1214148025,-713.920199644
11.728434825,-713.546203083
12.368586721,-713.145863901
13.0436788673,-712.717083137
13.7556183445,-712.257573779
14.5064163234,-711.764842372
15.2981937474,-711.236168727
16.1331873231,-710.668583545
17.0137558394,-710.058843709
17.9423868306,-709.403405023
18.9217036038,-708.698392121
19.9544726491,-707.939565235
21.0436114548,-707.122283513
22.1921967496,-706.241464499
23.4034731932,-705.291539394
24.6808625431,-704.266403635
26.0279733201,-703.159362308
27.4486110025,-701.963069861
28.9467887762,-700.669463496
30.5267388712,-699.269689613
32.192924518,-697.754022546
33.9500525555,-696.111774813
35.8030867271,-694.33119799
37.7572617036,-692.399373241
39.8180978702,-690.302090431
41.9914169213,-688.023714655
44.2833583062,-685.547038897
46.7003965727,-682.853121391
49.2493596571,-679.921106153
51.9374481727,-676.728024966
54.7722557505,-673.24857897
57.7617904912,-669.454897816
60.9144975871,-665.316274175
64.2392831789,-660.798871153
67.7455395152,-655.865400012
71.4431714848,-650.474765282
75.3426245969,-644.581674195
79.454914489,-638.136207019
83.7916580452,-631.08334468
88.365106213,-623.362449704
93.1881786111,-614.906696266
98.2745000263,-605.642444775
103.638438902,-595.488556157
109.29514793,-584.355640646
115.260606852,-572.1452356
121.551667603,-558.748906547
128.186101919,-544.047265404
135.182651535,-527.908899527
142.561081136,-510.189205091
150.342234183,-490.729118127
158.5480918,-469.353736501
167.201834868,-445.870826198
176.327909506,-420.069205439
185.952096131,-391.717000624
196.101582287,-360.559768649
206.805039447,-326.31848115
218.092704005,-288.687367472
229.996462694,-247.331614955
242.549942664,-201.884927436
255.788606473,-151.946945868
269.749852269,-97.0805388232
284.473119434,-36.808975507
300,29.387
