temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
80,-237.61699648
81.5813805221,-236.273450347
83.1940205986,-234.900998969
84.8385381452,-233.498733143
86.515563292,-232.065702279
88.2257386251,-230.600912441
89.9697194327,-229.10332432
91.7481739563,-227.57185115
93.5617836467,-226.005356558
95.4112434251,-224.402652358
97.2972619493,-222.762496287
99.2205618856,-221.083589697
101.181880185,-219.36457519
103.181968366,-217.604034228
105.221592804,-215.800484703
107.301535021,-213.952378482
109.422591989,-212.058098949
111.585576435,-210.115958534
113.791317149,-208.124196272
116.040659305,-206.080975372
118.334464785,-203.984380851
120.673612507,-201.832417223
123.058998761,-199.623006287
125.491537557,-197.35398503
127.972160972,-195.023103681
130.501819506,-192.628023945
133.08148245,-190.166317451
135.712138252,-187.635464479
138.394794903,-185.032852974
141.130480315,-182.355777945
143.920242723,-179.601441273
146.76515108,-176.766952013
149.666295471,-173.849327255
152.624787527,-170.845493637
155.641760854,-167.752289584
158.718371467,-164.566468387
161.855798231,-161.284702232
165.055243315,-157.903587295
168.317932651,-154.419650048
171.645116403,-150.829354925
175.038069451,-147.129113504
178.498091871,-143.315295408
182.026509443,-139.384241114
185.624674149,-135.332276889
189.293964701,-131.155732117
193.03578706,-126.850959264
196.851574982,-122.414356797
200.742790562,-117.842395373
204.710924799,-113.131647655
208.757498163,-108.278822161
212.884061181,-103.28080156
217.092195028,-98.1346858998
221.383512137,-92.8378412869
225.759656812,-87.3879545762
230.222305862,-81.7830947052
234.77316924,-76.0217813481
239.413990701,-70.1030616381
244.146548472,-64.0265957742
248.972655925,-57.7927524073
253.894162283,-51.4027147806
258.912953319,-44.8585986933
264.030952085,-38.1635834546
269.250119646,-31.322057102
274.572455831,-24.3397772776
280,-17.22404928
