temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
77,-420.120585113
78.6247204204,-416.922810003
80.2837228726,-413.701055003
81.9777307164,-410.454744084
83.7074825751,-407.183191444
85.4737326567,-403.885591516
87.2772510834,-400.56100842
89.1188242272,-397.208364878
90.9992550527,-393.826430586
92.9193634673,-390.413810025
94.8799866787,-386.968929738
96.8819795598,-383.490025073
98.9262150217,-379.975126411
101.013584394,-376.422044894
103.144997813,-372.828357697
105.321384621,-369.191392866
107.543693768,-365.508213785
109.812894227,-361.775603325
112.129975418,-357.990047739
114.495947636,-354.147720408
116.911842495,-350.244465526
119.378713377,-346.275781844
121.897635889,-342.236806623
124.469708333,-338.122299957
127.096052188,-333.926629645
129.777812596,-329.643756847
132.516158858,-325.267222756
135.312284954,-320.790136588
138.167410051,-316.205165201
141.082779045,-311.504524725
144.059663098,-306.679974608
147.099360194,-301.722814569
150.203195705,-296.623884979
153.372522968,-291.373571273
156.608723877,-285.961813081
159.913209484,-280.378118825
163.287420613,-274.611586648
166.732828492,-268.650932614
170.250935391,-262.484527259
173.843275278,-256.100441676
177.511414489,-249.48650447
181.256952411,-242.630371056
185.081522177,-235.519606952
188.986791378,-228.141786903
192.974462796,-220.48461187
197.046275137,-212.536046144
201.204003799,-204.284477099
205.449461639,-195.718900363
209.784499765,-186.829133488
214.211008345,-177.606061532
218.73091743,-168.04191833
223.346197795,-158.130607619
228.0588618,-147.868068649
232.870964265,-137.252691347
237.784603368,-126.285786683
242.80192156,-114.972118429
247.925106496,-103.320503168
253.156391993,-91.344486075
258.498059001,-79.0631008161
263.9524366,-66.5017226902
269.521903012,-53.6930251171
275.208886643,-40.6780505573
281.015867137,-27.5074080734
286.945376459,-14.2426109569
293,-0.95756918163
