temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
4,-238.87
4.27915308593,-238.87
4.5777877832,-238.87
4.8972636798,-238.87
5.23903524701,-238.87
5.60465846113,-238.87
5.99579788738,-238.87
6.4142342581,-238.87
6.86187257985,-238.87
7.34075080633,-238.87
7.85304911648,-238.87
8.40109984019,-238.87
8.98739807658,-238.87
9.61461305347,-238.87
10.2856002794,-238.87
11.0034145441,-238.87
11.7713238255,-238.87
12.5928241684,-238.87
13.4716556002,-238.87
14.4118191585,-238.87
15.4175951065,-238.87
16.4935624194,-238.87
17.6446196312,-238.87
18.8760071362,-238.87
20.1933310467,-238.896139179
21.602588716,-238.88383335
23.110196042,-238.84846002
24.7230166774,-238.785358252
26.4483932771,-238.689136307
28.2941809274,-238.553569947
30.2687829073,-238.371488114
32.3811889463,-238.134644658
34.6410161514,-237.833574792
37.058552791,-237.457434883
39.6448051339,-236.99382418
42.4115475574,-236.428587124
45.3713761523,-235.745594963
48.5377660688,-234.926505578
51.9251328643,-233.950500678
55.5488981334,-232.793999961
59.4255597168,-231.430352384
63.5727668113,-229.829505559
68.0094003204,-227.957655347
72.7556588133,-225.776879273
77.8331504824,-223.244759324
83.2649915186,-220.314002324
89.0759113517,-216.932069415
95.2923652356,-213.040830571
101.942654691,-208.57626561
109.057056352,-203.468240351
116.667959808,-197.640395574
124.81001506,-191.010197985
133.520290275,-183.489216837
142.838440541,-174.983708136
152.806888407,-165.395611286
163.47101702,-154.624091746
174.879376735,-142.567799195
187.083906155,-129.128055542
200.140168588,-114.213243022
214.107605008,-97.7447321524
229.049804673,-79.6647758071
245.034794624,-59.9469029636
262.135349394,-38.609478806
280.429322322,-15.7332627413
300,8.516
