temperature_K,value_W/(m-K)
4,0.46242546296
4.27915308593,0.527227595378
4.5777877832,0.592640660968
4.8972636798,0.658667999544
5.23903524701,0.725552273183
5.60465846113,0.79371620751
5.99579788738,0.863706278208
6.4142342581,0.93614368128
6.86187257985,1.01168389373
7.34075080633,1.09098430475
7.85304911648,1.17467852747
8.40109984019,1.26335578468
8.98739807658,1.35754393353
9.61461305347,1.45769506061
10.2856002794,1.56417300815
11.0034145441,1.67724260715
11.7713238255,1.79706074562
12.5928241684,1.92366966386
13.4716556002,2.05699302998
14.4118191585,2.19683539984
15.4175951065,2.34288560869
16.4935624194,2.4947244839
17.6446196312,2.65183702678
18.8760071362,2.81362891039
20.1933310467,2.97944681153
21.602588716,3.14860177351
23.110196042,3.32039451696
24.7230166774,3.49414141155
26.4483932771,3.66919971233
28.2941809274,3.8449906647
30.2687829073,4.02101918792
32.3811889463,4.19688904745
34.6410161514,4.37231269591
37.058552791,4.54711527427
39.6448051339,4.72123258637
42.4115475574,4.89470316526
45.3713761523,5.06765481724
48.5377660688,5.24028624656
51.9251328643,5.412844529
55.5488981334,5.58559932248
59.4255597168,5.75881479065
63.5727668113,5.93272029267
68.0094003204,6.10748097713
72.7556588133,6.28316953191
77.8331504824,6.45974049768
83.2649915186,6.63700875834
89.0759113517,6.81463407225
95.2923652356,6.99211378738
101.942654691,7.16878616189
109.057056352,7.34384694603
116.667959808,7.51638202216
124.81001506,7.68541889363
133.520290275,7.84999962232
142.838440541,8.0092774257
152.806888407,8.16263860099
163.47101702,8.30985086692
174.879376735,8.45123883282
187.083906155,8.58788749208
200.140168588,8.72187593543
214.107605008,8.85654664676
229.049804673,8.99682182879
245.034794624,9.14958868345
262.135349394,9.32419265243
280.429322322,9.53310484055
300,9.79287324275
