temperature_K,value_J/(kg•K)
4,0.946346637904
4.06776576346,0.998188108272
4.13667957659,1.05310790872
4.20676088901,1.11127877879
4.27802947984,1.17288135252
4.35050546329,1.23810434397
4.42420929433,1.30714472005
4.49916177446,1.38020785929
4.5753840576,1.45750769465
4.65289765604,1.53926683871
4.73172444653,1.62571668953
4.81188667643,1.71709751525
4.89340697,1.81365851593
4.97630833481,1.91565786078
5.06061416819,2.02336269908
5.14634826386,2.13704914341
5.23353481863,2.25700222332
5.32219843928,2.38351580845
5.4123641494,2.5168924994
5.50405739658,2.6574434855
5.59730405948,2.80548836823
5.6921304552,2.96135494966
5.7885633467,3.12537898514
5.88662995033,3.29790389978
5.98635794352,3.47928046863
6.08777547261,3.6698664604
6.19091116078,3.87002624512
6.2957941161,4.08013036618
6.40245393982,4.30055507749
6.51092073462,4.53168184682
6.62122511322,4.77389682671
6.73339820693,5.02759029434
6.84747167447,5.29315606229
6.96347771091,5.57099086229
7.08144905676,5.86149370424
7.20141900719,6.16506521308
7.32342142144,6.48210694628
7.44749073237,6.81302069493
7.5736619562,7.15820777163
7.70197070236,7.51806828834
7.83245318355,7.89300042786
7.96514622599,8.28339971224
8.10008727975,8.6896582719
8.2373144294,9.11216411891
8.37686640468,9.55130042832
8.51878259151,10.0074448309
8.66310304302,10.4809687209
8.80986849092,10.9722365827
8.95912035698,11.4816053387
9.11090076471,12.0094237224
9.26525255123,12.5560316799
9.42221927942,13.1217598016
9.58184525016,13.7069287869
9.74417551483,14.3118489444
9.90925588809,14.9368197301
10.0771329607,15.5821293229
10.2478541129,16.2480542415
10.4214675273,16.9348590017
10.5980222031,17.6427958149
10.7775679696,18.3721043291
10.9601555,19.12301141
11.1458363263,19.8957309642
11.3346628533,20.6904638012
11.5266883737,21.5073975347
11.7219670832,22.3467065205
11.9205540953,23.2085518291
12.1225054576,24.0930812508
12.3278781669,25.0004293315
12.5367301859,25.9307174345
12.7491204589,26.884053827
12.9651089293,27.8605337872
13.1847565555,28.8602397277
13.408125329,29.883241333
13.6352782914,30.9295957065
13.8662795522,31.9993475223
14.1011943072,33.0925291795
14.3400888567,34.2091609534
14.5830306241,35.3492511406
14.830088175,36.5127961927
15.0813312368,37.6997808371
15.3368307181,38.9101781777
15.5966587288,40.1439497745
15.8608886003,41.4010456977
16.1295949066,42.6814045519
16.4028534849,43.9849534688
16.6807414572,45.311608064
16.9633372522,46.6612723565
17.2507206271,48.0338386475
17.5429726905,49.4291873561
17.8401759249,50.8471868116
18.1424142103,52.2876929991
18.4497728478,53.7505492586
18.7623385835,55.2355859357
19.0801996331,56.7426199847
19.4034457068,58.2714545227
19.7321680348,59.8218783365
20.0664593927,61.3936653413
20.4064141279,62.9865739947
20.7521281861,64.600346665
21.1036991386,66.2347089578
21.4612262095,67.8893690024
21.8248103042,69.5640167012
22.1945540374,71.2583229445
22.5705617621,72.9719387959
22.9529395995,74.7044946512
23.3417954684,76.4555993757
23.737239116,78.2248394244
24.1393821487,80.0117779517
24.5483380639,81.8159539144
24.9642222815,83.6368811755
25.3871521771,85.4740476154
25.8172471144,87.3269142551
26.2546284796,89.194914402
26.6994197154,91.077452822
27.1517463557,92.9739049488
27.6117360609,94.8836161358
28.0795186546,96.8059009607
28.5552261593,98.7400425898
29.0389928347,100.685292211
29.5309552146,102.640868544
30.031252146,104.605957438
30.5400248283,106.579711561
31.0574168529,108.561250195
31.5835742439,110.549659144
32.1186454993,112.543990759
32.6627816327,114.543264094
33.2161362161,116.546465199
33.7788654236,118.552547557
34.3511280746,120.560432672
34.9330856795,122.569010815
35.5249024848,124.577141939
36.1267455194,126.583656757
36.7387846423,128.587358007
37.3611925897,130.587021883
37.9941450246,132.581399659
38.6378205857,134.569219499
39.2924009383,136.549188451
39.9580708252,138.519994627
40.6350181192,140.480309578
41.3234338757,142.428790853
42.023512387,144.364084735
42.735451237,146.284829166
43.4594513569,148.189656839
44.1957170821,150.077198462
44.9444562095,151.946086183
45.7058800566,153.794957158
46.4802035207,155.622457268
47.26764514,157.427244964
48.0684271549,159.207995218
48.882775571,160.963403588
49.7109202226,162.692190362
50.5530948379,164.393104773
51.4095371046,166.064929261
52.2804887373,167.70648378
53.1661955456,169.316630105
54.0669075035,170.894276146
54.9828788196,172.43838022
55.9143680097,173.947955292
56.8616379688,175.422073129
57.8249560459,176.859868378
58.8045941193,178.260542519
59.8008286731,179.623367688
60.8139408757,180.947690343
61.8442166588,182.232934754
62.8919467981,183.478606287
63.9574269956,184.684294488
65.0409579629,185.849675908
66.142845506,186.974516697
67.2634006117,188.058674912
68.4029395355,189.102102545
69.5617838906,190.104847262
70.7402607388,191.067053814
71.9387026828,191.988965148
73.1574479602,192.870923173
74.3968405386,193.713369201
75.6572302131,194.516844047
76.9389727047,195.281987784
78.2424297609,196.009539158
79.5679692578,196.700334655
80.9159653037,197.355307239
82.2867983449,197.975484747
83.680855273,198.561987953
85.098529534,199.116028319
86.5402212398,199.638905425
88.0063372803,200.132004104
89.497291439,200.596791278
91.0135045095,201.034812518
92.555404414,201.447688335
94.1234263245,201.83711022
95.7180127856,202.204836434
97.3396138388,202.552687575
98.9886871504,202.882541925
100.66569814,203.196330584
102.371120112,203.49603242
104.10543439,203.78366882
105.86913045,204.06129826
107.662706063,204.331010709
109.486667431,204.594921843
111.341529333,204.855167104
113.227815268,205.113895562
115.146057604,205.373263613
117.09679773,205.63542847
119.080586204,205.902541453
121.097982913,206.176741056
123.14955723,206.460145766
125.235888171,206.754846604
127.357564564,207.062899364
129.515185213,207.386316518
131.709359064,207.727058718
133.940705382,208.087025886
136.209853922,208.468047801
138.517445107,208.871874157
140.864130212,209.300164003
143.250571544,209.754474506
145.677442631,210.236248961
148.14542841,210.746803969
150.655225425,211.287315689
153.207542018,211.858805083
155.803098531,212.462122061
158.442627511,213.097928418
161.126873915,213.766679483
163.856595321,214.468604365
166.632562141,215.20368472
169.455557839,215.971631916
172.326379151,216.771862551
175.245836313,217.603472207
178.214753285,218.465207408
181.233967989,219.355435711
184.304332541,220.272113937
187.426713491,221.21275451
190.601992074,222.174389975
193.831064452,223.153535764
197.114841968,224.146151352
200.454251407,225.147599979
203.850235253,226.152607235
207.303751959,227.155218844
210.815776213,228.148758074
214.387299219,229.12578338
218.019328971,230.078046911
221.71289054,230.996454736
225.469026364,231.871029747
229.288796541,232.690878401
233.173279128,233.444162598
237.123570448,234.118078259
241.140785394,234.698842278
245.22605775,235.171689824
249.380540506,235.520884084
253.605406185,235.729740816
257.901847177,235.780670207
262.27107607,235.655238693
266.714325996,235.334253528
271.232850977,234.797872918
275.827926282,234.025744515
280.500848784,232.997174951
285.252937326,231.691332848
290.085533095,230.087487347
295,228.165283681
