temperature_K,value_GPa
3,141.632435499
3.22348656324,141.636762607
3.46362187447,141.641306977
3.72164619083,141.646069164
3.99889216309,141.651047494
4.29679171853,141.656237583
4.61688345657,141.661631777
4.96082059544,141.66721851
5.33037951068,141.672981554
5.72746890989,141.678899173
6.1541396908,141.684943144
6.61259553387,141.691077644
7.10520428386,141.697257992
7.63451017937,141.703429213
8.20324699338,141.70952443
8.8143521527,141.715463055
9.4709819093,141.721148774
10.1765276418,141.726467298
10.9346333712,141.731283896
11.7492145821,141.735440678
12.6244784446,141.738753647
13.5649455447,141.741009528
14.5754732315,141.741962392
15.6612807049,141.741330112
16.8279759718,141.738790732
18.0815848106,141.733978808
19.428581893,141.726481868
20.8759242249,141.715837164
22.4310870781,141.701528931
24.1021025984,141.682986469
25.8976012906,141.659583432
27.8268565935,141.630638842
29.8998327755,141.595420453
32.1272363983,141.553151279
34.5205716146,141.503020287
37.0921995851,141.444198484
39.8554023212,141.375861913
42.824451285,141.29722338
46.0146810984,141.207575073
49.4425687442,141.106344668
53.1258186664,140.993167885
57.0834542108,140.86798091
61.3359158773,140.731136475
65.9051668915,140.583547712
70.814806641,140.426863982
76.0901925619,140.263682768
81.7585711059,140.09780098
87.8492184632,139.934507615
94.3935917692,139.780917049
101.425491575,139.646337841
108.98123642,139.542664971
117.099850416,139.484772744
125.823264791,139.490869621
135.196534465,139.582752751
145.268070749,139.785865971
156.089891375,140.129016241
167.717889169,140.643534194
180.212120717,141.361566804
193.637116555,142.313053223
208.062214453,143.52074405
223.561917536,144.99235954
240.216279076,146.708616396
258.111315958,148.605348961
277.339452937,150.547258913
298,152.289880436
