temperature_K,value_J/(kg-K)
4,0.974932630761
4.06012053639,0.987008412827
4.12114469251,0.9995961947
4.18308604987,1.01267507891
4.24595839414,1.02622775456
4.30977571818,1.04024030502
4.37455222516,1.05470203596
4.44030233172,1.06960531979
4.5070406712,1.08494545328
4.57478209687,1.10072052565
4.64354168526,1.11693129529
4.71333473948,1.13358107338
4.78417679266,1.15067561333
4.8560836114,1.16822300499
4.92907119927,1.18623357327
5.00315580037,1.20471978044
5.07835390297,1.22369613208
5.15468224312,1.2431790864
5.23215780847,1.26318696688
5.31079784195,1.28373987831
5.39061984568,1.30485962615
5.47164158483,1.32656963947
5.55388109159,1.34889489732
5.63735666916,1.37186185881
5.72208689585,1.39549839686
5.80809062922,1.41983373578
5.89538701023,1.44489839261
5.98399546755,1.47072412237
6.07393572187,1.49734386719
6.16522779027,1.52479170939
6.2578919907,1.5531028284
6.35194894649,1.58231346162
6.44741959094,1.61246086925
6.54432517198,1.643583303
6.64268725689,1.67571997874
6.74252773713,1.70891105319
6.84386883318,1.74319760464
6.94673309949,1.77862161782
7.05114342952,1.81522597308
7.15712306081,1.85305443998
7.26469558017,1.89215167557
7.37388492892,1.93256322757
7.48471540822,1.97433554283
7.59721168449,2.01751598134
7.71139879488,2.06215283634
7.82730215285,2.10829536087
7.94494755383,2.15599380145
8.06436118096,2.2052994394
8.18556961093,2.25626464046
8.30859981985,2.30894291349
8.43347918931,2.36338897893
8.56023551243,2.41965884797
8.68889700009,2.47780991301
8.81949228717,2.53790105073
8.95205043892,2.59999273822
9.08660095747,2.66414718342
9.22317378835,2.73042847071
9.3617993272,2.79890272253
9.50250842648,2.869638278
9.6453324024,2.94270588941
9.79030304182,3.01817893741
9.9374526094,3.09613366558
10.0868138547,3.17664943516
10.2384200196,3.25980900047
10.3923048454,3.34569880532
10.5485025808,3.43440930092
10.7070479891,3.52603528513
10.8679763562,3.62067626307
11.0313234982,3.71843682872
11.1971257697,3.81942706669
11.3654200715,3.92376297342
11.5362438593,4.0315668962
11.7096351514,4.14296798844
11.885632538,4.25810267877
12.0642751889,4.37711515121
12.2456028628,4.50015783303
12.4296559159,4.62739188597
12.6164753111,4.758987696
12.8061026269,4.89512535556
12.9985800666,5.03599513143
13.1939504681,5.18179790973
13.3922573129,5.33274560871
13.5935447362,5.48906154775
13.7978575365,5.65098075973
14.0052411855,5.81875023129
14.2157418386,5.99262905339
14.4294063447,6.17288846175
14.6462822571,6.35981174367
14.8664178434,6.55369398395
15.0898620972,6.75484161887
15.316664748,6.96357176262
15.5468762731,7.18021126545
15.7805479083,7.40509545712
16.0177316595,7.63856652335
16.2584803143,7.88097145575
16.5028474536,8.13265950856
16.7508874638,8.39397908757
17.0026555487,8.66527398794
17.2582077416,8.94687888911
17.5176009182,9.23911400572
17.7808928091,9.54227878469
18.0481420124,9.85664453
18.3194080071,10.1824458286
18.594751166,10.5198706454
18.8742327696,10.8690489507
19.1579150191,11.2300397414
19.4458610509,11.6028163241
19.7381349501,11.9872497324
20.0348017652,12.3830901717
20.3359275224,12.7899464086
20.6415792401,13.2072630607
20.951824944,13.6342957935
21.2667336825,14.0700845044
21.5863755416,14.513424659
21.9108216607,14.9628370628
22.2401442484,15.4165364895
22.5744165988,15.8723997596
22.9137131075,16.3279340602
23.2581092882,16.7802465351
23.6076817897,17.2260164362
23.9625084127,17.6614714196
24.3226681275,18.0823698857
24.688241091,18.4839915786
25.0593086653,18.8611389832
25.4359534349,19.2081523317
25.8182592259,19.5189412653
26.2063111243,19.7870363079
26.6001954947,20.0056632956
27,20.1678436777
