temperature_K,value_W/(m-K)
4,0.241863429223
4.27915308593,0.264166648364
4.5777877832,0.287817728751
4.8972636798,0.312995844117
5.23903524701,0.339899041029
5.60465846113,0.368742976212
5.99579788738,0.399759889619
6.4142342581,0.433197755564
6.86187257985,0.469319543793
7.34075080633,0.508402520212
7.85304911648,0.550737520626
8.40109984019,0.596628138678
8.98739807658,0.646389779862
9.61461305347,0.700348546204
10.2856002794,0.758839930341
11.0034145441,0.822207312744
11.7713238255,0.890800271325
12.5928241684,0.964972727955
13.4716556002,1.04508097113
14.4118191585,1.1314816072
15.4175951065,1.22452950377
16.4935624194,1.32457579688
17.6446196312,1.43196603826
18.8760071362,1.54703855869
20.1933310467,1.67012311907
21.602588716,1.80153991025
23.110196042,1.9415989477
24.7230166774,2.09059988623
26.4483932771,2.24883225511
28.2941809274,2.41657608458
30.2687829073,2.59410286287
32.3811889463,2.78167672871
34.6410161514,2.97955576954
37.058552791,3.18799326095
39.6448051339,3.40723864991
42.4115475574,3.63753805304
45.3713761523,3.87913401345
48.5377660688,4.13226423508
51.9251328643,4.39715899363
55.5488981334,4.67403690722
59.4255597168,4.96309874054
63.5727668113,5.26451891228
68.0094003204,5.57843438016
72.7556588133,5.90493059194
77.8331504824,6.24402421777
83.2649915186,6.59564242196
89.0759113517,6.95959849648
95.2923652356,7.33556376826
101.942654691,7.72303581509
109.057056352,8.12130318618
116.667959808,8.52940703059
124.81001506,8.94610029475
133.520290275,9.36980546264
142.838440541,9.79857218065
152.806888407,10.2300365264
163.47101702,10.661384138
174.879376735,11.0893198952
187.083906155,11.5100473052
200.140168588,11.9192611517
214.107605008,12.3121572565
229.049804673,12.6834633164
245.034794624,13.0274946319
262.135349394,13.3382380607
280.429322322,13.6094666428
300,13.8348859876
