temperature_K,value_W/(m-K)
5,1206.84015076
5.08027702749,1148.35499119
5.16184293521,1093.29981075
5.24471841666,1041.39415894
5.32892449756,992.389172164
5.41448254124,946.063459649
5.501414254,902.219559891
5.58974169066,860.680882086
5.67948726014,821.289061129
5.77067373112,783.901666458
5.86332423788,748.390214597
5.95746228608,714.638443118
6.05311175883,682.540810229
6.15029692264,652.001189597
6.24904243367,622.931734462
6.34937334392,595.251888843
6.45131510762,568.88752675
6.55489358767,543.77020293
6.66013506222,519.836500913
6.76706623131,497.027465957
6.87571422369,475.288112123
6.98610660364,454.566994065
7.09827137802,434.815835286
7.21223700333,415.989205633
7.32803239297,398.044241681
7.44568692455,380.940404433
7.56523044733,364.639269406
7.68669328985,349.104344804
7.81010626756,334.300913971
7.93550069067,320.195898777
8.0629083721,306.757741023
8.19236163551,293.956299277
8.32389332355,281.762758921
8.45753680619,270.149553423
8.59332598913,259.090295154
8.73129532246,248.559714257
8.87147980939,238.533604303
9.0139150151,228.988773634
9.1586370758,219.903001453
9.30568270786,211.254997865
9.45508921718,203.024367193
9.60689450858,195.191573996
9.7611370955,187.737911313
9.91785610969,180.645470755
10.0770913112,173.897114092
10.2388830985,167.476446106
10.4032725184,161.367788472
10.5703012772,155.556154519
10.7400117505,150.027224727
10.9124469942,144.767322875
11.0876507557,139.763392755
11.2656674846,135.002975408
11.4465423443,130.474186839
11.6303212231,126.165696203
11.8170507465,122.066704433
12.006778288,118.166923317
12.1995519821,114.456555032
12.3954207361,110.926272124
12.5944342423,107.567197964
12.7966429911,104.370887674
13.0020982834,101.329309543
13.2108522436,98.4348269407
13.4229578334,95.6801807424
13.6384688644,93.058472269
13.8574400124,90.563146752
14.0799268309,88.1879773301
14.3059857656,85.9270495796
14.5356741681,83.77474658
14.7690503111,81.7257345158
15.0061734027,79.7749488128
15.2471036016,77.9175808045
15.4919020326,76.1490649235
15.7406308017,74.4650664118
15.993353012,72.8614695424
16.2501327799,71.3343663405
16.5110352511,69.8800457982
16.7761266172,68.4949835674
17.0454741328,67.1758321225
17.3191461319,65.9194113777
17.5972120459,64.7226997475
17.879742421,63.5828256373
18.1668089357,62.4970593491
18.4584844198,61.4628053894
18.754842872,60.4775951659
19.0559594794,59.5390800579
19.361910636,58.645024848
19.6727739625,57.7933015004
19.9886283257,56.9818832727
20.3095538589,56.2088391482
20.6356319816,55.472328576
20.9669454207,54.7705965038
21.3035782315,54.101968696
21.6456158186,53.4648473191
21.9931449578,52.8577067873
22.3462538183,52.2790898541
22.7050319848,51.727603941
23.0695704801,51.2019176902
23.4399617889,50.7007577339
23.8162998802,50.2229056661
24.1986802323,49.7671952123
24.5871998559,49.3325095826
24.9819573197,48.9177790028
25.3830527746,48.5219784125
25.7905879797,48.1441253226
26.2046663277,47.7832778235
26.6253928716,47.4385327365
27.0528743507,47.1090238987
27.4872192183,46.7939205769
27.9285376689,46.4924259995
28.3769416661,46.2037760023
28.8325449714,45.9272377786
29.2954631724,45.6621087282
29.7658137129,45.4077153984
30.2437159221,45.1634125101
30.729291045,44.9285820617
31.2226622734,44.7026325075
31.7239547769,44.484998001
32.2332957349,44.2751376991
32.7508143685,44.0725351216
33.2766419735,43.8766975593
33.810911954,43.6871555274
34.3537598557,43.5034622543
34.9053234006,43.3251932084
35.4657425219,43.15194565
36.0351593994,42.9833382094
36.6137184957,42.8190104833
37.201566593,42.6586226488
37.7988528298,42.5018550863
38.4057287393,42.3484080129
39.0223482877,42.1980011185
39.648867913,42.0503732032
40.2854465649,41.9052818135
40.9322457451,41.7625028742
41.5894295485,41.6218303127
42.2571647044,41.4830756743
42.9356206189,41.3460677271
43.6249694183,41.2106520536
44.3253859922,41.0766906301
45.0370480381,40.944061388
45.7601361068,40.8126577625
46.4948336477,40.6823882231
47.2413270555,40.5531757879
47.9998057176,40.4249575212
48.7704620623,40.2976840139
49.553491607,40.1713188488
50.3490930086,40.0458380475
51.1574681134,39.9212295066
51.9788220082,39.7974924136
52.8133630729,39.6746366554
53.6613030327,39.5526822104
54.5228570125,39.4316585329
55.3982435908,39.311603924
56.2876848555,39.192564899
57.1914064604,39.0745955438
58.1096376822,38.9577568684
59.0426114785,38.8421161554
59.9905645475,38.7277463078
60.9537373874,38.6147251932
61.9323743578,38.5031349914
62.9267237416,38.3930615424
63.9370378079,38.2845936973
64.9635728763,38.1778226761
66.0065893814,38.0728414293
67.0663519395,37.9697440066
68.1431294152,37.8686249359
69.2371949899,37.7695786083
70.348826231,37.6726986753
71.4783051625,37.578077457
72.6259183362,37.48580536
73.7919569048,37.3959703093
74.9767166954,37.3086571937
76.1804982849,37.2239473211
77.403607076,37.1419178924
78.6463533746,37.0626414865
79.909052469,36.9861855618
81.1920247094,36.9126119714
82.4955955893,36.8419764952
83.8200958283,36.7743283875
85.1658614558,36.7097099415
86.5332338961,36.6481560696
87.9225600553,36.5896939021
89.3341924095,36.5343424043
90.7684890935,36.4821120121
92.2258139924,36.4330042856
93.7065368334,36.3870115871
95.2110332801,36.3441167778
96.7396850274,36.3042929383
98.2928798983,36.2675031148
