temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
20,-92.428651672
20.9147397651,-92.4508106667
21.8713169722,-92.4697575034
22.8716451397,-92.4849765475
23.9177253049,-92.4958978197
25.0116500263,-92.5018921518
26.1556075699,-92.5022659717
27.3518862862,-92.4962556951
28.6028791881,-92.4830217038
29.9110887376,-92.4616418882
31.279131852,-92.4311047337
32.7097451382,-92.3903019286
34.2057903675,-92.3380204771
35.7702601999,-92.2729342966
37.4062841706,-92.1935952851
39.1171349505,-92.0984238457
40.9062348924,-91.9856988573
42.7771628773,-91.8535470876
44.7336614735,-91.6999320471
46.779644423,-91.5226422922
48.9192044707,-91.3192791897
51.1566215511,-91.0872441677
53.4963713503,-90.8237254867
55.9431342586,-90.5256845777
58.5018047332,-90.1898420104
61.1775010893,-89.8126631692
63.9755757383,-89.3903437379
66.9016258946,-88.9187951128
69.9615047725,-88.3936298923
73.1613332948,-87.8101476193
76.5075123366,-87.1633209834
80.00673553,-86.4477827284
83.6660026534,-85.6578135475
87.4926336343,-84.7873312947
91.4942831915,-83.8298818842
95.6789561474,-82.7786323031
100.055023441,-81.626366213
104.631238873,-80.3654826717
109.416756617,-78.987998561
114.42114953,-77.4855553603
119.654428302,-75.8494309565
125.127061484,-74.0705572234
130.849996426,-72.1395441377
136.834681176,-70.0467112111
143.093087382,-67.7821270137
149.63773424,-65.3356575168
156.481713534,-62.6970239023
163.638715828,-59.8558703314
171.123057852,-56.8018419441
178.94971114,-53.5246730282
187.134331977,-50.014284833
195.693292721,-46.2608918727
204.643714552,-42.2551147114
214.003501722,-37.988096103
223.791377367,-33.4516158918
234.026920966,-28.6381981814
244.730607502,-23.5412018497
255.923848424,-18.1548823814
267.629034474,-12.4744090593
279.869580481,-6.49581659743
292.669972197,-0.215864073254
306.055815278,6.3682337709
320.053886508,13.2592474899
334.692187357,20.4606028559
350,27.977351375
