temperature_K,value_W/(m-K)
4,56.7354621623
4.13722278149,59.1653257178
4.27915308593,61.6854149394
4.42595240815,64.2841009708
4.5777877832,66.9509691871
4.73483197638,69.6769447654
4.8972636798,72.4544136473
5.06526771577,75.2773272396
5.23903524701,78.1412825978
5.41876399424,81.0435729286
5.60465846113,83.9832059605
5.79693016697,86.9608900212
5.99579788738,89.9789894629
6.20148790323,93.0414523949
6.4142342581,96.1537145147
6.63427902461,99.3225832223
6.86187257985,102.556106215
7.09727389027,105.863428461
7.34075080633,109.25464092
7.5925803673,112.74062371
7.85304911648,116.332885623
8.12245342723,120.043401163
8.40109984019,123.884445484
8.68930541211,127.868426966
8.98739807658,132.007716594
9.2957170172,136.314472881
9.61461305347,140.800460773
9.94444904002,145.476862874
10.2856002794,150.354081318
10.6384549494,155.441528847
11.0034145441,160.747407965
11.3808943315,166.27847761
11.7713238255,172.039807389
12.1751472748,178.034520314
12.5928241684,184.263525871
13.0248297582,190.725246395
13.4716556002,197.41534085
13.9338101134,204.326431389
14.4118191585,211.44783933
14.9062266363,218.7653384
15.4175951065,226.260934279
15.9465064276,233.912680428
16.4935624194,241.694540952
17.0593855474,249.576311667
17.6446196312,257.523610532
18.2499305773,265.497948187
18.8760071362,273.456888284
19.5235616869,281.354305721
20.1933310467,289.140748654
20.8860773102,296.763907383
21.602588716,304.169189813
22.3436805437,311.300399409
23.110196042,318.100507414
23.9030073874,324.512506844
24.7230166774,330.480331535
25.5711569562,335.9498196
26.4483932771,340.869697255
27.3557238,345.192556317
28.2941809274,348.875797
29.2648324791,351.882507106
30.2687829073,354.182249362
31.3071745531,355.751730707
32.3811889463,356.575330478
33.4920481501,356.645468914
34.6410161514,355.962802643
35.8294002989,354.536239871
37.058552791,352.382774421
38.329872214,349.527144212
39.6448051339,346.001326008
41.0048477419,341.843883876
42.4115475574,337.099193546
43.8665051882,331.816568521
45.3713761523,326.049316228
46.9278727613,319.853753602
48.5377660688,313.28821134
50.2028878856,306.412054646
51.9251328643,299.284745874
53.7064606546,291.964971132
55.5488981334,284.509849001
57.4545417111,276.974235153
59.4255597168,269.410132258
61.4641948659,261.866210093
63.5727668113,254.387436756
65.7536747836,247.014818147
68.0094003204,239.785239791
70.3425100904,232.731402563
72.7556588133,225.881841995
75.2515922813,219.26101962
77.8331504824,212.889474142
80.5032708329,206.784020123
83.2649915186,200.957982156
86.1214549529,195.421453206
89.0759113517,190.181566719
92.1317224316,185.242773262
95.2923652356,180.607113645
98.5614360888,176.274481825
101.942654691,172.242872109
105.439868348,168.508606435
109.057056352,165.066538658
112.798334506,161.91023383
116.667959808,159.032121429
120.670335297,156.423622403
124.81001506,154.075250669
129.091709416,151.976690459
133.520290275,150.11685163
138.100796679,148.483905657
142.838440541,147.065305749
147.73861257,145.847795122
152.806888407,144.817408112
158.049034972,143.959469503
163.47101702,143.258597967
169.079003932,142.698720167
174.879376735,142.263102539
180.87873536,141.934408076
187.083906155,141.694785648
193.501949649,141.525999248
200.140168588,141.40960411
207.006116244,141.327175829
214.107605008,141.260597315
221.452715282,141.192406722
229.049804673,141.106207329
236.907517497,140.98713794
245.034794624,140.82239966
253.440883644,140.601832513
262.135349394,140.318533115
271.128084837,139.969503436
280.429322322,139.556320687
290.049645228,139.085820376
300,138.570788997
