temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
4,-210.56
4.27086674004,-210.56
4.5600756778,-210.56
4.8688688861,-210.56
5.19857254681,-210.56
5.55060264647,-210.56
5.9264710575,-210.56
6.32779203132,-210.561001796
6.75628913112,-210.557736665
7.21380263405,-210.55230595
7.70229743474,-210.544299175
8.22387148399,-210.533242932
8.78076479884,-210.518592081
9.37536908287,-210.499719805
10.0102379979,-210.475906371
10.6880981313,-210.446326451
11.4118607058,-210.410034836
12.1846340826,-210.365950347
13.0097371107,-210.312837755
13.8907133807,-210.249287476
14.8313464433,-210.173692817
15.8356760587,-210.084224494
16.9080155463,-209.978802171
18.0529703092,-209.855062704
19.2754576131,-209.710324795
20.5807277047,-209.541549717
21.97438636,-209.345297789
23.4624189594,-209.117680244
25.0512161937,-208.854306162
26.7476015098,-208.550224107
28.558860416,-208.199858182
30.4927717711,-207.796938175
32.5576411922,-207.334423566
34.7623367255,-206.804421202
37.1163269318,-206.198096515
39.6297215513,-205.505578281
42.3133149227,-204.715857012
45.178632341,-203.816677239
48.2379795565,-202.794424097
51.5044956236,-201.634004796
54.9922093304,-200.318725765
58.7160994477,-198.8301664
62.692159059,-197.1480505
66.9374642466,-195.250116502
71.4702474284,-193.111987535
76.3099756611,-190.707041929
81.4774342461,-188.00628413
86.9948159964,-184.978214605
92.8858165488,-181.588695215
99.1757361299,-177.800803121
105.891588214,-173.574661176
113.062215538,-168.86722518
120.718413975,-163.631997378
128.893064789,-157.818619809
137.621275857,-151.372278851
146.940532445,-144.23282108
156.890858196,-136.333437193
167.514987021,-127.598710853
178.858546632,-117.941747215
190.970254496,-107.259983745
203.902127066,-95.4291336631
217.709703177,-82.2945061649
232.452282571,-67.6586695844
248.19318057,-51.2640498965
265,-32.7685558938
