temperature_K,value_GPa
1,205.352118611
1.09309933256,205.353675305
1.19486615085,205.35536973
1.306107392,205.357213312
1.42770511845,205.359218272
1.56062351207,205.361397644
1.70591651943,205.363765295
1.8647362088,205.366335922
2.03834190524,205.369125045
2.22811017615,205.372148979
2.43554574643,205.375424783
2.66229342985,205.378970178
2.91015117126,205.382803438
3.18108430296,205.386943229
3.47724112839,205.391408395
3.80096995661,205.396217685
4.15483772266,205.401389387
4.54165034155,205.406940877
4.96447495708,205.412888038
5.42666426211,205.419244539
5.93188308296,205.426020945
6.48413743882,205.433223614
7.08780630663,205.440853344
7.74767634311,205.448903733
8.46897983957,205.457359174
9.25743621013,205.466192445
10.1192973425,205.475361797
11.0613971711,205.484807463
12.091205865,205.494447488
13.2168890609,205.504172756
14.447372611,205.513841094
15.7924133584,205.523270294
17.2626765016,205.532229893
18.8698201622,205.540431533
20.6265878249,205.547517689
22.5469093844,205.553048564
24.6460115995,205.556486921
26.9405388297,205.557180631
29.4486850137,205.554342707
32.1903379333,205.547028647
35.1872369099,205.534110913
38.4631451809,205.514250474
42.0440383256,205.485865446
45.9583102319,205.447097011
50.2369982403,205.395773028
54.9140292464,205.329370075
60.0264887176,205.244975012
65.6149147533,205.139247746
71.723619523,205.008387468
78.4010406297,204.848105468
85.7001251845,204.65360855
93.6787496398,204.419598093
102.400178707,204.140290882
111.933566999,203.809468716
122.354507378,203.420564313
133.74563035,202.966790573
146.197259269,202.441318096
159.80812653,201.837500629
174.686156448,201.149137832
190.949321021,200.370746225
208.726575362,199.497777511
228.158880216,198.52667143
249.400319683,197.454546672
272.619322986,196.278201705
298,194.991893026
