temperature_K,value_J/(kg-K)
55,81.1840947743
55.7337949925,82.0675383426
56.4773800775,83.1903737297
57.2308858719,84.5364646142
57.9944447349,86.0916966655
58.768190792,87.8435387297
59.5522599578,89.780687585
60.3467899605,91.8927801086
61.1519203657,94.1701609875
61.9677926011,96.6036962133
62.7945499812,99.1846249571
63.6323377326,101.904443899
64.4813030197,104.754819315
65.34159497,107.727522658
66.2133647007,110.814386798
67.0967653453,114.007279305
67.9919520802,117.298091226
68.8990821523,120.678738054
69.8183149063,124.141171621
70.7498118129,127.677400755
71.693736497,131.279518515
72.6502547667,134.939735006
73.6195346422,138.650413852
74.6017463853,142.404110675
75.5970625294,146.193612753
76.60565791,150.011978372
77.6277096949,153.852574449
78.6633974158,157.709112298
79.7129029997,161.575679961
80.7764108008,165.446770765
81.8541076327,169.31730741
82.9461828017,173.182661598
84.0528281396,177.038668328
85.1742380377,180.881635255
86.3106094806,184.708346732
87.4621420812,188.516062896
88.6290381156,192.302513701
89.8115025584,196.065888414
91.0097431193,199.804820937
92.2239702787,203.518370531
93.4543973255,207.206000203
94.7012403943,210.867550551
95.9647185031,214.50321221
97.245053592,218.113495568
98.5424705624,221.699198745
99.8571973159,225.261374508
101.189464795,228.801296186
102.539507023,232.320423284
103.907561147,235.820367104
105.293867475,239.302856198
106.698669524,242.769702953
108.122214059,246.222770735
109.564751136,249.663942294
111.026534149,253.095089039
112.507819873,256.518042854
114.008868506,259.934568341
115.529943721,263.346337553
117.071312706,266.754907105
118.633246216,270.161695874
120.216018616,273.56796649
121.819907934,276.974807798
123.445195905,280.383120218
125.092168025,283.793602614
126.761113598,287.206742885
128.452325787,290.622809272
130.166101667,294.04184478
131.902742278,297.463664555
133.662552674,300.887854597
135.44584198,304.313773211
137.252923446,307.740555637
139.084114499,311.167119278
140.939736803,314.592173694
142.820116314,318.014230076
144.725583336,321.431615804
146.656472578,324.842488665
148.613123218,328.244854624
150.595878957,331.636587517
152.605088082,335.015449306
154.641103527,338.379113685
156.704282934,341.725190038
158.794988718,345.05124888
160.913588128,348.354848151
163.060453313,351.633561051
165.235961388,354.885003166
167.440494498,358.10686112
169.674439887,361.296919695
171.938189966,364.453089102
174.232142381,367.573431699
176.556700083,370.65618643
178.912271399,373.699792624
181.299270105,376.702910066
183.718115497,379.664439209
186.169232464,382.583535013
188.653051565,385.459619687
191.170009102,388.292390569
193.7205472,391.081824598
196.305113881,393.828175618
198.924163146,396.531969423
201.578155052,399.193990963
204.267555793,401.815265818
206.992837785,404.397035979
209.754479746,406.940727259
212.55296678,409.447910461
215.388790465,411.920253636
218.262448936,414.359465739
221.174446973,416.767233148
224.125296094,419.145144555
227.115514639,421.494607862
230.145627864,423.816754734
233.216168032,426.112337051
236.32767451,428.381608686
239.480693858,430.624197151
242.67577993,432.838962592
245.913493968,435.023843784
249.194404703,437.175689422
252.519088455,439.290076942
255.88812923,441.361117947
259.302118827,443.3812465
262.761656942,445.340997548
266.267351271,447.228771349
269.819817617,449.030582907
273.41968,450.729808338
277.067570764,452.306918895
280.764130691,453.739212942
284.510009112,455.000551832
288.305864021,456.061101303
292.152362191,456.887094264
296.050179289,457.440615647
300,457.679430934
