temperature_K,value_W/(m-K)
4,0.625596273379
4.27915308593,0.673320919773
4.5777877832,0.725389406562
4.8972636798,0.781969828445
5.23903524701,0.843244082298
5.60465846113,0.909409139371
5.99579788738,0.980678922504
6.4142342581,1.05728667153
6.86187257985,1.13948768527
7.34075080633,1.22756233334
7.85304911648,1.32181923586
8.40109984019,1.42259851522
8.98739807658,1.5302750302
9.61461305347,1.64526150946
10.2856002794,1.7680115077
11.0034145441,1.89902211288
11.7713238255,2.03883633722
12.5928241684,2.18804512655
13.4716556002,2.34728892304
14.4118191585,2.51725871449
15.4175951065,2.69869649987
16.4935624194,2.89239509578
17.6446196312,3.09919720239
18.8760071362,3.31999364101
20.1933310467,3.55572066916
21.602588716,3.80735627387
23.110196042,4.07591534056
24.7230166774,4.36244359365
26.4483932771,4.66801020784
28.2941809274,4.99369899455
30.2687829073,5.34059807876
32.3811889463,5.70978799621
34.6410161514,6.10232815991
37.058552791,6.51924166853
39.6448051339,6.96149845558
42.4115475574,7.42999680723
45.3713761523,7.92554330582
48.5377660688,8.44883128461
51.9251328643,9.00041790342
55.5488981334,9.5806999737
59.4255597168,10.189888671
63.5727668113,10.8279832714
68.0094003204,11.4947440346
72.7556588133,12.1896643243
77.8331504824,12.9119420157
83.2649915186,13.6604501755
89.0759113517,14.4337069328
95.2923652356,15.2298443774
101.942654691,16.0465762429
109.057056352,16.8811640649
116.667959808,17.7303814518
124.81001506,18.5904760999
133.520290275,19.4571292321
142.838440541,20.3254122681
152.806888407,21.1897407713
163.47101702,22.0438260951
174.879376735,22.8806256962
187.083906155,23.6922938324
200.140168588,24.470135353
214.107605008,25.2045665381
229.049804673,25.8850884806
245.034794624,26.5002803102
262.135349394,27.0378216128
280.429322322,27.484555603
300,27.826606815
