temperature_K,value_J/(kg-K)
1,0.0243470417236
1.02246333233,0.0248783226158
1.04543126595,0.0254357042092
1.0689151359,0.0260193476601
1.09292653183,0.0266294514146
1.11747730372,0.0272662502905
1.14257956776,0.0279300149873
1.1682457123,0.0286210520016
1.19448840397,0.0293397039288
1.22132059395,0.0300863501341
1.24875552433,0.0308614077797
1.27680673466,0.0316653331954
1.30548806866,0.0324986235834
1.33481368099,0.0333618190494
1.3647980443,0.0342555049517
1.39545595633,0.0351803145655
1.42680254722,0.036136932057
1.45885328701,0.0371260957647
1.49162399321,0.0381486017881
1.52513083867,0.0392053078828
1.55939035954,0.0402971376643
1.59441946341,0.0414250851239
1.63023543768,0.0425902194611
1.66685595809,0.0437936902393
1.70429909742,0.0450367328734
1.74258333442,0.0463206744596
1.78172756297,0.0476469399601
1.82175110133,0.0490170587572
1.86267370174,0.0504326715946
1.90451556011,0.0518955379256
1.94729732606,0.0534075436913
1.99104011303,0.0549707095539
2.03576550876,0.0565871996148
2.08149558592,0.0582593306496
2.12825291301,0.0599895818959
2.17606056546,0.0617806054331
2.22494213711,0.0636352371994
2.27492175174,0.0655565086931
2.32602407506,0.0675476594098
2.37827432686,0.069612150076
2.43169829342,0.0717536767375
2.48632234031,0.0739761857743
2.5421734253,0.0762838899122
2.59927911179,0.0786812853132
2.65766758228,0.0811731698294
2.71736765239,0.0837646625123
2.77840878502,0.0864612244802
2.8408211049,0.0892686812478
2.90463541345,0.092193246636
2.96988320403,0.0952415483863
3.03659667741,0.0984206556112
3.10480875772,0.101738108227
3.17455310865,0.105201948521
3.24586415011,0.108820755015
3.3187770752,0.112603678813
3.39332786756,0.116560482606
3.46955331914,0.120701582547
3.54749104837,0.125038093218
3.62717951871,0.129581875905
3.70865805764,0.134345590445
3.79196687607,0.139342750897
3.87714708818,0.144587785338
3.9642407317,0.150096100061
4.05329078867,0.155884148521
4.14434120667,0.16196950536
4.23743692047,0.168370945881
4.33262387422,0.175108531357
4.42994904415,0.182203700596
4.52946046172,0.189679368193
4.63120723732,0.197560029944
4.73523958457,0.205871875914
4.841608845,0.214642911675
4.95036751347,0.223903088285
5.06156926406,0.233684441569
5.17526897653,0.244021241341
5.29152276343,0.254950151192
5.41038799777,0.266510399537
5.53192334138,0.278743962636
5.65618877379,0.291695760308
5.78324562192,0.305413865144
5.91315659024,0.319949725999
6.04598579182,0.335358406607
6.1817987799,0.351698840179
6.32066258027,0.369034100865
6.46264572433,0.387431692982
6.60781828293,0.406963858942
6.75625190097,0.427707906795
6.9080198327,0.449746558347
7.06319697792,0.473168318768
7.22185991891,0.498067868642
7.38408695828,0.524546479345
7.54995815755,0.552712452645
7.71955537669,0.582681585358
7.89296231452,0.614577659821
8.07026455003,0.648532960913
8.25154958457,0.684688820207
8.43690688509,0.723196187773
8.62642792825,0.764216231976
8.82020624559,0.807920967493
9.01833746966,0.854493911536
9.22091938127,0.904130768104
9.42805195768,0.957040139782
9.63983742199,1.01344426637
9.85638029357,1.07357978927
10.0777874396,1.13769854017
10.304168128,1.20606835224
10.535634081,1.27897389156
10.7722995306,1.35671750589
11.0142812749,1.4396200876
11.2616987355,1.52802194671
11.5146740167,1.62228368959
11.7733319658,1.72278709792
12.0378002343,1.829936002
12.3082093415,1.94415714163
12.5846927382,2.0659010068
12.8673868734,2.19564264986
13.1564312609,2.33388245959
13.4519685486,2.48114688696
13.7541445885,2.63798911113
14.0631085093,2.80498963353
14.3790127892,2.98275678668
14.702013332,3.17192714359
15.0322695434,3.37316581259
15.3699444097,3.5871666016
15.7152045788,3.81465203498
16.0682204419,4.05637320545
16.4291662175,4.31310944289
16.7982200381,4.58566778143
17.1755640373,4.87488220581
17.5613844402,5.18161265792
17.955871655,5.50674378464
18.3592203671,5.85118340808
18.7716296355,6.2158607004
19.1933029903,6.60172404591
19.6244485338,7.00973857458
20.0652790429,7.44088335255
20.5160120743,7.89614821745
20.9768700715,8.37653024829
21.448080475,8.88302986294
21.9298758345,9.41664653882
22.4224939232,9.97837415662
22.9261778558,10.5691959704
23.4411762079,11.1900792121
23.9677431392,11.8419693431
24.5061385184,12.5257839707
25.056628052,13.2424064526
25.6194834149,13.9926792191
26.1949823849,14.7773968462
26.7834089794,15.5972989222
27.3850535962,16.453062753
28.0002131559,17.3452959599
28.6291912492,18.2745290277
29.2722982864,19.2412078669
29.9298516508,20.2456864599
30.6021758549,21.2882196637
31.289602701,22.3689562474
31.9924714448,23.4879322453
32.7111289628,24.6450647083
33.4459299234,25.8401459392
34.1972369622,27.0728382949
34.9654208607,28.3426696417
35.7508607294,29.649029545
36.5539441949,30.9911662705
37.3750675912,32.368184674
38.2146361552,33.7790450446
39.0730642269,35.2225629649
39.9507754536,36.6974102382
40.8482029993,38.2021169263
41.7657897581,39.7350745301
42.7039885733,41.2945403307
43.6632624603,42.8786429005
44.6440848354,44.4853887764
45.6469397494,46.1126702761
46.6723221266,47.7582744227
47.720738009,49.4198929294
48.7927048057,51.0951331834
49.8887515488,52.7815301513
51.0094191542,54.4765591195
52.1552606884,56.1776491682
53.3268416418,57.8821972683
