temperature_K,value_W/(m-K)
4,921.677788765
4.13667957659,942.302340747
4.27802947984,963.776588957
4.42420929433,986.130325879
4.5753840576,1009.34399234
4.73172444653,1033.35044234
4.89340697,1058.03663715
5.06061416819,1083.24542241
5.23353481863,1108.77757365
5.4123641494,1134.39430644
5.59730405948,1159.82044078
5.7885633467,1184.74838532
5.98635794352,1208.84306809
6.19091116078,1231.7478875
6.40245393982,1253.09169286
6.62122511322,1272.49673124
6.84747167447,1289.58742071
7.08144905676,1303.9997344
7.32342142144,1315.39091056
7.5736619562,1323.44914725
7.83245318355,1327.90290157
8.10008727975,1328.52939658
8.37686640468,1325.1619483
8.66310304302,1317.69576009
8.95912035698,1306.09189204
9.26525255123,1290.37919525
9.58184525016,1270.65409879
9.90925588809,1247.07824491
10.2478541129,1219.87407666
10.5980222031,1189.31858441
10.9601555,1155.73550547
11.3346628533,1119.48633931
11.7219670832,1080.96058407
12.1225054576,1040.56561795
12.5367301859,998.716640179
12.9651089293,955.827054615
13.408125329,912.299627441
13.8662795522,868.518684854
14.3400888567,824.843542646
14.830088175,781.603282952
15.3368307181,739.092919568
15.8608886003,697.57092639
16.4028534849,657.258047079
16.9633372522,618.33725987
17.5429726905,580.954740465
18.1424142103,545.221647759
18.7623385835,511.216550786
19.4034457068,478.988318908
20.0664593927,448.559308902
20.7521281861,419.928700025
21.4612262095,393.075849227
22.1945540374,367.963561581
22.9529395995,344.541194031
23.737239116,322.747532526
24.5483380639,302.513402592
25.3871521771,283.763990813
26.2546284796,266.420869247
27.1517463557,250.403726497
28.0795186546,235.631818035
29.0389928347,222.025154747
30.031252146,209.505452846
31.0574168529,197.99687058
32.1186454993,187.426558017
33.2161362161,177.725045845
34.3511280746,168.826497958
35.5249024848,160.66885087
36.7387846423,153.193860891
37.9941450246,146.347077744
39.2924009383,140.077760992
40.6350181192,134.338753373
42.023512387,129.086323082
43.4594513569,124.279985028
44.9444562095,119.882309391
46.4802035207,115.858724269
48.0684271549,112.177317836
49.7109202226,108.808644307
51.4095371046,105.725537026
53.1661955456,102.902931181
54.9828788196,100.317697946
56.8616379688,97.9484913008
58.8045941193,95.7756082866
60.8139408757,93.780863069
62.8919467981,91.9474748223
65.0409579629,90.2599691789
67.2634006117,88.7040927248
69.5617838906,87.2667398063
71.9387026828,85.9358907153
74.3968405386,84.7005601523
76.9389727047,83.5507547242
79.5679692578,82.4774381015
82.2867983449,81.4725023657
85.098529534,80.5287440233
88.0063372803,79.6398431044
91.0135045095,78.8003437934
94.1234263245,78.0056350482
97.3396138388,77.2519297574
100.66569814,76.536241074
104.10543439,75.8563546926
107.662706063,75.2107959933
111.341529333,74.5987911087
115.146057604,74.0202211294
119.080586204,73.4755687766
123.14955723,72.9658569446
127.357564564,72.492578568
131.709359064,72.0576171778
136.209853922,71.6631574384
140.864130212,71.3115846689
145.677442631,71.0053720758
150.655225425,70.7469539322
155.803098531,70.5385824531
161.126873915,70.3821654463
166.632562141,70.2790811715
172.326379151,70.2299661329
178.214753285,70.234470939
184.304332541,70.2909789115
190.601992074,70.3962820477
197.114841968,70.5452094206
203.850235253,70.730204456
210.815776213,70.940850172
218.019328971,71.163345899
225.469026364,71.3799458811
233.173279128,71.5683801508
241.140785394,71.7012919986
249.380540506,71.7457447305
257.901847177,71.6628736084
266.714325996,71.4077863259
275.827926282,70.9298454841
285.252937326,70.1734954848
295,69.0798177235
