temperature_K,value_J/(kg-K)
4,1.56014387208
4.13722278149,1.72616532137
4.27915308593,1.9074023751
4.42595240815,2.10535033791
4.5777877832,2.32166282221
4.73483197638,2.5581645351
4.8972636798,2.81686475143
5.06526771577,3.09997145142
5.23903524701,3.40990607756
5.41876399424,3.74931883977
5.60465846113,4.12110446969
5.79693016697,4.52841829468
5.99579788738,4.97469246954
6.20148790323,5.46365216997
6.4142342581,5.99933151591
6.63427902461,6.58608895644
6.86187257985,7.22862181111
7.09727389027,7.93197962634
7.34075080633,8.70157597135
7.5925803673,9.54319826651
7.85304911648,10.46301521
8.12245342723,11.4675813477
8.40109984019,12.5638383177
8.68930541211,13.7591122969
8.98739807658,15.0611071833
9.2957170172,16.4778930678
9.61461305347,18.0178895837
9.94444904002,19.6898437678
10.2856002794,21.5028021359
10.6384549494,23.4660767553
11.0034145441,25.589205194
11.3808943315,27.8819043413
11.7713238255,30.3540182228
12.1751472748,33.0154600723
12.5928241684,35.8761490724
13.0248297582,38.9459423328
13.4716556002,42.2345628306
13.9338101134,45.7515241938
14.4118191585,49.5060533531
14.9062266363,53.5070122232
15.4175951065,57.7628196879
15.9465064276,62.2813752543
16.4935624194,67.0699858084
17.0593855474,72.1352969287
17.6446196312,77.4832302171
18.2499305773,83.1189280596
18.8760071362,89.0467071502
19.5235616869,95.2700219957
20.1933310467,101.791439461
20.8860773102,108.612625228
21.602588716,115.734342834
22.3436805437,123.156465698
23.110196042,130.878002306
23.9030073874,138.897134453
24.7230166774,147.211268177
25.5711569562,155.817096744
26.4483932771,164.710674826
27.3557238,173.887502737
28.2941809274,183.342619455
29.2648324791,193.070702915
30.2687829073,203.066175984
31.3071745531,213.323316394
32.3811889463,223.836368864
33.4920481501,234.599657631
34.6410161514,245.60769761
35.8294002989,256.855302485
37.058552791,268.337688094
38.329872214,280.050569613
39.6448051339,291.990251162
41.0048477419,304.153706634
42.4115475574,316.538650694
43.8665051882,329.1435991
45.3713761523,341.96791766
46.9278727613,355.011859312
48.5377660688,368.276589015
50.2028878856,381.764196258
51.9251328643,395.477695193
53.7064606546,409.42101248
55.5488981334,423.598963125
57.4545417111,438.017214629
59.4255597168,452.682239918
61.4641948659,467.601259588
63.5727668113,482.782174078
65.7536747836,498.233486466
68.0094003204,513.964216641
70.3425100904,529.983807684
72.7556588133,546.302025385
75.2515922813,562.928851863
77.8331504824,579.874374426
80.5032708329,597.148670864
83.2649915186,614.761692544
86.1214549529,632.723146836
89.0759113517,651.04238058
92.1317224316,669.728266537
95.2923652356,688.789095009
98.5614360888,708.23247311
101.942654691,728.065234468
105.439868348,748.293362489
109.057056352,768.921930699
112.798334506,789.955064045
116.667959808,811.395925486
120.670335297,833.246732601
124.81001506,855.508809421
129.091709416,878.182679091
133.520290275,901.268203447
138.100796679,924.764776022
142.838440541,948.671575392
147.73861257,972.987886269
152.806888407,997.713496071
158.049034972,1022.84917522
163.47101702,1048.39724983
169.079003932,1074.36227592
174.879376735,1100.75182503
180.87873536,1127.57739168
187.083906155,1154.85543432
193.501949649,1182.60856254
200.140168588,1210.86688514
207.006116244,1239.66953611
214.107605008,1269.06639863
221.452715282,1299.1200514
229.049804673,1329.90796727
236.907517497,1361.52500146
245.034794624,1394.08621611
253.440883644,1427.73010017
262.135349394,1462.62225998
271.128084837,1498.95967572
280.429322322,1536.97564588
290.049645228,1576.94557524
300,1619.19380549
