temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
4,-1389.15137649
4.13722278149,-1389.13996989
4.27915308593,-1389.12702675
4.42595240815,-1389.11241583
4.5777877832,-1389.09599605
4.73483197638,-1389.07761582
4.8972636798,-1389.05711225
5.06526771577,-1389.03431043
5.23903524701,-1389.00902251
5.41876399424,-1388.98104686
5.60465846113,-1388.95016705
5.79693016697,-1388.91615087
5.99579788738,-1388.87874924
6.20148790323,-1388.83769498
6.4142342581,-1388.79270165
6.63427902461,-1388.74346214
6.86187257985,-1388.68964731
7.09727389027,-1388.63090447
7.34075080633,-1388.56685575
7.5925803673,-1388.49709643
7.85304911648,-1388.42119304
8.12245342723,-1388.33868153
8.40109984019,-1388.24906507
8.68930541211,-1388.15181198
8.98739807658,-1388.04635326
9.2957170172,-1387.93208021
9.61461305347,-1387.80834169
9.94444904002,-1387.67444135
10.2856002794,-1387.52963463
10.6384549494,-1387.37312552
11.0034145441,-1387.20406325
11.3808943315,-1387.02153865
11.7713238255,-1386.82458031
12.1751472748,-1386.61215059
12.5928241684,-1386.38314124
13.0248297582,-1386.13636888
13.4716556002,-1385.87057017
13.9338101134,-1385.58439661
14.4118191585,-1385.27640918
14.9062266363,-1384.94507251
15.4175951065,-1384.58874883
15.9465064276,-1384.20569145
16.4935624194,-1383.794038
17.0593855474,-1383.35180312
17.6446196312,-1382.87687087
18.2499305773,-1382.36698664
18.8760071362,-1381.81974863
19.5235616869,-1381.23259883
20.1933310467,-1380.60281355
20.8860773102,-1379.92749339
21.602588716,-1379.20355271
22.3436805437,-1378.42770852
23.110196042,-1377.59646876
23.9030073874,-1376.70612005
24.7230166774,-1375.75271474
25.5711569562,-1374.73205737
26.4483932771,-1373.63969038
27.3557238,-1372.47087924
28.2941809274,-1371.22059677
29.2648324791,-1369.88350674
30.2687829073,-1368.45394679
31.3071745531,-1366.9259105
32.3811889463,-1365.29302868
33.4920481501,-1363.54854991
34.6410161514,-1361.68532018
35.8294002989,-1359.69576179
37.058552791,-1357.57185134
38.329872214,-1355.30509688
39.6448051339,-1352.88651422
41.0048477419,-1350.30660242
42.4115475574,-1347.5553183
43.8665051882,-1344.62205023
45.3713761523,-1341.49559097
46.9278727613,-1338.16410969
48.5377660688,-1334.61512316
50.2028878856,-1330.83546607
51.9251328643,-1326.81126055
53.7064606546,-1322.52788488
55.5488981334,-1317.96994131
57.4545417111,-1313.12122317
59.4255597168,-1307.96468109
61.4641948659,-1302.48238839
63.5727668113,-1296.65550561
65.7536747836,-1290.46424414
68.0094003204,-1283.88782884
70.3425100904,-1276.9044596
72.7556588133,-1269.4912716
75.2515922813,-1261.62429423
77.8331504824,-1253.27840831
80.5032708329,-1244.42730122
83.2649915186,-1235.04341969
86.1214549529,-1225.09791955
89.0759113517,-1214.56061178
92.1317224316,-1203.3999041
95.2923652356,-1191.58273683
98.5614360888,-1179.07451189
101.942654691,-1165.83901321
105.439868348,-1151.83831655
109.057056352,-1137.03268639
112.798334506,-1121.38045677
116.667959808,-1104.83789275
120.670335297,-1087.35902804
124.81001506,-1068.89547371
129.091709416,-1049.3961918
133.520290275,-1028.80722652
138.100796679,-1007.07138414
142.838440541,-984.127851351
147.73861257,-959.91173942
152.806888407,-934.353539731
158.049034972,-907.37847318
163.47101702,-878.905713001
169.079003932,-848.84745684
174.879376735,-817.107819624
180.87873536,-783.581513782
187.083906155,-748.152277521
193.501949649,-710.691005099
200.140168588,-671.053525106
207.006116244,-629.077963566
214.107605008,-584.581618012
221.452715282,-537.357256207
229.049804673,-487.168738837
236.907517497,-433.745848699
245.034794624,-376.778189565
253.440883644,-315.907995362
262.135349394,-250.721664304
271.128084837,-180.739802416
280.429322322,-105.405525994
290.049645228,-24.0707321652
300,64.02
