temperature_K,value_J/(kg-K)
4,0.791564279208
4.13722278149,0.876314470809
4.27915308593,0.970475010488
4.42595240815,1.0750455127
4.5777877832,1.19112014944
4.73483197638,1.319894508
4.8972636798,1.46267262158
5.06526771577,1.62087412502
5.23903524701,1.79604147947
5.41876399424,1.98984720101
5.60465846113,2.20410101933
5.79693016697,2.44075688329
5.99579788738,2.70191972167
6.20148790323,2.98985185868
6.4142342581,3.30697897604
6.63427902461,3.65589550624
6.86187257985,4.03936933567
7.09727389027,4.4603456918
7.34075080633,4.92195008527
7.5925803673,5.42749017678
7.85304911648,5.98045643983
8.12245342723,6.58452149309
8.40109984019,7.2435379827
8.68930541211,7.96153490265
8.98739807658,8.74271225315
9.2957170172,9.59143395064
9.61461305347,10.5122189201
9.94444904002,11.50973032
10.2856002794,12.5887628713
10.6384549494,13.7542282889
11.0034145441,15.0111388361
11.3808943315,16.3645890542
11.7713238255,17.8197357476
12.1751472748,19.381776331
12.5928241684,21.0559256813
13.0248297582,22.847391658
13.4716556002,24.7613494908
13.9338101134,26.8029152539
14.4118191585,28.9771186729
14.9062266363,31.2888755284
15.4175951065,33.7429599391
15.9465064276,36.3439768183
16.4935624194,39.0963348063
17.0593855474,42.0042199847
17.6446196312,45.0715706764
18.2499305773,48.302053628
18.8760071362,51.6990418596
19.5235616869,55.26559445
20.1933310467,59.0044385028
20.8860773102,62.9179535131
21.602588716,67.0081583242
22.3436805437,71.2767008298
23.110196042,75.7248505423
23.9030073874,80.3534941057
24.7230166774,85.1631337973
25.5711569562,90.1538890172
26.4483932771,95.3255007259
27.3557238,100.677338753
28.2941809274,106.208411858
29.2648324791,111.917380396
30.2687829073,117.802571396
31.3071745531,123.861995848
32.3811889463,130.093367952
33.4920481501,136.494126068
34.6410161514,143.061455103
35.8294002989,149.792310021
37.058552791,156.683440211
38.329872214,163.731414379
39.6448051339,170.932645691
41.0048477419,178.283416859
42.4115475574,185.779904893
43.8665051882,193.418205245
45.3713761523,201.194355089
46.9278727613,209.104355507
48.5377660688,217.144192361
50.2028878856,225.309855665
51.9251328643,233.597357298
53.7064606546,242.002746906
55.5488981334,250.522125897
57.4545417111,259.151659439
59.4255597168,267.887586413
61.4641948659,276.726227278
63.5727668113,285.663989875
65.7536747836,294.697373172
68.0094003204,303.822969021
70.3425100904,313.037461989
72.7556588133,322.337627377
75.2515922813,331.720327555
77.8331504824,341.182506733
80.5032708329,350.72118437
83.2649915186,360.333447379
86.1214549529,370.01644134
89.0759113517,379.767360951
92.1317224316,389.583439936
95.2923652356,399.461940677
98.5614360888,409.400143837
101.942654691,419.39533824
105.439868348,429.444811319
109.057056352,439.545840433
112.798334506,449.695685362
116.667959808,459.891582324
120.670335297,470.130739844
124.81001506,480.410336829
129.091709416,490.727523201
133.520290275,501.07942347
138.100796679,511.463143602
142.838440541,521.875781579
147.73861257,532.314442031
152.806888407,542.776255328
158.049034972,553.258401539
163.47101702,563.758139643
169.079003932,574.272842405
174.879376735,584.800037302
180.87873536,595.337453927
187.083906155,605.88307825
193.501949649,616.43521416
200.140168588,626.992552696
207.006116244,637.554249368
214.107605008,648.120010024
221.452715282,658.690185666
229.049804673,669.265876707
236.907517497,679.849047132
245.034794624,690.442649117
253.440883644,701.050758664
262.135349394,711.678722928
271.128084837,722.333319967
280.429322322,733.022931782
290.049645228,743.75773166
300,754.54988701
