temperature_K,value_J/(kg-K)
90,378.595772284
91.7091123273,390.591378817
93.4506809319,402.23661296
95.2253221628,413.562917272
97.0336640737,424.604224806
98.8763466452,435.396088663
100.754022011,445.97492582
102.667354689,456.377371305
104.617021817,466.639736918
106.603713391,476.797565674
108.62813251,486.885273286
110.690995625,496.935866572
112.793032794,506.98072958
114.934987936,517.049467848
117.117619099,527.169803041
119.341698728,537.367509195
121.608013933,547.666384819
123.917366774,558.088254298
126.270574542,568.652993587
128.668470048,579.378576048
131.111901918,590.281134766
133.601734894,601.375038576
136.138850139,612.672979309
138.72414555,624.186068176
141.358536075,635.923940689
144.042954037,647.894867449
146.778349464,660.105871178
149.565690425,672.562848646
152.405963372,685.270696052
155.300173491,698.233438834
158.249345057,711.454363004
161.254521796,724.936149153
164.316767252,738.681006824
167.437165168,752.690809091
170.616819869,766.967225449
173.856856647,781.511852496
177.158422168,796.326339813
180.522684871,811.412510602
183.950835383,826.772473474
187.444086943,842.408725484
191.003675828,858.324241672
194.630861794,874.522550769
198.326928518,891.007792524
202.093184055,907.784755636
205.930961301,924.858890811
209.841618463,942.236298299
213.82653954,959.923683737
217.887134813,977.928280457
222.024841348,996.257732807
226.241123496,1014.91993701
230.537473419,1033.92283405
234.915411616,1053.27415012
239.376487459,1072.98107847
243.922279744,1093.04989815
248.554397246,1113.48552133
253.274479295,1134.29096438
258.084196347,1155.46673522
262.985250586,1177.01012928
267.979376516,1198.91442679
273.068341581,1221.16798515
278.25394679,1243.75321771
283.538027352,1266.64545388
288.922453328,1289.8116745
294.40913029,1313.20912011
300,1336.78376992
