temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
4,-1741.84026637
4.20762649977,-1741.48085795
4.42603019039,-1741.10583542
4.65577047946,-1740.71463653
4.89743581155,-1740.30668426
5.1516451754,-1739.8813857
5.41904968935,-1739.43813051
5.70033426911,-1738.97628901
5.99621938206,-1738.4952095
6.3074628926,-1737.99421501
6.6348620033,-1737.47259899
6.97925529684,-1736.92962004
7.34152488391,-1736.36449515
7.72259866256,-1735.77639144
8.12345269491,-1735.16441592
8.54511370718,-1734.52760288
8.98866171946,-1733.86489859
9.45523281206,-1733.1751427
9.94602203537,-1732.45704568
10.4622864708,-1731.7091618
11.0053484507,-1730.92985663
11.5765989451,-1730.11726825
12.1775011246,-1729.26926114
12.8095941082,-1728.38337139
13.4744969053,-1727.45674202
14.1739125624,-1726.48604665
14.9096325257,-1725.46739996
15.6835412293,-1724.3962527
16.4976209216,-1723.2672692
17.3539567432,-1722.07418478
18.2547420671,-1720.80964031
19.202284117,-1719.46499097
20.1990098767,-1718.03008585
21.2474723066,-1716.49301485
22.3503568826,-1714.83981933
23.5104884746,-1713.05416235
24.730838582,-1711.11695487
26.0145329448,-1709.00593392
27.3648595494,-1706.69518921
28.7852770506,-1704.15463523
30.2794236303,-1701.34942667
31.8511263162,-1698.23931657
33.5044107838,-1694.7779583
35.2435116683,-1690.91215583
37.0728834101,-1686.58107007
38.9972116647,-1681.71539516
41.0214253044,-1676.23652493
43.1507090423,-1670.0557401
45.3905167125,-1663.07345849
47.7465852394,-1655.17860732
50.2249493317,-1646.24819748
52.8319569393,-1636.14720666
55.5742855131,-1624.72891317
58.4589591077,-1611.83586648
61.4933663725,-1597.30173704
64.6852794772,-1580.95435945
68.0428740183,-1562.62037366
71.5747499599,-1542.13198317
75.2899536614,-1519.33649298
79.198001048,-1494.10947098
83.3089019845,-1466.37260294
87.6331859142,-1436.11759542
92.1819288278,-1403.43783564
96.9667816339,-1368.56996055
102,-1331.94803985
