temperature_K,value_J/(kg-K)
80,507.817870075
81.6693737816,507.792842657
83.3735826735,509.021678423
85.113353586,511.354959585
86.8894285977,514.663178268
88.7025652728,518.833399616
90.5535369831,523.766657542
92.443133239,529.375919032
94.3721600255,535.584488937
96.3414401463,542.324756085
98.3518135746,549.53720175
100.404137812,557.169608868
102.499288252,565.176422246
104.638158557,573.518220925
106.821661038,582.161271407
109.050727041,591.077137342
111.326307349,600.242326783
113.649372582,609.637962392
116.020913618,619.249463444
118.44194201,629.066232348
120.913490418,639.081339636
123.436613052,649.291204955
126.012386121,659.695271159
128.64190829,670.29567223
131.326301152,681.096894615
134.066709702,692.10543353
136.864302829,703.329445931
139.720273813,714.778402137
142.635840837,726.462738201
145.612247499,738.393511983
148.650763353,750.582065109
151.75268444,763.039693708
154.919333848,775.777330987
158.152062276,788.805244718
161.452248604,802.13275311
164.821300489,815.767962994
168.26065496,829.717534536
171.771779034,843.986477775
175.356170338,858.577985858
179.015357753,873.493312068
182.750902062,888.731697137
186.564396618,904.290355275
190.457468022,920.164526922
194.431776817,936.347608869
198.489018199,952.831371202
202.630922735,969.606272311
206.859257107,986.661884377
211.175824861,1003.98744013
215.582467178,1021.57251476
220.081063659,1039.40785496
224.673533128,1057.4863686
229.361834448,1075.80428794
234.14796736,1094.36252078
239.033973331,1113.16820327
244.021936431,1132.23647103
249.113984217,1151.59246609
254.31228864,1171.27360134
259.619066978,1191.33210937
265.036582773,1211.83791055
270.567146803,1232.88184555
276.213118067,1254.57933364
281.976904785,1277.07453843
287.860965433,1300.54515135
293.867809788,1325.20793977
300,1351.32525802
