temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
20,-1049.77298688
20.8567294965,-1048.76685084
21.7501582645,-1047.68739203
22.6818583714,-1046.52906816
23.6534692266,-1045.28592072
24.6667004656,-1043.95154553
25.7233349591,-1042.51906141
26.8252319495,-1040.98107701
27.9743303226,-1039.32965579
29.1726520192,-1037.55627891
30.422305593,-1035.65180617
31.7254899206,-1033.60643488
33.0844980709,-1031.40965662
34.5017213396,-1029.05021191
35.9796534572,-1026.51604283
37.5208949767,-1023.79424344
39.1281578498,-1020.87100833
40.8042701985,-1017.73157914
42.5521812916,-1014.36018916
44.3749667342,-1010.74000635
46.2758338796,-1006.85307471
48.2581274726,-1002.68025434
50.3253355352,-998.201160461
52.4810955039,-993.3941016
54.7292006302,-988.236017445
57.0736066552,-982.702416675
59.5184387699,-976.767315295
62.0679988739,-970.403176012
64.726773145,-963.580849241
67.4994399334,-956.269516412
70.3908779928,-948.43663627
73.4061750658,-940.047894942
76.550636836,-931.067160526
79.8297962637,-921.456443
83.2494233216,-911.175860213
86.8155351479,-900.183610623
90.5344066337,-888.435953386
94.4125814642,-875.887196139
98.4568836333,-862.48969058
102.67442945,-848.193835517
107.072640063,-832.948086501
111.659254513,-816.698970397
116.442343358,-799.391102268
121.430322868,-780.96720062
126.631969836,-761.36809539
132.056437024,-740.532720913
137.713269264,-718.398083369
143.612420256,-694.899188781
149.764270081,-669.968913317
156.179643466,-643.537792262
162.869828832,-615.533697347
169.846598154,-585.881363828
177.12222768,-554.501718474
184.709519527,-521.310947055
192.62182421,-486.219224463
200.873064134,-449.129011688
209.477758089,-409.932800792
218.451046799,-368.510160845
227.808719566,-324.723903532
237.567242047,-278.415145533
247.74378523,-229.396994275
258.356255649,-177.446522545
269.42332689,-122.294623504
280.964472449,-63.6132483264
293,-0.999420957918
