temperature_K,value_J/(kg-K)
10,9.33529400208
10.2692803406,9.85738257617
10.5458118713,10.4058684675
10.8297898525,10.979585492
11.1214148025,11.5772977318
11.4208926391,12.1977149109
11.728434825,12.839511611
12.0442585174,13.5013492844
12.368586721,14.1819000469
12.7016484454,14.8798712781
13.0436788673,15.5940301304
13.3949194961,16.3232271416
13.7556183445,17.0664182573
14.1260301037,17.8226846978
14.5064163234,18.5912502351
14.8970455962,19.371495583
15.2981937474,20.1629697287
15.7101440296,20.9653981589
16.1331873231,21.7786880355
16.5676223407,22.602930466
17.0137558394,23.4384000878
17.471902836,24.2855522334
17.9423868306,25.145017983
18.4255400343,26.0175974269
18.9217036038,26.9042514628
19.4312278829,27.8060924483
19.9544726491,28.7243740063
20.4918073681,29.660480259
21.0436114548,30.6159147315
21.6102745408,31.59228914
22.1921967496,32.5913122372
22.7897889794,33.6147788619
23.4034731932,34.6645593039
24.0336827164,35.742589071
24.6808625431,36.8508591185
25.3454696502,37.9914065804
26.0279733201,39.1663060315
26.7288554721,40.3776612861
27.4486110025,41.6275977471
28.1877481344,42.9182552984
28.9467887762,44.2517817455
29.7262688902,45.6303268043
30.5267388712,47.0560366452
31.3487639352,48.5310490022
32.192924518,50.0574888734
33.0598166858,51.6374648376
33.9500525555,53.2730660254
34.8642607269,54.9663597939
35.8030867271,56.7193901616
36.7671934658,58.5341770703
37.7572617036,60.4127165396
38.7739905327,62.3569817963
39.8180978702,64.3689254613
40.8903209658,66.4504828702
41.9914169213,68.603576611
43.1221632262,70.8301223723
44.2833583062,73.1320361472
45.4758220868,75.5112428973
46.7003965727,77.969686701
47.9579464421,80.5093424593
49.2493596571,83.1322291737
50.5755480913,85.8404248278
51.9374481727,88.6360828695
53.3360215459,91.5214502825
54.7722557505,94.4988872188
56.2471649187,97.5708881465
57.7617904912,100.740104447
59.3172019528,104.00936838
60.9144975871,107.381718358
62.5548052526,110.860425381
64.2392831789,114.449020563
65.9691207841,118.151323611
67.7455395152,121.971472165
69.5697937105,125.913951851
71.4431714848,129.983626959
73.3669956397,134.185771642
75.3426245969,138.526101512
77.3714533579,143.010805626
79.454914489,147.646578731
81.5944791323,152.440653768
83.7916580452,157.40083466
86.0480026667,162.535529389
88.365106213,167.85378342
90.7446048025,173.365313649
93.1881786111,179.080543002
95.6975530584,185.010635931
98.2745000263,191.167535178
100.92083911,197.564000117
103.638438902,204.213647325
106.429218315,211.130993842
109.29514793,218.331504095
112.238251396,225.831641356
115.260606852,233.64892486
118.364348399,241.801994268
121.551667603,250.310682873
124.824815048,259.196102127
128.186101919,268.480739523
131.637901637,278.188573537
135.182651535,288.345208873
138.82285458,298.978036782
142.561081136,310.116425866
146.399970784,321.791949681
150.342234183,334.038659094
154.390654985,346.893408611
158.5480918,360.396247886
162.817480216,374.590891545
167.201834868,389.525283661
171.704251572,405.252275682
176.327909506,421.830441142
181.076073458,439.325054648
185.952096131,457.809268998
190.959420509,477.365530922
196.101582287,498.087285239
201.382212374,520.081028206
206.805039447,543.468785213
212.373892592,568.391105702
218.092704005,595.010691517
223.965511766,623.516804689
229.996462694,654.130639317
236.189815274,687.111893436
242.549942664,722.766842937
249.08133578,761.458309196
255.788606473,803.618030558
262.676490779,849.762107088
269.749852269,900.510404899
277.013685478,956.61110066
284.473119434,1018.97195402
292.133421283,1088.70045718
300,1167.15580014
