Temperature,SS,G-10,Nylon,Lead,Brass,Nickel,Gd-Rh,Gd0.6-Er0.4-Rh,Er3-Ni,Er-Ni,Er-Ni2,Er-Al2,Er-Dy0.8-Ni2,Kapton,Nd,Er3-Ni (N),Er0.9-Yb0.1-Ni,Er3-Co,Er0.6-Pr0.4,Ho-Cu2,Er-Ni0.9-Co0.1,Ho2-Al,Er-Ag0.9-Al0.1,Ho-Sb,Dy-Sb,Gd-Sb,Er,Er0.5-Pr0.5,GAP_GdAlO 3,GOS_Gd 2 O 2 S
1.00000,0.00390,0.00048,0.00023,0.00117,0.00016,0.00110,0.02450,0.07000,0.00366,0.01821,0.02985,0.00003,0.00400,0.00004,0.01011,0.08342,0.00706,0.01539,,0.03560,0.00261,0.09330,0.00464,0.00000,0.01410,0.01380,,0.00661,0.13615,0.08401
1.01147,0.00394,0.00048,0.00024,0.00118,0.00016,0.00111,0.02502,0.07080,0.00377,0.01871,0.03038,0.00003,0.00409,0.00004,0.01027,0.08332,0.00732,0.01557,,0.03612,0.00271,0.09319,0.00468,0.00000,0.01413,0.01388,,0.00669,0.13827,0.08598
1.02308,0.00399,0.00049,0.00024,0.00119,0.00016,0.00112,0.02555,0.07162,0.00388,0.01920,0.03091,0.00003,0.00417,0.00004,0.01043,0.08323,0.00760,0.01576,,0.03665,0.00281,0.09308,0.00472,0.00000,0.01417,0.01397,,0.00677,0.14039,0.08796
1.03482,0.00404,0.00049,0.00024,0.00121,0.00016,0.00113,0.02608,0.07244,0.00399,0.01971,0.03146,0.00003,0.00426,0.00004,0.01059,0.08314,0.00788,0.01594,,0.03718,0.00292,0.09299,0.00476,0.00000,0.01420,0.01406,,0.00685,0.14252,0.08995
1.04669,0.00408,0.00050,0.00024,0.00122,0.00016,0.00115,0.02662,0.07327,0.00411,0.02022,0.03201,0.00003,0.00436,0.00004,0.01076,0.08306,0.00817,0.01614,,0.03773,0.00304,0.09291,0.00480,0.00000,0.01424,0.01414,,0.00693,0.14467,0.09195
1.05870,0.00413,0.00050,0.00025,0.00124,0.00017,0.00116,0.02717,0.07411,0.00423,0.02074,0.03257,0.00003,0.00445,0.00004,0.01094,0.08297,0.00847,0.01633,,0.03828,0.00316,0.09284,0.00485,0.00000,0.01428,0.01423,,0.00701,0.14682,0.09396
1.07084,0.00418,0.00051,0.00025,0.00125,0.00017,0.00117,0.02772,0.07496,0.00435,0.02126,0.03315,0.00004,0.00454,0.00004,0.01111,0.08289,0.00878,0.01653,,0.03885,0.00328,0.09279,0.00489,0.00000,0.01431,0.01432,,0.00710,0.14899,0.09598
1.08313,0.00422,0.00052,0.00025,0.00126,0.00017,0.00118,0.02828,0.07582,0.00447,0.02179,0.03373,0.00004,0.00464,0.00004,0.01129,0.08281,0.00910,0.01674,,0.03942,0.00341,0.09274,0.00494,0.00000,0.01435,0.01442,,0.00718,0.15116,0.09801
1.09555,0.00427,0.00052,0.00026,0.00128,0.00017,0.00120,0.02885,0.07669,0.00460,0.02232,0.03432,0.00004,0.00474,0.00004,0.01148,0.08273,0.00942,0.01695,,0.04000,0.00355,0.09271,0.00499,0.00000,0.01439,0.01451,,0.00727,0.15335,0.10005
1.10812,0.00432,0.00053,0.00026,0.00129,0.00017,0.00121,0.02942,0.07757,0.00474,0.02286,0.03493,0.00004,0.00484,0.00004,0.01167,0.08266,0.00976,0.01716,,0.04060,0.00369,0.09270,0.00504,0.00000,0.01443,0.01461,,0.00736,0.15555,0.10210
1.12084,0.00437,0.00053,0.00026,0.00131,0.00018,0.00122,0.03000,0.07846,0.00487,0.02341,0.03554,0.00004,0.00495,0.00004,0.01187,0.08258,0.01010,0.01737,,0.04120,0.00384,0.09269,0.00508,0.00000,0.01447,0.01470,,0.00745,0.15776,0.10416
1.13370,0.00442,0.00054,0.00026,0.00132,0.00018,0.00123,0.03058,0.07936,0.00501,0.02397,0.03617,0.00005,0.00506,0.00004,0.01207,0.08251,0.01046,0.01760,,0.04182,0.00400,0.09270,0.00513,0.00000,0.01451,0.01480,,0.00755,0.15999,0.10622
1.14670,0.00447,0.00055,0.00027,0.00134,0.00018,0.00125,0.03117,0.08027,0.00516,0.02453,0.03680,0.00005,0.00516,0.00005,0.01227,0.08244,0.01083,0.01782,,0.04245,0.00416,0.09272,0.00518,0.00000,0.01455,0.01490,,0.00765,0.16222,0.10830
1.15986,0.00452,0.00055,0.00027,0.00135,0.00018,0.00126,0.03177,0.08119,0.00531,0.02510,0.03745,0.00005,0.00528,0.00005,0.01248,0.08238,0.01120,0.01805,,0.04308,0.00433,0.09276,0.00524,0.00000,0.01459,0.01500,,0.00775,0.16447,0.11038
1.17317,0.00458,0.00056,0.00027,0.00137,0.00018,0.00127,0.03238,0.08212,0.00546,0.02567,0.03811,0.00006,0.00539,0.00005,0.01269,0.08231,0.01159,0.01829,,0.04373,0.00450,0.09281,0.00529,0.00000,0.01463,0.01511,,0.00785,0.16674,0.11248
1.18663,0.00463,0.00057,0.00028,0.00138,0.00019,0.00129,0.03299,0.08306,0.00562,0.02625,0.03878,0.00006,0.00550,0.00005,0.01292,0.08225,0.01199,0.01853,,0.04439,0.00469,0.09287,0.00534,0.00000,0.01468,0.01521,,0.00795,0.16901,0.11458
1.20024,0.00468,0.00057,0.00028,0.00140,0.00019,0.00130,0.03361,0.08402,0.00578,0.02684,0.03946,0.00006,0.00562,0.00005,0.01314,0.08219,0.01240,0.01877,,0.04506,0.00488,0.09295,0.00540,0.00000,0.01472,0.01532,,0.00806,0.17130,0.11670
1.21401,0.00473,0.00058,0.00028,0.00142,0.00019,0.00131,0.03424,0.08498,0.00595,0.02744,0.04016,0.00007,0.00574,0.00005,0.01337,0.08214,0.01282,0.01902,,0.04575,0.00508,0.09304,0.00545,0.00000,0.01476,0.01543,,0.00817,0.17361,0.11882
1.22794,0.00479,0.00059,0.00029,0.00143,0.00019,0.00133,0.03487,0.08596,0.00612,0.02804,0.04086,0.00007,0.00587,0.00005,0.01361,0.08208,0.01325,0.01928,,0.04644,0.00529,0.09315,0.00551,0.00000,0.01481,0.01554,,0.00828,0.17593,0.12095
1.24203,0.00484,0.00059,0.00029,0.00145,0.00019,0.00134,0.03551,0.08694,0.00630,0.02865,0.04158,0.00007,0.00599,0.00005,0.01385,0.08203,0.01370,0.01954,,0.04715,0.00551,0.09327,0.00557,0.00000,0.01486,0.01565,,0.00839,0.17826,0.12309
1.25628,0.00490,0.00060,0.00029,0.00147,0.00020,0.00136,0.03616,0.08794,0.00648,0.02927,0.04232,0.00008,0.00612,0.00005,0.01410,0.08199,0.01415,0.01980,,0.04787,0.00574,0.09340,0.00563,0.00000,0.01490,0.01577,,0.00851,0.18061,0.12525
1.27069,0.00496,0.00061,0.00030,0.00148,0.00020,0.00137,0.03682,0.08895,0.00667,0.02989,0.04306,0.00008,0.00626,0.00006,0.01436,0.08194,0.01462,0.02007,,0.04860,0.00597,0.09355,0.00569,0.00000,0.01495,0.01588,,0.00863,0.18297,0.12741
1.28527,0.00501,0.00061,0.00030,0.00150,0.00020,0.00139,0.03748,0.08997,0.00686,0.03053,0.04382,0.00009,0.00639,0.00006,0.01462,0.08190,0.01510,0.02035,,0.04935,0.00622,0.09372,0.00575,0.00000,0.01500,0.01600,,0.00875,0.18535,0.12958
1.30001,0.00507,0.00062,0.00030,0.00152,0.00020,0.00140,0.03815,0.09100,0.00706,0.03117,0.04459,0.00009,0.00653,0.00006,0.01489,0.08186,0.01560,0.02063,,0.05011,0.00648,0.09390,0.00582,0.00000,0.01505,0.01612,,0.00888,0.18775,0.13176
1.31493,0.00513,0.00063,0.00031,0.00153,0.00021,0.00141,0.03883,0.09204,0.00727,0.03181,0.04537,0.00010,0.00667,0.00006,0.01516,0.08183,0.01610,0.02092,,0.05088,0.00675,0.09410,0.00588,0.00000,0.01509,0.01624,,0.00900,0.19016,0.13395
1.33001,0.00519,0.00063,0.00031,0.00155,0.00021,0.00143,0.03952,0.09310,0.00748,0.03247,0.04617,0.00010,0.00681,0.00006,0.01545,0.08180,0.01662,0.02121,,0.05166,0.00703,0.09431,0.00595,0.00000,0.01515,0.01637,,0.00913,0.19259,0.13614
1.34527,0.00525,0.00064,0.00031,0.00157,0.00021,0.00145,0.04021,0.09417,0.00769,0.03313,0.04698,0.00011,0.00696,0.00006,0.01574,0.08177,0.01716,0.02151,,0.05246,0.00733,0.09454,0.00601,0.00000,0.01520,0.01649,,0.00927,0.19504,0.13835
1.36071,0.00531,0.00065,0.00032,0.00159,0.00021,0.00146,0.04091,0.09525,0.00791,0.03381,0.04781,0.00011,0.00711,0.00006,0.01603,0.08175,0.01771,0.02182,,0.05328,0.00764,0.09479,0.00608,0.00000,0.01525,0.01662,,0.00940,0.19750,0.14057
1.37632,0.00537,0.00066,0.00032,0.00161,0.00022,0.00148,0.04162,0.09634,0.00814,0.03449,0.04865,0.00012,0.00726,0.00007,0.01634,0.08173,0.01827,0.02213,,0.05410,0.00796,0.09505,0.00615,0.00000,0.01530,0.01675,,0.00954,0.19998,0.14280
1.39211,0.00543,0.00066,0.00032,0.00162,0.00022,0.00149,0.04234,0.09745,0.00838,0.03517,0.04951,0.00013,0.00742,0.00007,0.01665,0.08171,0.01885,0.02245,,0.05495,0.00829,0.09533,0.00623,0.00000,0.01535,0.01689,,0.00969,0.20248,0.14503
1.40808,0.00549,0.00067,0.00033,0.00164,0.00022,0.00151,0.04307,0.09857,0.00862,0.03587,0.05038,0.00013,0.00758,0.00007,0.01697,0.08170,0.01944,0.02278,,0.05580,0.00864,0.09563,0.00630,0.00000,0.01541,0.01702,,0.00983,0.20500,0.14728
1.42423,0.00555,0.00068,0.00033,0.00166,0.00022,0.00152,0.04380,0.09970,0.00887,0.03658,0.05127,0.00014,0.00774,0.00007,0.01730,0.08169,0.02005,0.02311,,0.05667,0.00901,0.09594,0.00637,0.00000,0.01547,0.01716,,0.00998,0.20753,0.14953
1.44057,0.00562,0.00069,0.00034,0.00168,0.00023,0.00154,0.04455,0.10084,0.00913,0.03729,0.05217,0.00015,0.00791,0.00007,0.01764,0.08168,0.02067,0.02345,,0.05756,0.00939,0.09627,0.00645,0.00000,0.01552,0.01730,,0.01014,0.21009,0.15180
1.45710,0.00568,0.00069,0.00034,0.00170,0.00023,0.00156,0.04530,0.10200,0.00939,0.03801,0.05309,0.00016,0.00808,0.00007,0.01799,0.08168,0.02131,0.02380,,0.05846,0.00978,0.09661,0.00653,0.00000,0.01558,0.01744,,0.01029,0.21266,0.15407
1.47382,0.00575,0.00070,0.00034,0.00172,0.00023,0.00157,0.04606,0.10317,0.00966,0.03874,0.05402,0.00017,0.00825,0.00008,0.01834,0.08169,0.02197,0.02416,,0.05938,0.01019,0.09698,0.00661,0.00000,0.01564,0.01759,,0.01045,0.21526,0.15636
1.49073,0.00581,0.00071,0.00035,0.00174,0.00023,0.00159,0.04683,0.10435,0.00994,0.03948,0.05497,0.00018,0.00843,0.00008,0.01871,0.08170,0.02264,0.02452,,0.06031,0.01063,0.09736,0.00669,0.00000,0.01570,0.01774,,0.01062,0.21788,0.15865
1.50783,0.00588,0.00072,0.00035,0.00176,0.00024,0.00161,0.04761,0.10555,0.01023,0.04023,0.05594,0.00019,0.00861,0.00008,0.01908,0.08171,0.02333,0.02489,,0.06126,0.01107,0.09776,0.00677,0.00001,0.01576,0.01789,,0.01078,0.22052,0.16095
1.52513,0.00595,0.00073,0.00036,0.00178,0.00024,0.00163,0.04839,0.10676,0.01053,0.04099,0.05692,0.00020,0.00879,0.00008,0.01946,0.08173,0.02404,0.02527,,0.06223,0.01154,0.09818,0.00686,0.00001,0.01582,0.01804,,0.01096,0.22318,0.16327
1.54263,0.00602,0.00074,0.00036,0.00180,0.00024,0.00164,0.04919,0.10798,0.01083,0.04176,0.05792,0.00021,0.00898,0.00008,0.01986,0.08175,0.02476,0.02565,,0.06321,0.01203,0.09862,0.00695,0.00001,0.01588,0.01820,,0.01113,0.22586,0.16559
