temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
15,-79.1439432239
15.7188168139,-79.1550172219
16.4720801352,-79.1662321146
17.2614406793,-79.1775426081
18.0886282655,-79.1888941342
18.955455608,-79.2002214255
19.8638222884,-79.2114468863
20.8157189183,-79.2224787312
21.8132315017,-79.2332088606
22.8585460063,-79.2435104345
23.9539531537,-79.2532351062
25.1018534394,-79.2622098661
26.3047623936,-79.2702334469
27.5653160931,-79.2770722261
28.886276939,-79.2824555626
30.2705397093,-79.2860704895
31.7211379032,-79.2875556778
33.2412503886,-79.2864945764
34.8342083682,-79.2824076187
36.5035026798,-79.274743377
38.2527914459,-79.2628685278
40.0859080906,-79.2460564788
42.0068697396,-79.2234744872
44.0198860241,-79.1941690846
46.1293683054,-79.1570495995
48.3399393422,-79.110869549
50.656443421,-79.0542056485
53.0839569719,-78.9854341608
55.6277996932,-78.9027042852
58.2935462091,-78.803908258
61.0870382862,-78.6866478116
64.0143976349,-78.5481966155
67.082039325,-78.3854582984
70.2966858435,-78.1949196321
73.6653818265,-77.9725984472
77.195509497,-77.7139858402
80.8948048426,-77.4139822433
84.7713745677,-77.0668269459
88.8337138595,-76.6660207023
93.0907250036,-76.2042411302
97.5517368936,-75.6732507098
102.226525474,-75.0637973519
107.125335163,-74.3655077136
112.258901304,-73.5667737355
117.638473688,-72.6546332658
123.275841211,-71.6146461489
129.183357705,-70.4307678316
135.373969011,-69.0852234059
141.86124135,-67.5583861223
148.659391052,-65.8286658289
155.783315707,-63.8724145897
163.248626818,-61.6638590134
171.071684004,-59.175071678
179.269630861,-56.3759976237
187.860432519,-53.2345563545
196.862915023,-49.7168453695
206.29680658,-45.7874781633
216.182780795,-41.4100982286
226.542501975,-36.5481212162
237.398672608,-31.1657705355
248.775083105,-25.2294878655
260.696663946,-18.7098199801
273.189540304,-11.5839078015
286.281089301,-3.83873370108
300,4.52468
