temperature_K,value_units: GPa
5,210.179441438
5.19378709125,210.1855036
5.39508486985,210.191296612
5.60418443064,210.196785585
5.82138815057,210.201934062
6.04701012591,210.20670412
6.28137662652,210.211056511
6.52482656762,210.214950845
6.77771199991,210.21834582
7.04039861867,210.221199499
7.31326629258,210.223469661
7.59670961305,210.225114206
7.89113846485,210.226091653
8.1969786188,210.226361714
8.51467234751,210.225885976
8.84467906495,210.224628686
9.18747599075,210.222557665
9.54355884039,210.219645355
9.91344254196,210.215870018
10.2976619809,210.211217102
10.6967727732,210.205680787
11.1113520695,210.199265734
11.541999389,210.191989043
11.9893374868,210.183882452
12.4540132543,210.174994783
12.9366986549,210.165394651
13.4380916954,210.155173462
13.9589174357,210.144448704
14.4999290371,210.13336754
15.0619088514,210.122110718
15.6456695524,210.110896797
16.252055311,210.099986668
16.8819430161,210.089688382
17.5362435425,210.080362224
18.215903068,210.072426023
18.921904442,210.066360598
19.6552686065,210.062715293
20.4170560727,210.062113439
21.2083684544,210.065257629
22.030350061,210.072934575
22.8841895525,210.086019296
23.7711216583,210.105478327
24.6924289626,210.132371517
25.6494437595,210.167851921
26.6435499792,210.213163148
27.6761851894,210.2696334
28.7488426744,210.338665236
29.8630735941,210.421719903
31.0204892276,210.52029483
32.2227633029,210.635892555
33.4716344174,210.769979024
34.768908552,210.923928754
36.1164616829,211.09895385
37.516242494,211.296013262
38.9702751955,211.515697949
40.4806624506,211.758086764
42.0495884162,212.022566854
43.6793219017,212.307611204
45.3722196495,212.610504497
47.1307297434,212.92700683
48.9573951485,213.250942822
50.8548573887,213.573701343
52.8258603665,213.883628322
54.8732543312,214.165291878
57,214.398595171
