temperature_K,value_J/(kg-K)
4,1.6735892859
4.05503770121,1.70293573055
4.11083268955,1.73084314247
4.16739538487,1.75760190078
4.22473635037,1.7834802348
4.2828662946,1.80872313954
4.34179607346,1.83355209393
4.40153669221,1.85816538391
4.46209930753,1.88273886551
4.52349522964,1.90742703372
4.58573592436,1.93236429083
4.64883301526,1.95766633159
4.71279828587,1.9834315834
4.77764368185,2.00974265558
4.84338131321,2.03666776592
4.91002345659,2.06426212298
4.97758255757,2.0925692504
5.04607123296,2.12162224619
5.11550227315,2.15144497375
5.18588864456,2.1820531845
5.25724349199,2.2134555741
5.32958014111,2.24565477526
5.40291210095,2.27864829058
5.47725306641,2.31242936897
5.55261692084,2.34698782906
5.62901773859,2.3823108322
5.70646978768,2.41838360769
5.78498753246,2.45519013183
5.86458563628,2.49271376168
5.94527896427,2.53093782475
6.02708258608,2.56984616398
6.1100117787,2.60942363865
6.19408202936,2.64965658032
6.27930903836,2.6905332033
6.36570872202,2.7320439692
6.45329721567,2.77418190485
6.54209087666,2.81694287338
6.63210628739,2.86032579835
6.72336025844,2.90433284037
6.8158698317,2.94896952779
6.90965228351,2.99424484104
7.00472512796,3.04017125263
7.10110612012,3.08676472346
7.19881325934,3.13404465819
7.29786479264,3.18203382069
7.39827921811,3.23075821311
7.50007528838,3.28024692033
7.60327201406,3.33053192342
7.70788866739,3.38164788414
7.81394478574,3.43363190515
7.92146017533,3.48652326831
8.03045491489,3.54036315409
8.14094935943,3.59519434699
8.25296414402,3.65106092928
8.36652018768,3.70800796662
8.48163869723,3.7660811904
8.59834117132,3.82532667827
8.71664940439,3.88579053871
8.83658549075,3.94751860166
8.95817182873,4.01055611931
9.08143112484,4.07494748152
9.20638639804,4.14073594834
9.33306098398,4.20796340466
9.46147853942,4.27667014041
9.59166304663,4.34689466034
9.72363881783,4.41867352792
9.85743049981,4.49204124704
9.99306307843,4.5670301863
10.1305618834,4.64367054987
10.2699525929,4.72199039946
10.4112612384,4.80201573142
10.5545142097,4.88377061331
10.6997382596,4.96727738322
10.8469605089,5.05255691705
10.9962084518,5.13962896435
11.1475099606,5.22851255744
11.3008932912,5.31922649585
11.4563870883,5.41178990548
11.6140203907,5.5062228745
11.7738226367,5.60254716497
11.9358236698,5.70078699703
12.1000537439,5.80096990427
12.2665435296,5.9031276554
12.435324119,6.00729723199
12.6064270323,6.1135218613
12.7798842234,6.2218520878
12.9557280857,6.33234687497
13.1339914585,6.44507472215
13.3147076329,6.56011478016
13.497910358,6.67755794785
13.6836338473,6.79750792545
13.8719127851,6.92008220564
14.0627823328,7.04541296758
14.2562781359,7.17364784933
14.45243633,7.30495055893
14.6512935481,7.43950128728
14.8528869272,7.57749687434
15.0572541154,7.71915067914
15.2644332786,7.86469209582
15.4744631081,8.0143656403
15.6873828273,8.16842954121
15.9032321995,8.32715373378
16.122051535,8.49081715478
16.3438816988,8.65970422477
16.5687641182,8.83410036952
16.7967407904,9.01428642371
17.0278542906,9.20053173165
17.2621477798,9.39308574296
17.4996650127,9.59216785352
17.7404503463,9.79795524023
17.9845487476,10.0105683877
18.2320058027,10.2300540053
18.4828677246,10.456364978
18.7371813624,10.6893370314
18.9949942098,10.9286617585
19.2563544137,11.1738557106
19.5213107838,11.4242252949
19.7899128013,11.6788273546
20.0622106282,11.9364254375
20.3382551168,12.1954420372
20.6180978188,12.4539073679
20.9017909956,12.7094057579
21.1893876275,12.9590212597
21.4809414237,13.1992848584
21.7765068327,13.4261265633
22.0761390517,13.6348367197
22.379894038,13.8200421403
22.6878285182,13.9757039154
23,14.0951451551
