temperature_K,value_GPa
8,206.682565395
8.46163279706,206.682311159
8.94990369904,206.681853796
9.4663498338,206.681160038
10.0125970278,206.680192285
10.5903649242,206.678908101
11.201472397,206.677259647
11.8478432762,206.675193058
12.5315124051,206.672647748
13.2546320454,206.669555651
14.0194786536,206.665840368
14.8284600466,206.661416244
15.6841229825,206.656187337
16.5891611778,206.650046292
17.5464237872,206.642873097
18.5589243736,206.634533725
19.6298503948,206.624878642
20.7625732377,206.61374118
21.9606588325,206.600935756
23.2278788778,206.586255936
24.5682227148,206.569472331
25.9859098861,206.550330315
27.4854034193,206.528547555
29.0714238766,206.503811356
30.7489642165,206.4757758
32.5233055112,206.444058686
34.4000335728,206.408238263
36.3850565375,206.367849767
38.4846234651,206.322381755
40.7053440119,206.271272259
43.0542092383,206.213904767
45.5386136178,206.149604065
48.1663783152,206.077631963
50.9457758084,205.99718295
53.8855559316,205.907379845
56.9949734198,205.807269487
60.2838170446,205.695818567
63.7624404296,205.571909693
67.441794645,205.434337801
71.3334626826,205.281807047
75.4496959204,205.112928341
79.8034526911,204.926217671
84.4084390762,204.720095429
89.2791520546,204.492886901
94.4309251399,204.242824138
99.8799766526,203.968049377
105.643460777,203.666620161
111.739521563,203.336516247
118.187350048,202.975648291
125.007244671,202.581868152
132.220675172,202.152980418
139.850350186,201.686754433
147.920288726,201.180935657
156.455895805,200.633254538
165.484042405,200.041430189
175.033150075,199.40316501
185.133280406,198.716124765
195.816229664,197.977896525
207.11562889,197.185914056
219.067049775,196.337336534
231.708116642,195.428861578
245.078624891,194.456447259
259.220666279,193.414909433
274.178761433,192.297349998
290,191.094357784
