temperature_K,value_J/(kg-K)
4,1.97739285044
4.1610143188,2.03976393024
4.32851004032,2.11115603761
4.50274806421,2.19069607169
4.68399979228,2.27765679834
4.87254755124,2.37143416788
5.06868503243,2.47153400306
5.27271774936,2.57756499533
5.48496351352,2.68923576162
5.70575292947,2.80635430981
5.93542990977,2.92882871734
6.17435221069,3.05666818941
6.42289198951,3.18998395399
6.68143638411,3.3289896853
6.95038811611,3.47400133228
7.23016611809,3.62543636966
7.52120618617,3.78381259155
7.82396165883,3.94974663657
8.13890412304,4.12395247505
8.46652414883,4.30724010962
8.80733205344,4.50051474755
9.1618586962,4.70477670173
9.53065630543,4.92112227403
9.91429933861,5.15074587464
10.3133853772,5.39494363696
10.7285360575,5.65511880404
11.1603980387,5.93278919067
11.6096440107,6.22959706644
12.0769737411,6.54732186074
12.5631151662,6.88789616028
13.0688255238,7.25342555379
13.5948925336,7.64621297616
14.1421356237,8.06878831597
14.7114072072,8.52394417475
15.3035940097,9.014778804
15.9196184509,9.54474739594
16.560440081,10.117723067
17.2270570757,10.7380690469
17.9205077907,11.4107237725
18.6418723793,12.1413007747
19.3922744749,12.9362054418
20.172882941,13.8027709196
20.9849136923,14.7494155543
21.8296315881,15.7858243587
22.708352403,16.9231569231
23.6224448764,18.1742839185
24.5733328439,19.554053701
25.562497456,21.0795893282
26.5914794847,22.7706142409
27.6618817235,24.6498015266
28.7753714841,26.7431364704
29.9336831936,29.0802742184
31.1386210957,31.6948627448
32.3920620618,34.6247845361
33.6959585136,37.9122467841
35.0523414652,41.6036173963
36.4633236861,45.7488607598
37.9311029922,50.4003712388
39.4579656696,55.6109334911
41.0462900355,61.4304593678
42.6985501429,67.9010694262
44.4173196341,75.0500203474
46.2052757501,82.8799599093
48.0652035001,91.3560717144
50,100.389932062
