temperature_K,value_J/(kg-K)
4,2.23233052767
4.06803283246,2.18486871131
4.13722278149,2.14983027182
4.20758952758,2.12607946347
4.27915308593,2.11270874884
4.35193381217,2.10900034167
4.42595240815,2.11439564653
4.50122992782,2.12847087116
4.5777877832,2.15091748896
4.65564775053,2.18152653011
4.73483197638,2.220175908
4.81536298402,2.26682016033
4.8972636798,2.32148211696
4.98055735966,2.38424610785
5.06526771577,2.45525240298
5.15141884324,2.53469263683
5.23903524701,2.62280601746
5.32814184881,2.71987615712
5.41876399424,2.82622839082
5.51092745999,2.9422274721
5.60465846113,3.0682755538
5.69998365865,3.2048103766
5.79693016697,3.35230359964
5.89552556168,3.51125921785
5.99579788738,3.6822120185
6.09777566567,3.86572603642
6.20148790323,4.06239297332
6.30696410011,4.27283055177
6.4142342581,4.49768077909
6.52332888926,4.73760810058
6.63427902461,4.99329742565
6.74711622296,5.26545201393
6.86187257985,5.5547912122
6.97858073675,5.86204803656
7.09727389027,6.1879665974
7.21798580164,6.5332993685
7.34075080633,6.89880430441
7.46560382377,7.28524181401
7.5925803673,7.69337160063
7.72171655432,8.12394938277
7.85304911648,8.57772351176
7.9866154102,9.05543150571
8.12245342723,9.55779652133
8.26060180552,10.0855237876
8.40109984019,10.6392970269
8.54398749467,11.2197748916
8.68930541211,11.8275874435
8.83709492693,12.4633327073
8.98739807658,13.1275733271
9.14025761348,13.820833356
9.2957170172,14.5435952095
9.45382050681,15.296296811
9.61461305347,16.0793289585
9.77814039323,16.8930329368
9.94444904002,17.7376984031
10.1135862989,18.6135615649
10.2856002794,19.5208036725
10.4605399096,20.4595498421
10.6384549494,21.4298682226
10.8193960052,22.4317695184
11.0034145441,23.4652068739
11.1905629086,24.5300761236
11.3808943315,25.6262164085
11.5744629508,26.753411155
11.7713238255,27.9113894086
11.9715329509,29.0998275135
12.1751472748,30.3183511238
12.3822247135,31.5665375292
12.5928241684,32.8439182772
12.8070055426,34.1499820691
13.0248297582,35.4841779064
13.2463587734,36.8459184606
13.4716556002,38.2345836408
13.7007843223,39.6495243288
13.9338101134,41.0900662536
14.1707992556,42.5555139746
14.4118191585,44.0451549436
14.6569383781,45.558263616
14.9062266363,47.094105582
15.1597548412,48.6519416884
15.4175951065,50.2310321248
15.6798207727,51.8306404471
15.9465064276,53.4500375139
16.2177279276,55.0885053134
16.4935624194,56.7453406589
16.7740883616,58.4198587348
17.0593855474,60.1113964758
17.3495351271,61.8193157634
17.6446196312,63.5430064301
17.944722994,65.2818890562
18.2499305773,67.0354175562
18.5603291946,68.8030815439
18.8760071362,70.584408475
19.197054194,72.3789655639
19.5235616869,74.1863614745
19.8556224872,76.006247786
20.1933310467,77.8383202373
20.5367834237,79.682319754
20.8860773102,81.5380332638
21.2413120598,83.4052943068
21.602588716,85.2839834497
21.9700100407,87.1740285115
22.3436805437,89.0754046109
22.7237065125,90.9881340455
23.110196042,92.9122860136
23.5032590658,94.8479761882
23.9030073874,96.7953661567
24.3095547116,98.7546627354
24.7230166774,100.726117171
25.1435108902,102.710024242
25.5711569562,104.706721263
26.0060765155,106.716587019
26.4483932771,108.740040621
26.8982330543,110.777540306
27.3557238,112.829582183
27.8209956435,114.896698947
28.2941809274,116.979458549
28.775414245,119.078462853
29.2648324791,121.194346266
29.7625748404,123.327774368
30.2687829073,125.479442536
30.7836006664,127.650074568
31.3071745531,129.840421326
31.8396534934,132.051259378
32.3811889463,134.283389674
32.9319349469,136.537636237
33.4920481501,138.814844883
34.0616878752,141.115881968
34.6410161514,143.441633173
35.2301977634,145.793002321
35.8294002989,148.170910231
36.4387941958,150.576293615
37.058552791,153.010104013
37.6888523693,155.473306772
38.329872214,157.966880067
38.9817946576,160.491813971
39.6448051339,163.049109563
40.3190922303,165.639778091
41.0048477419,168.264840171
41.7022667261,170.925325043
42.4115475574,173.622269868
43.1328919848,176.356719073
43.8665051882,179.129723746
44.6125958378,181.942341077
45.3713761523,184.795633846
46.1430619604,187.690669958
46.9278727613,190.628522035
