temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
4,-2127.31475904
4.06803283246,-2127.33777657
4.13722278149,-2127.36063674
4.20758952758,-2127.38331866
4.27915308593,-2127.4058005
4.35193381217,-2127.42805946
4.42595240815,-2127.45007169
4.50122992782,-2127.47181232
4.5777877832,-2127.49325537
4.65564775053,-2127.51437372
4.73483197638,-2127.53513907
4.81536298402,-2127.55552194
4.8972636798,-2127.57549154
4.98055735966,-2127.59501581
5.06526771577,-2127.61406132
5.15141884324,-2127.63259326
5.23903524701,-2127.65057534
5.32814184881,-2127.66796979
5.41876399424,-2127.68473728
5.51092745999,-2127.70083689
5.60465846113,-2127.716226
5.69998365865,-2127.73086029
5.79693016697,-2127.74469367
5.89552556168,-2127.75767819
5.99579788738,-2127.76976398
6.09777566567,-2127.78089923
6.20148790323,-2127.79103007
6.30696410011,-2127.80010052
6.4142342581,-2127.80805242
6.52332888926,-2127.81482537
6.63427902461,-2127.82035661
6.74711622296,-2127.824581
6.86187257985,-2127.82743088
6.97858073675,-2127.82883604
7.09727389027,-2127.8287236
7.21798580164,-2127.82701792
7.34075080633,-2127.82364055
7.46560382377,-2127.81851007
7.5925803673,-2127.81154205
7.72171655432,-2127.80264893
7.85304911648,-2127.79173992
7.9866154102,-2127.77872089
8.12245342723,-2127.76349426
8.26060180552,-2127.74595889
8.40109984019,-2127.72600999
8.54398749467,-2127.70353895
8.68930541211,-2127.67843328
8.83709492693,-2127.65057643
8.98739807658,-2127.61984771
9.14025761348,-2127.58612211
9.2957170172,-2127.54927021
9.45382050681,-2127.50915801
9.61461305347,-2127.46564681
9.77814039323,-2127.41859304
9.94444904002,-2127.36784811
10.1135862989,-2127.3132583
10.2856002794,-2127.25466453
10.4605399096,-2127.19190226
10.6384549494,-2127.12480129
10.8193960052,-2127.05318559
11.0034145441,-2126.97687313
11.1905629086,-2126.8956757
11.3808943315,-2126.80939873
11.5744629508,-2126.71784109
11.7713238255,-2126.6207949
11.9715329509,-2126.51804533
12.1751472748,-2126.40937039
12.3822247135,-2126.29454075
12.5928241684,-2126.17331947
12.8070055426,-2126.04546184
13.0248297582,-2125.91071512
13.2463587734,-2125.76881834
13.4716556002,-2125.61950201
13.7007843223,-2125.46248796
13.9338101134,-2125.29748901
14.1707992556,-2125.12420881
14.4118191585,-2124.94234149
14.6569383781,-2124.75157148
14.9062266363,-2124.55157319
15.1597548412,-2124.34201076
15.4175951065,-2124.12253779
15.6798207727,-2123.89279703
15.9465064276,-2123.65242013
16.2177279276,-2123.40102731
16.4935624194,-2123.13822708
16.7740883616,-2122.86361593
17.0593855474,-2122.57677803
17.3495351271,-2122.2772849
17.6446196312,-2121.96469509
17.944722994,-2121.63855387
18.2499305773,-2121.2983929
18.5603291946,-2120.94372987
18.8760071362,-2120.57406818
19.197054194,-2120.18889659
19.5235616869,-2119.78768887
19.8556224872,-2119.36990345
20.1933310467,-2118.93498306
20.5367834237,-2118.48235437
20.8860773102,-2118.0114276
21.2413120598,-2117.52159619
21.602588716,-2117.01223642
21.9700100407,-2116.48270699
22.3436805437,-2115.93234871
22.7237065125,-2115.36048405
23.110196042,-2114.76641682
23.5032590658,-2114.14943174
23.9030073874,-2113.50879407
24.3095547116,-2112.84374925
24.7230166774,-2112.15352245
25.1435108902,-2111.43731825
25.5711569562,-2110.69432021
26.0060765155,-2109.92369052
26.4483932771,-2109.12456957
26.8982330543,-2108.29607562
27.3557238,-2107.43730439
27.8209956435,-2106.54732872
28.2941809274,-2105.62519815
28.775414245,-2104.66993861
29.2648324791,-2103.68055203
29.7625748404,-2102.65601599
30.2687829073,-2101.59528341
30.7836006664,-2100.49728217
31.3071745531,-2099.36091483
31.8396534934,-2098.1850583
32.3811889463,-2096.96856352
32.9319349469,-2095.7102552
33.4920481501,-2094.40893153
34.0616878752,-2093.06336393
34.6410161514,-2091.67229681
35.2301977634,-2090.23444733
35.8294002989,-2088.74850521
36.4387941958,-2087.21313251
37.058552791,-2085.62696353
37.6888523693,-2083.9886046
38.329872214,-2082.29663399
38.9817946576,-2080.54960183
39.6448051339,-2078.74603
40.3190922303,-2076.88441214
41.0048477419,-2074.9632136
41.7022667261,-2072.98087147
42.4115475574,-2070.93579466
43.1328919848,-2068.82636392
43.8665051882,-2066.65093202
44.6125958378,-2064.40782386
45.3713761523,-2062.09533666
46.1430619604,-2059.7117402
46.9278727613,-2057.25527707
47.7260317876,-2054.72416296
48.5377660688,-2052.116587
49.3633064955,-2049.43071213
50.2028878856,-2046.66467551
51.0567490508,-2043.81658896
51.9251328643,-2040.88453944
52.8082863305,-2037.86658959
53.7064606546,-2034.76077824
54.6199113145,-2031.56512103
55.5488981334,-2028.27761101
56.4936853534,-2024.89621925
57.4545417111,-2021.41889556
58.4317405137,-2017.8435691
59.4255597168,-2014.16814911
60.4362820039,-2010.3905256
61.4641948659,-2006.50857004
62.5095906838,-2002.52013606
63.5727668113,-1998.4230601
64.6540256597,-1994.21516208
65.7536747836,-1989.89424598
66.8720269687,-1985.45810038
68.0094003204,-1980.90449897
69.1661183549,-1976.23120094
70.3425100904,-1971.43595121
71.5389101413,-1966.51648068
72.7556588133,-1961.47050616
73.9931022,-1956.29573026
75.2515922813,-1950.98984097
76.5314870238,-1945.55051107
77.8331504824,-1939.97539724
79.1569529041,-1934.26213884
80.5032708329,-1928.40835632
81.8724872171,-1922.41164929
83.2649915186,-1916.26959401
84.6811798231,-1909.97974048
86.1214549529,-1903.53960883
87.5862265819,-1896.94668513
89.0759113517,-1890.19841639
90.59093299,-1883.29220482
92.1317224316,-1876.22540107
93.6987179407,-1868.99529651
95.2923652356,-1861.59911435
96.9131176153,-1854.03399952
98.5614360888,-1846.29700708
100.237789506,-1838.38508918
101.942654691,-1830.29508024
103.676516578,-1822.0236803
105.439868348,-1813.56743622
107.233211573,-1804.92272069
109.057056352,-1796.0857087
110.911921463,-1787.05235115
112.798334506,-1777.81834563
114.716832054,-1768.37910372
116.667959808,-1758.72971471
118.652272748,-1748.86490536
120.670335297,-1738.7789953
122.722721473,-1728.46584768
124.81001506,-1717.91881456
126.932809771,-1707.13067675
129.091709416,-1696.09357735
131.287328076,-1684.79894861
133.520290275,-1673.23743139
135.791231159,-1661.39878664
138.100796679,-1649.27179818
140.44964377,-1636.84416591
142.838440541,-1624.10238881
145.267866464,-1611.03163661
147.73861257,-1597.61560937
150.251381639,-1583.83638373
152.806888407,-1569.67424482
155.405859767,-1555.10750258
158.049034972,-1540.11229111
160.737165851,-1524.66234966
163.47101702,-1508.72878372
166.251366098,-1492.27980454
169.079003932,-1475.28044523
171.954734819,-1457.69225153
174.879376735,-1439.47294525
177.85376157,-1420.57605784
180.87873536,-1400.95053201
183.955158535,-1380.5402885
187.083906155,-1359.28375525
190.265868166,-1337.11335592
193.501949649,-1313.95495453
196.793071079,-1289.72725245
200.140168588,-1264.34113421
