temperature_K,"value_[(L-L 293 )/L 293 ] x 10 5 unitless, eg. m/m"
4,-173.61
4.27915308593,-173.61
4.5777877832,-173.61
4.8972636798,-173.61
5.23903524701,-173.61
5.60465846113,-173.61
5.99579788738,-173.61
6.4142342581,-173.61
6.86187257985,-173.61
7.34075080633,-173.61
7.85304911648,-173.61
8.40109984019,-173.61
8.98739807658,-173.61
9.61461305347,-173.61
10.2856002794,-173.61
11.0034145441,-173.61
11.7713238255,-173.61
12.5928241684,-173.61
13.4716556002,-173.61
14.4118191585,-173.61
15.4175951065,-173.61
16.4935624194,-173.61
17.6446196312,-173.61
18.8760071362,-173.61
20.1933310467,-173.61
21.602588716,-173.61
23.110196042,-173.61
24.7230166774,-173.560011806
26.4483932771,-173.528936928
28.2941809274,-173.467732301
30.2687829073,-173.370553823
32.3811889463,-173.230675841
34.6410161514,-173.040376175
37.058552791,-172.790808753
39.6448051339,-172.471863113
42.4115475574,-172.072010178
45.3713761523,-171.578133889
48.5377660688,-170.975348619
51.9251328643,-170.246802701
55.5488981334,-169.373469018
59.4255597168,-168.333924388
63.5727668113,-167.104120572
68.0094003204,-165.657151129
72.7556588133,-163.963020199
77.8331504824,-161.988421668
83.2649915186,-159.696540256
89.0759113517,-157.046889988
95.2923652356,-153.995210538
101.942654691,-150.493448247
109.057056352,-146.489856719
116.667959808,-141.929261967
124.81001506,-136.753549872
133.520290275,-130.902449665
142.838440541,-124.314707187
152.806888407,-116.929766646
163.47101702,-108.690110788
174.879376735,-99.5444482548
187.083906155,-89.4519851624
200.140168588,-78.3880779786
214.107605008,-66.3516391942
229.049804673,-53.3747595832
245.034794624,-39.5351251113
262.135349394,-24.9719479466
280.429322322,-9.90630582767
300,5.333
