temperature_K,value_units:W/(m•K)
20,0.842599740729
20.2126893869,0.897412860233
20.4276406126,0.951271230833
20.6448777306,1.00385911547
20.86442505,1.05489288457
21.0863071386,1.10412376778
21.3105488255,1.1513395337
21.5371752037,1.19636517651
21.7662116333,1.23906271071
21.9976837437,1.27933019308
22.2316174371,1.31710009807
22.4680388913,1.35233717594
22.7069745622,1.38503591871
22.9484511871,1.41521775264
23.1924957878,1.44292806523
23.4391356733,1.46823316064
23.6883984432,1.49121722693
23.9403119903,1.51197938152
24.1949045043,1.53063084978
24.4522044746,1.54729231746
24.7122406936,1.56209148731
24.9750422597,1.57516085734
25.240638581,1.58663573356
25.5090593783,1.59665247629
25.7803346883,1.60534697969
26.0544948673,1.61285337322
26.3315705944,1.61930293487
26.6115928747,1.62482320004
26.8945930434,1.62953725016
27.1806027687,1.63356316379
27.4696540557,1.63701361189
27.7617792497,1.63999557985
28.0570110401,1.64261020109
28.355382464,1.64495268277
28.6569269096,1.64711231271
28.9616781204,1.64917253044
29.2696701986,1.65121105222
29.5809376091,1.65330003823
29.8955151834,1.65550629134
30.2134381232,1.65789147999
30.5347420048,1.66051237755
30.8594627827,1.66342111074
31.1876367937,1.66666541304
31.5193007612,1.67028887805
31.8544917989,1.67433120921
32.1932474155,1.67882846209
32.5356055183,1.6838132793
32.8816044179,1.68931511256
33.2312828322,1.69536043444
33.5846798908,1.70197293648
33.9418351396,1.709173713
34.302788545,1.71698143201
34.6675804983,1.72541249247
35.0362518204,1.73448116598
35.4088437664,1.74419972757
35.7853980301,1.75457857104
36.1659567485,1.76562631433
36.5505625069,1.77734989029
36.9392583435,1.78975462918
37.332087754,1.8028443284
37.7290946969,1.8166213144
38.1303235979,1.83108649435
38.5358193554,1.84623940053
38.9456273451,1.86207822793
39.3597934253,1.87859986363
39.778363942,1.89579991324
40.201385734,1.91367271959
40.6289061383,1.93221137991
41.0609729952,1.95140775806
41.4976346539,1.9712524943
41.9389399776,1.99173501453
42.3849383492,2.01284353693
42.8356796768,2.03456507836
43.2912143993,2.05688546187
43.7515934918,2.0797893241
44.2168684717,2.10326012448
44.687091404,2.12728015602
45.1623149078,2.15183055902
45.6425921613,2.17689133751
46.1279769085,2.20244137967
46.618523465,2.22845848025
47.1142867238,2.25491937016
47.6153221617,2.28179974715
48.1216858457,2.30907431503
48.6334344387,2.33671682382
49.1506252065,2.36470011961
49.6733160236,2.39299619389
50.2015653802,2.42157624511
50.7354323884,2.4504107396
51.274976789,2.47946948161
51.8202589579,2.50872168663
52.3713399133,2.53813605979
52.9282813223,2.5676808808
53.4911455076,2.59732409132
54.0599954548,2.62703338734
54.6348948193,2.65677631586
55.2159079336,2.68652037415
55.8030998139,2.71623311262
56.3965361684,2.7458822397
56.9962834035,2.775435728
57.6024086322,2.80486192439
58.2149796811,2.83412965644
58.8340650981,2.8632083436
59.4597341599,2.89206810377
60.0920568802,2.92067986205
60.7311040171,2.94901545536
61.3769470811,2.97704773574
62.0296583435,3.00475066966
62.6893108437,3.0320994359
63.3559783983,3.05907051567
64.0297356085,3.08564178047
64.7106578691,3.11179257462
65.3988213766,3.13750379057
66.0943031378,3.16275793905
66.7971809786,3.18753921243
67.5075335521,3.21183353995
68.2254403484,3.23562863779
68.9509817024,3.25891405032
69.6842388038,3.28168118364
70.4252937053,3.30392333165
71.1742293324,3.32563569436
71.9311294925,3.34681538921
72.6960788842,3.36746145153
73.4691631067,3.38757483121
74.2504686697,3.40715838074
75.0400830028,3.42621683327
75.8380944652,3.44475677667
76.6445923561,3.46278662163
77.4596669241,3.48031655947
78.2834093777,3.49735851722
79.1159118951,3.5139261055
79.9572676349,3.53003456257
80.8075707467,3.54570069158
81.6669163807,3.56094279641
82.5354006996,3.57578061069
83.4131208884,3.59023522505
84.3001751656,3.60432901183
85.1966627943,3.61808554603
86.1026840933,3.63152952639
87.0183404479,3.64468669162
87.943734322,3.65758373966
88.8789692689,3.67024824356
89.8241499432,3.68270856666
90.7793821124,3.69499378145
91.7447726687,3.70713358405
92.7204296414,3.71915821304
93.7064622083,3.73109836789
94.7029807082,3.74298512848
95.7100966536,3.75484987739
96.7279227426,3.76672422278
97.756572872,3.77863992162
98.7961621497,3.790628809
99.8468069076,3.80272272568
100.908624715,3.81495344803
101.981734391,3.82735262399
103.06625602,3.83995170522
104.16231096,3.85278188524
105.270021863,3.86587403939
106.389512684,3.8792586648
107.520908695,3.89296582392
108.664336503,3.90702508988
109.819924058,3.92146548945
110.987800674,3.93631545553
112.168097039,3.95160277323
113.360945228,3.96735452682
114.566478725,3.983597058
115.784832432,4.00035590972
117.016142683,4.01765578257
118.260547265,4.03552048711
119.51818543,4.05397289468
120.78919791,4.07303488985
122.073726932,4.0927273238
123.371916239,4.11306996789
124.683911101,4.13408146136
126.009858331,4.15577926597
127.349906307,4.17817961269
128.704204982,4.20129745656
130.072905905,4.22514641894
131.456162235,4.2497387442
132.854128763,4.27508523504
134.266961923,4.30119521305
135.694819814,4.32807645431
137.137862216,4.35573513701
138.596250608,4.38417579249
140.070148186,4.41340124501
141.559719884,4.44341255866
143.065132386,4.47420898547
144.586554151,4.50578791029
146.124155429,4.53814480361
147.67810828,4.5712731674
149.248586596,4.60516449255
150.835766115,4.63980821812
152.439824446,4.6751916839
154.060941087,4.71130010607
155.699297442,4.74811654233
157.355076848,4.78562187294
159.028464589,4.82379478382
160.719647921,4.86261176226
162.428816091,4.90204710013
164.156160356,4.9420729113
165.901874012,4.98265915125
167.666152406,5.02377366224
169.449192964,5.06538222778
171.251195212,5.1074486355
173.072360798,5.14993477101
174.912893514,5.19280071793
176.772999318,5.23600488241
178.652886361,5.27950414109
180.552765005,5.32325399834
182.47284785,5.36720878703
184.413349757,5.41132187801
186.374487872,5.45554590917
188.35648165,5.49983306158
190.35955288,5.54413534637
192.38392571,5.58840492148
194.429826671,5.63259443841
196.497484703,5.67665741639
198.587131181,5.72054865029
200.69899994,5.76422463565
202.833327303,5.80764403433
204.990352105,5.85076816351
207.17031572,5.89356151329
209.373462092,5.93599229251
211.600037757,5.9780330031
213.850291872,6.01966104393
216.124476246,6.06085933278
218.422845364,6.10161696649
220.745656418,6.14192989715
223.093169334,6.18180163986
225.465646805,6.22124400093
227.863354315,6.26027783783
230.286560171,6.29893383952
232.735535536,6.33725333966
235.210554455,6.37528915908
237.711893886,6.41310646958
240.239833735,6.45078371657
242.794656883,6.48841355367
245.376649219,6.52610385769
247.986099674,6.56397874759
250.623300249,6.60217973698
253.288546053,6.64086688327
255.982135332,6.68022009813
258.704369504,6.72044051422
261.455553191,6.76175198625
264.235994257,6.80440276873
267.046003838,6.8486673349
269.88589638,6.89484842708
272.755989672,6.94327935069
275.656604884,6.99432655884
278.588066598,7.04839258788
281.550702853,7.10591940215
284.544845172,7.16739222883
287.570828606,7.23334394145
290.628991768,7.30436014148
293.719676872,7.38108502148
296.843229772,7.46422815016
300,7.55457237646
