2026-09-20T14:39:36+08:00 | START | continuation | 420 to 1800 s
2026-09-20T14:39:40+08:00 | PASS | restart continuity
2026-09-20T14:39:40+08:00 | START | production
2026-09-20T14:39:40+08:00 | [continuation production] step 1/690 | t=422 s | dt=2 s | Newton=2 | wall=4.2 s
2026-09-20T14:40:11+08:00 | [continuation production] step 10/690 | t=440 s | dt=2 s | Newton=2 | wall=35.2 s
2026-09-20T14:40:46+08:00 | [continuation production] step 20/690 | t=460 s | dt=2 s | Newton=2 | wall=69.9 s
2026-09-20T14:41:20+08:00 | [continuation production] step 30/690 | t=480 s | dt=2 s | Newton=2 | wall=104.6 s
2026-09-20T14:41:55+08:00 | [continuation production] step 40/690 | t=500 s | dt=2 s | Newton=2 | wall=139.0 s
2026-09-20T14:42:29+08:00 | [continuation production] step 50/690 | t=520 s | dt=2 s | Newton=2 | wall=173.0 s
2026-09-20T14:43:03+08:00 | [continuation production] step 60/690 | t=540 s | dt=2 s | Newton=2 | wall=207.1 s
2026-09-20T14:43:37+08:00 | [continuation production] step 70/690 | t=560 s | dt=2 s | Newton=2 | wall=241.1 s
2026-09-20T14:44:11+08:00 | [continuation production] step 80/690 | t=580 s | dt=2 s | Newton=2 | wall=275.2 s
2026-09-20T14:44:45+08:00 | [continuation production] step 90/690 | t=600 s | dt=2 s | Newton=2 | wall=309.1 s
2026-09-20T14:45:19+08:00 | [continuation production] step 100/690 | t=620 s | dt=2 s | Newton=2 | wall=343.3 s
2026-09-20T14:45:53+08:00 | [continuation production] step 110/690 | t=640 s | dt=2 s | Newton=2 | wall=377.0 s
2026-09-20T14:46:27+08:00 | [continuation production] step 120/690 | t=660 s | dt=2 s | Newton=2 | wall=410.8 s
2026-09-20T14:47:00+08:00 | [continuation production] step 130/690 | t=680 s | dt=2 s | Newton=2 | wall=444.5 s
2026-09-20T14:47:34+08:00 | [continuation production] step 140/690 | t=700 s | dt=2 s | Newton=2 | wall=478.2 s
2026-09-20T14:48:08+08:00 | [continuation production] step 150/690 | t=720 s | dt=2 s | Newton=2 | wall=511.9 s
2026-09-20T14:48:42+08:00 | [continuation production] step 160/690 | t=740 s | dt=2 s | Newton=2 | wall=545.7 s
2026-09-20T14:49:15+08:00 | [continuation production] step 170/690 | t=760 s | dt=2 s | Newton=2 | wall=579.4 s
2026-09-20T14:49:49+08:00 | [continuation production] step 180/690 | t=780 s | dt=2 s | Newton=2 | wall=613.1 s
2026-09-20T14:50:23+08:00 | [continuation production] step 190/690 | t=800 s | dt=2 s | Newton=2 | wall=646.8 s
2026-09-20T14:50:56+08:00 | [continuation production] step 200/690 | t=820 s | dt=2 s | Newton=2 | wall=680.5 s
2026-09-20T14:51:30+08:00 | [continuation production] step 210/690 | t=840 s | dt=2 s | Newton=2 | wall=714.1 s
2026-09-20T14:52:04+08:00 | [continuation production] step 220/690 | t=860 s | dt=2 s | Newton=2 | wall=748.0 s
2026-09-20T14:52:38+08:00 | [continuation production] step 230/690 | t=880 s | dt=2 s | Newton=2 | wall=781.7 s
2026-09-20T14:53:11+08:00 | [continuation production] step 240/690 | t=900 s | dt=2 s | Newton=2 | wall=815.3 s
2026-09-20T14:53:45+08:00 | [continuation production] step 250/690 | t=920 s | dt=2 s | Newton=2 | wall=849.1 s
2026-09-20T14:54:19+08:00 | [continuation production] step 260/690 | t=940 s | dt=2 s | Newton=2 | wall=882.7 s
2026-09-20T14:54:52+08:00 | [continuation production] step 270/690 | t=960 s | dt=2 s | Newton=2 | wall=916.5 s
2026-09-20T14:55:26+08:00 | [continuation production] step 280/690 | t=980 s | dt=2 s | Newton=2 | wall=950.2 s
2026-09-20T14:56:00+08:00 | [continuation production] step 290/690 | t=1000 s | dt=2 s | Newton=2 | wall=983.8 s
2026-09-20T14:56:33+08:00 | [continuation production] step 300/690 | t=1020 s | dt=2 s | Newton=2 | wall=1017.4 s
2026-09-20T14:57:07+08:00 | [continuation production] step 310/690 | t=1040 s | dt=2 s | Newton=2 | wall=1051.1 s
2026-09-20T14:57:41+08:00 | [continuation production] step 320/690 | t=1060 s | dt=2 s | Newton=2 | wall=1084.7 s
2026-09-20T14:58:14+08:00 | [continuation production] step 330/690 | t=1080 s | dt=2 s | Newton=2 | wall=1118.3 s
2026-09-20T14:58:48+08:00 | [continuation production] step 340/690 | t=1100 s | dt=2 s | Newton=2 | wall=1151.8 s
2026-09-20T14:59:21+08:00 | [continuation production] step 350/690 | t=1120 s | dt=2 s | Newton=2 | wall=1185.6 s
2026-09-20T14:59:56+08:00 | [continuation production] step 360/690 | t=1140 s | dt=2 s | Newton=2 | wall=1220.1 s
2026-09-20T15:00:31+08:00 | [continuation production] step 370/690 | t=1160 s | dt=2 s | Newton=2 | wall=1255.2 s
2026-09-20T15:01:06+08:00 | [continuation production] step 380/690 | t=1180 s | dt=2 s | Newton=2 | wall=1290.0 s
2026-09-20T15:01:40+08:00 | [continuation production] step 390/690 | t=1200 s | dt=2 s | Newton=2 | wall=1323.7 s
2026-09-20T15:02:13+08:00 | [continuation production] step 400/690 | t=1220 s | dt=2 s | Newton=2 | wall=1357.6 s
2026-09-20T15:02:47+08:00 | [continuation production] step 410/690 | t=1240 s | dt=2 s | Newton=2 | wall=1391.4 s
2026-09-20T15:03:21+08:00 | [continuation production] step 420/690 | t=1260 s | dt=2 s | Newton=2 | wall=1425.2 s
2026-09-20T15:03:55+08:00 | [continuation production] step 430/690 | t=1280 s | dt=2 s | Newton=2 | wall=1458.9 s
2026-09-20T15:04:29+08:00 | [continuation production] step 440/690 | t=1300 s | dt=2 s | Newton=2 | wall=1492.7 s
2026-09-20T15:05:02+08:00 | [continuation production] step 450/690 | t=1320 s | dt=2 s | Newton=2 | wall=1526.6 s
2026-09-20T15:05:36+08:00 | [continuation production] step 460/690 | t=1340 s | dt=2 s | Newton=2 | wall=1560.4 s
2026-09-20T15:06:10+08:00 | [continuation production] step 470/690 | t=1360 s | dt=2 s | Newton=2 | wall=1594.2 s
2026-09-20T15:06:44+08:00 | [continuation production] step 480/690 | t=1380 s | dt=2 s | Newton=2 | wall=1627.8 s
2026-09-20T15:07:17+08:00 | [continuation production] step 490/690 | t=1400 s | dt=2 s | Newton=2 | wall=1661.5 s
2026-09-20T15:07:51+08:00 | [continuation production] step 500/690 | t=1420 s | dt=2 s | Newton=2 | wall=1695.2 s
2026-09-20T15:08:25+08:00 | [continuation production] step 510/690 | t=1440 s | dt=2 s | Newton=2 | wall=1728.9 s
2026-09-20T15:08:58+08:00 | [continuation production] step 520/690 | t=1460 s | dt=2 s | Newton=2 | wall=1762.5 s
2026-09-20T15:09:32+08:00 | [continuation production] step 530/690 | t=1480 s | dt=2 s | Newton=2 | wall=1796.2 s
2026-09-20T15:10:06+08:00 | [continuation production] step 540/690 | t=1500 s | dt=2 s | Newton=2 | wall=1829.9 s
2026-09-20T15:10:39+08:00 | [continuation production] step 550/690 | t=1520 s | dt=2 s | Newton=2 | wall=1863.5 s
2026-09-20T15:11:13+08:00 | [continuation production] step 560/690 | t=1540 s | dt=2 s | Newton=2 | wall=1897.1 s
2026-09-20T15:11:47+08:00 | [continuation production] step 570/690 | t=1560 s | dt=2 s | Newton=2 | wall=1930.7 s
2026-09-20T15:12:20+08:00 | [continuation production] step 580/690 | t=1580 s | dt=2 s | Newton=2 | wall=1964.4 s
2026-09-20T15:12:54+08:00 | [continuation production] step 590/690 | t=1600 s | dt=2 s | Newton=2 | wall=1998.0 s
2026-09-20T15:13:27+08:00 | [continuation production] step 600/690 | t=1620 s | dt=2 s | Newton=2 | wall=2031.6 s
2026-09-20T15:14:01+08:00 | [continuation production] step 610/690 | t=1640 s | dt=2 s | Newton=2 | wall=2065.2 s
2026-09-20T15:14:35+08:00 | [continuation production] step 620/690 | t=1660 s | dt=2 s | Newton=2 | wall=2098.9 s
2026-09-20T15:15:08+08:00 | [continuation production] step 630/690 | t=1680 s | dt=2 s | Newton=2 | wall=2132.5 s
2026-09-20T15:15:42+08:00 | [continuation production] step 640/690 | t=1700 s | dt=2 s | Newton=2 | wall=2166.2 s
2026-09-20T15:16:16+08:00 | [continuation production] step 650/690 | t=1720 s | dt=2 s | Newton=2 | wall=2199.8 s
2026-09-20T15:16:49+08:00 | [continuation production] step 660/690 | t=1740 s | dt=2 s | Newton=2 | wall=2233.4 s
2026-09-20T15:17:23+08:00 | [continuation production] step 670/690 | t=1760 s | dt=2 s | Newton=2 | wall=2267.0 s
2026-09-20T15:17:57+08:00 | [continuation production] step 680/690 | t=1780 s | dt=2 s | Newton=2 | wall=2300.9 s
2026-09-20T15:18:31+08:00 | [continuation production] step 690/690 | t=1800 s | dt=2 s | Newton=2 | wall=2334.6 s
2026-09-20T15:18:34+08:00 | DONE | production | wall=2338.1 s
2026-09-20T15:18:34+08:00 | DONE | continuation | wall=2345.2 s | validated_through_s=420
