coarse_dt_s,fine_dt_s,metric,max_abs_difference,relative_to_fine_percent,relative_to_fine_excursion_percent
0.1,0.05,GGG_Tavg_K,0.0023936267020157054,0.21998685737665527,32.72007795209373
0.1,0.05,cold_stage_Tavg_K,0.08721859252283926,8.099876382811576,2.9348370290811174
0.1,0.05,sample_Tavg_K,0.0882759785587155,8.196511108895846,2.970426921973673
0.1,0.05,support_1_W,8.472321341125058e-06,15.14369883059207,nan
0.1,0.05,support_2_W,1.0633143705940219e-05,17.264265415480086,nan
0.1,0.05,switch_W,1.9602757732558007e-05,10.724113194358916,nan
0.05,0.025,GGG_Tavg_K,0.001668203245866584,0.15355205505906025,19.127300975293537
0.05,0.025,cold_stage_Tavg_K,0.01180839010986201,1.1087890238558862,0.3977394608565039
0.05,0.025,sample_Tavg_K,0.011958804449048621,1.1228547410995946,0.40280684783638304
0.05,0.025,support_1_W,2.841205654006e-06,5.350168361340298,nan
0.05,0.025,support_2_W,3.3149817347100284e-06,5.688465838658109,nan
0.05,0.025,switch_W,9.131156123325969e-07,0.4988000000280686,nan
