item,status,bytes,sha256,title,doi,source,candidates_tried,note
01_Hust_Lankford_1984_NBSIR84-3007.pdf,DOWNLOADED,13049719,198ba76e5ad35eb603c5ecd3784b642fd8c91b8434ad340c4c1634ad40af1e94,"Thermal conductivity of aluminum, copper, iron, and tungsten for temperatures from 1 K to the melting point",,https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nbsir84-3007.pdf,1,content-type='application/pdf'; final=https://nvlpubs.nist.gov/nistpubs/Legacy/IR/nbsir84-3007.pdf
02_White_Collocott_1984_Cu_W_heat_capacity.pdf,FAILED,0,,Heat Capacity of Reference Materials: Cu and W,10.1063/1.555728,,3,All discovered download candidates failed. DOI: https://doi.org/10.1063/1.555728 | https://pubs.aip.org/jpr/article-pdf/13/4/1251/12647720/1251_1_online.pdf -> not PDF; content-type='text/html; charset=UTF-8'; bytes=4042; final=https://WSV20K4.itri.org.tw:15871/cgi-bin/blockpage.cgi?ws-session=620793748 | https://srd.nist.gov/jpcrdreprint/1.555728.pdf -> HTTP 503; final=https://srd.nist.gov/jpcrdreprint/1.555728.pdf | https://pubs.aip.org/aip/jpr/article-pdf/13/4/1251/9766222/1251_1_online.pdf -> not PDF; content-type='text/html; charset=UTF-8'; bytes=4050; final=https://WSV20K4.itri.org.tw:15871/cgi-bin/blockpage.cgi?ws-session=18446744072283525014
03_Simon_Drexler_Reed_1992_NIST_Monograph177.pdf,DOWNLOADED,48162368,39e493096bcc92010c6f3e618d5e0a941fab65086125cb77e4d155f8c1150eb9,Properties of Copper and Copper Alloys at Cryogenic Temperatures,,https://nvlpubs.nist.gov/nistpubs/Legacy/MONO/nistmonograph177.pdf,1,content-type='application/pdf'; final=https://nvlpubs.nist.gov/nistpubs/Legacy/MONO/nistmonograph177.pdf
04_Runyan_Jones_2008_lowT_support_materials.pdf,DOWNLOADED,711621,34d6841b512840af9bbd4acc69e12515f244d9e6584a5e653134cf8a912e7a3e,Thermal Conductivity of Thermally-Isolating Polymeric and Composite Structural Support Materials Between 0.3 and 4 K,10.1016/j.cryogenics.2008.06.002,https://arxiv.org/pdf/0806.1921,1,content-type='application/pdf'; final=https://arxiv.org/pdf/0806.1921
05_DiPirro_Shirron_2014_heat_switches_for_ADRs.pdf,DOWNLOADED,242312,9b49d868ee63ff3cdc611f79a3b0c32486f3425e5a484affff7afb893f91996e,Heat switches for ADRs,10.1016/j.cryogenics.2014.03.017,https://ntrs.nasa.gov/api/citations/20150008253/downloads/20150008253.pdf,1,content-type='application/pdf'; final=https://ntrs.nasa.gov/api/citations/20150008253/downloads/20150008253.pdf
06_Fisher_Brodale_Hornung_Giauque_1973_GGG_magnetothermodynamics.pdf,FAILED,0,,"Magnetothermodynamics of gadolinium gallium garnet. I. Heat capacity, entropy, magnetic moment from 0.5 to 4.2 K, with fields to 90 kG along the [100] axis",10.1063/1.1680677,,2,All discovered download candidates failed. DOI: https://doi.org/10.1063/1.1680677 | https://pubs.aip.org/jcp/article-pdf/59/9/4652/18876141/4652_1_online.pdf -> not PDF; content-type='text/html; charset=UTF-8'; bytes=4046; final=https://WSV20K4.itri.org.tw:15871/cgi-bin/blockpage.cgi?ws-session=1979748254 | https://pubs.aip.org/aip/jcp/article-pdf/59/9/4652/18887934/4652_1_online.pdf -> not PDF; content-type='text/html; charset=UTF-8'; bytes=4042; final=https://WSV20K4.itri.org.tw:15871/cgi-bin/blockpage.cgi?ws-session=285249440
07_Daudin_Lagnier_Salce_1982_GGG_thermodynamic_properties.pdf,FAILED,0,,"Thermodynamic properties of the gadolinium gallium garnet, Gd3Ga5O12, between 0.05 and 25 K",10.1016/0304-8853(82)90092-0,,1,All discovered download candidates failed. DOI: https://doi.org/10.1016/0304-8853(82)90092-0 | https://www.sciencedirect.com/science/article/pii/0304885382900920/pdfft -> HTTP 403; final=https://www.sciencedirect.com/science/article/pii/0304885382900920/pdfft
08_Slack_Oliver_1971_garnet_thermal_conductivity.pdf,FAILED,0,,Thermal Conductivity of Garnets and Phonon Scattering by Rare-Earth Ions,10.1103/PhysRevB.4.592,,1,All discovered download candidates failed. DOI: https://doi.org/10.1103/PhysRevB.4.592 | https://journals.aps.org/prb/pdf/10.1103/PhysRevB.4.592 -> HTTP 403; final=https://journals.aps.org/prb/pdf/10.1103/PhysRevB.4.592
09_Walker_Anderson_1981_G10_G10CR.pdf,FAILED,0,,Thermal conductivity and specific heat of a glass-epoxy composite at temperatures below 4 K,10.1063/1.1136614,,2,All discovered download candidates failed. DOI: https://doi.org/10.1063/1.1136614 | https://pubs.aip.org/rsi/article-pdf/52/3/471/19288335/471_1_online.pdf -> not PDF; content-type='text/html; charset=UTF-8'; bytes=4050; final=https://WSV20K4.itri.org.tw:15871/cgi-bin/blockpage.cgi?ws-session=18446744072400965544 | https://pubs.aip.org/aip/rsi/article-pdf/52/3/471/19145635/471_1_online.pdf -> not PDF; content-type='text/html; charset=UTF-8'; bytes=4050; final=https://WSV20K4.itri.org.tw:15871/cgi-bin/blockpage.cgi?ws-session=18446744071964757930
10_Catarino_Paine_2011_3He_gas_gap_heat_switch.pdf,FAILED,0,,3He gas gap heat switch,10.1016/j.cryogenics.2010.10.009,,1,All discovered download candidates failed. DOI: https://doi.org/10.1016/j.cryogenics.2010.10.009 | https://www.sciencedirect.com/science/article/pii/S0011227510002018/pdfft -> HTTP 403; final=https://www.sciencedirect.com/science/article/pii/S0011227510002018/pdfft
11_Mashimo_et_al_2006_GGG_density.pdf,FAILED,0,,Transition to a virtually incompressible oxide phase at a shock pressure of 120 GPa (1.2 Mbar): Gd3Ga5O12,10.1103/PhysRevLett.96.105504,,1,All discovered download candidates failed. DOI: https://doi.org/10.1103/PhysRevLett.96.105504 | https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.96.105504 -> HTTP 403; final=https://journals.aps.org/prl/pdf/10.1103/PhysRevLett.96.105504
